Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,3e-06,21.632573,[21 10] ; [25 83],[10.25899281 20.74100719] ; [35.74100719 72.25899281],1
v1,1,0.001002,10.824048,[18 14] ; [27 80],[10.35971223 21.64028777] ; [34.64028777 72.35971223],0
n4,1,0.011796,6.341268,[25  7] ; [58 51],[18.83687943 13.16312057] ; [64.16312057 44.83687943],0
r2,1,0.023866,5.104367,[28  4] ; [71 35],[22.95652174  9.04347826] ; [76.04347826 29.95652174],0
d3,1,0.036102,4.392266,[22 10] ; [51 56],[16.8057554 15.1942446] ; [56.1942446 50.8057554],0
d1,1,0.039376,4.244589,[16 16] ; [33 76],[11.12056738 20.87943262] ; [37.87943262 71.12056738],0
a3,1,0.044147,4.050926,[21 11] ; [49 59],[16. 16.] ; [54. 54.],0
d2,1,0.046527,3.962401,[17 15] ; [36 71],[12.20143885 19.79856115] ; [40.79856115 66.20143885],0
d4,1,0.055602,3.663949,[25  7] ; [65 44],[20.42553191 11.57446809] ; [69.57446809 39.42553191],0
p8,1,0.060778,3.516013,[15 15] ; [34 74],[10.65217391 19.34782609] ; [38.34782609 69.65217391],0
b3,1,0.092087,2.837508,[7 6] ; [18 43],[4.39189189 8.60810811] ; [20.60810811 40.39189189],0
b2,1,0.092087,2.837508,[7 6] ; [18 43],[4.39189189 8.60810811] ; [20.60810811 40.39189189],0
b4,1,0.099145,2.719241,[22 10] ; [57 52],[17.92907801 14.07092199] ; [61.07092199 47.92907801],0
a7,1,0.109502,2.561389,[22 10] ; [57 51],[18.05714286 13.94285714] ; [60.94285714 47.05714286],0
r4,1,0.141046,2.166509,[20 12] ; [52 57],[16.34042553 15.65957447] ; [55.65957447 53.34042553],0
p6,1,0.148712,2.085415,[ 9 21] ; [19 87],[ 6.17647059 23.82352941] ; [21.82352941 84.17647059],0
b1,1,0.154606,2.026211,[11 21] ; [53 56],[14.5248227 17.4751773] ; [49.4751773 59.5248227],0
a2,1,0.175282,1.837177,[ 4 28] ; [  6 103],[ 2.26950355 29.73049645] ; [  7.73049645 101.26950355],0
r3,1,0.193321,1.692127,[27  5] ; [79 29],[24.22857143  7.77142857] ; [81.77142857 26.22857143],0
d5,1,0.19625,1.67006,[23  9] ; [64 44],[19.88571429 12.11428571] ; [67.11428571 40.88571429],0
a6,1,0.284755,1.144257,[19 13] ; [53 56],[16.34042553 15.65957447] ; [55.65957447 53.34042553],0
n6,1,0.339728,0.911458,[25  7] ; [75 33],[22.85714286  9.14285714] ; [77.14285714 30.85714286],0
p1,1,0.357661,0.84609,[ 4 28] ; [  8 101],[ 2.72340426 29.27659574] ; [ 9.27659574 99.72340426],0
s6,1,0.393945,0.726731,[13 17] ; [38 71],[11.00719424 18.99280576] ; [39.99280576 69.00719424],0
n5,1,0.432169,0.616987,[22 10] ; [66 42],[20.11428571 11.88571429] ; [67.88571429 40.11428571],0
a4,1,0.471351,0.518806,[11 21] ; [30 78],[ 9.37142857 22.62857143] ; [31.62857143 76.37142857],0
v4,1,0.479412,0.5002,[26  6] ; [82 27],[24.5106383  7.4893617] ; [83.4893617 25.5106383],0
u2,1,0.485667,0.486111,[5 5] ; [23 37],[4. 6.] ; [24. 36.],0
p12,1,0.499808,0.455344,[ 2 29] ; [  4 105],[ 1.32857143 29.67142857] ; [  4.67142857 104.32857143],0
p2,1,0.56129,0.337476,[21 10] ; [67 41],[19.62589928 11.37410072] ; [68.37410072 39.62589928],0
p5,1,0.576694,0.31161,[ 3 29] ; [  7 101],[ 2.28571429 29.71428571] ; [  7.71428571 100.28571429],0
n1,1,0.588809,0.292208,[2 8] ; [10 25],[2.66666667 7.33333333] ; [ 9.33333333 25.66666667],0
p4,1,0.602297,0.271545,[10 20] ; [42 67],[11.22302158 18.77697842] ; [40.77697842 68.22302158],0
p10,1,0.610515,0.259426,[20 11] ; [63 43],[18.7810219 12.2189781] ; [64.2189781 41.7810219],0
a5,1,0.614636,0.253478,[16 16] ; [49 60],[14.75177305 17.24822695] ; [50.24822695 58.75177305],0
a8,1,0.618271,0.248305,[ 2 28] ; [10 94],[ 2.68656716 27.31343284] ; [ 9.31343284 94.68656716],0
