Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000504,12.10084,[24  6] ; [ 4 11],[18.66666667 11.33333333] ; [9.33333333 5.66666667],1
b3,1,0.055234,3.675,[ 9 11] ; [1 9],[ 6.66666667 13.33333333] ; [3.33333333 6.66666667],0
b2,1,0.055234,3.675,[ 9 11] ; [1 9],[ 6.66666667 13.33333333] ; [3.33333333 6.66666667],0
s4,1,0.062812,3.461538,[ 2 28] ; [ 4 11],[ 4. 26.] ; [ 2. 13.],0
b5,1,0.09161,2.84585,[12 18] ; [10  5],[14.66666667 15.33333333] ; [7.33333333 7.66666667],0
p8,1,0.113846,2.5,[ 4 26] ; [ 5 10],[ 6. 24.] ; [ 3. 12.],0
v1,1,0.205637,1.601881,[ 8 21] ; [7 8],[ 9.88636364 19.11363636] ; [5.11363636 9.88636364],0
n2,1,0.236724,1.4,[8 8] ; [1 4],[6.85714286 9.14285714] ; [2.14285714 2.85714286],0
d3,1,0.285935,1.138664,[11 19] ; [8 7],[12.66666667 17.33333333] ; [6.33333333 8.66666667],0
d5,1,0.285935,1.138664,[19 11] ; [7 8],[17.33333333 12.66666667] ; [8.66666667 6.33333333],0
a5,1,0.285935,1.138664,[19 11] ; [7 8],[17.33333333 12.66666667] ; [8.66666667 6.33333333],0
p9,1,0.294234,1.100146,[14 14] ; [ 5 10],[12.37209302 15.62790698] ; [6.62790698 8.37209302],0
p7,1,0.326541,0.962567,[ 6 24] ; [ 5 10],[ 7.33333333 22.66666667] ; [ 3.66666667 11.33333333],0
d2,1,0.342863,0.899698,[14 15] ; [ 5 10],[12.52272727 16.47727273] ; [6.47727273 8.52272727],0
s7,1,0.392113,0.73238,[ 5 24] ; [ 4 10],[ 6.06976744 22.93023256] ; [ 2.93023256 11.06976744],0
v2,1,0.435959,0.606897,[ 9 20] ; [ 3 12],[ 7.90909091 21.09090909] ; [ 4.09090909 10.90909091],0
a4,1,0.454947,0.558298,[11 18] ; [ 4 11],[ 9.88636364 19.11363636] ; [5.11363636 9.88636364],0
s6,1,0.474549,0.511364,[ 7 23] ; [ 5 10],[ 8. 22.] ; [ 4. 11.],0
b4,1,0.518605,0.416667,[17 13] ; [10  5],[18. 12.] ; [9. 6.],0
n3,1,0.525392,0.403295,[7 9] ; [3 2],[7.61904762 8.38095238] ; [2.38095238 2.61904762],0
n6,1,0.530931,0.392609,[14 14] ; [6 9],[13.02325581 14.97674419] ; [6.97674419 8.02325581],0
d1,1,0.648834,0.207373,[10 20] ; [ 4 11],[ 9.33333333 20.66666667] ; [ 4.66666667 10.33333333],0
d4,1,0.663687,0.189076,[18 12] ; [10  5],[18.66666667 11.33333333] ; [9.33333333 5.66666667],0
r1,1,0.663687,0.189076,[12 18] ; [ 5 10],[11.33333333 18.66666667] ; [5.66666667 9.33333333],0
r2,1,0.665956,0.186369,[15 13] ; [7 8],[14.3255814 13.6744186] ; [7.6744186 7.3255814],0
a6,1,0.671373,0.18,[14 16] ; [6 9],[13.33333333 16.66666667] ; [6.66666667 8.33333333],0
b1,1,0.673214,0.177866,[16 14] ; [7 8],[15.33333333 14.66666667] ; [7.66666667 7.33333333],0
a7,1,0.673214,0.177866,[14 16] ; [8 7],[14.66666667 15.33333333] ; [7.33333333 7.66666667],0
s1,1,0.711086,0.137195,[ 3 27] ; [ 1 14],[ 2.66666667 27.33333333] ; [ 1.33333333 13.66666667],0
s2,1,0.711086,0.137195,[ 3 27] ; [ 1 14],[ 2.66666667 27.33333333] ; [ 1.33333333 13.66666667],0
p2,1,0.718381,0.130049,[10 19] ; [6 9],[10.54545455 18.45454545] ; [5.45454545 9.54545455],0
s5,1,0.737316,0.1125,[ 3 27] ; [ 2 13],[ 3.33333333 26.66666667] ; [ 1.66666667 13.33333333],0
p10,1,0.763781,0.090312,[11 18] ; [ 5 10],[10.54545455 18.45454545] ; [5.45454545 9.54545455],0
v3,1,0.782774,0.076014,[ 5 25] ; [ 3 12],[ 5.33333333 24.66666667] ; [ 2.66666667 12.33333333],0
p3,1,0.782774,0.076014,[ 5 25] ; [ 3 12],[ 5.33333333 24.66666667] ; [ 2.66666667 12.33333333],0
r4,1,0.799846,0.064286,[ 7 23] ; [ 3 12],[ 6.66666667 23.33333333] ; [ 3.33333333 11.66666667],0
p4,1,0.816099,0.054087,[ 9 21] ; [ 4 11],[ 8.66666667 21.33333333] ; [ 4.33333333 10.66666667],0
p11,1,0.832004,0.045,[13 17] ; [7 8],[13.33333333 16.66666667] ; [6.66666667 8.33333333],0
a3,1,0.907548,0.013487,[16 13] ; [8 7],[15.81818182 13.18181818] ; [8.18181818 6.81818182],0
r3,1,0.907548,0.013487,[16 13] ; [8 7],[15.81818182 13.18181818] ; [8.18181818 6.81818182],0
p6,1,0.953415,0.003413,[ 2 26] ; [ 1 14],[ 1.95348837 26.04651163] ; [ 1.04651163 13.95348837],0
p1,1,1.0,0.0,[ 4 26] ; [ 2 13],[ 4. 26.] ; [ 2. 13.],0
u3,1,1.0,0.0,[ 2 12] ; [1 6],[ 2. 12.] ; [1. 6.],0
a2,1,1.0,0.0,[ 4 26] ; [ 2 13],[ 4. 26.] ; [ 2. 13.],0
