Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.001692,9.856684,[13 42] ; [11  6],[18.33333333 36.66666667] ; [ 5.66666667 11.33333333],0
n1,1,0.023886,5.102922,[ 6 18] ; [5 2],[ 8.51612903 15.48387097] ; [2.48387097 4.51612903],0
d4,1,0.0295,4.738206,[29 26] ; [14  3],[32.84722222 22.15277778] ; [10.15277778  6.84722222],0
s2,1,0.031494,4.625821,[ 9 46] ; [ 7 10],[12.22222222 42.77777778] ; [ 3.77777778 13.22222222],0
v2,1,0.037917,4.308737,[14 40] ; [9 8],[17.49295775 36.50704225] ; [ 5.50704225 11.49295775],0
d3,1,0.052078,3.773262,[24 31] ; [12  5],[27.5 27.5] ; [8.5 8.5],0
p3,1,0.061669,3.491921,[14 41] ; [8 8],[17.04225352 37.95774648] ; [ 4.95774648 11.04225352],0
r4,1,0.090655,2.862698,[22 33] ; [ 3 14],[19.09722222 35.90277778] ; [ 5.90277778 11.09722222],0
n2,1,0.108425,2.577027,[13 12] ; [6 1],[14.84375 10.15625] ; [4.15625 2.84375],0
s7,1,0.128591,2.309434,[ 9 42] ; [ 6 11],[11.25 39.75] ; [ 3.75 13.25],0
b4,1,0.165292,1.925134,[30 25] ; [ 6 11],[27.5 27.5] ; [8.5 8.5],0
d5,1,0.193641,1.689695,[29 26] ; [12  5],[31.31944444 23.68055556] ; [9.68055556 7.31944444],0
a2,1,0.206983,1.592403,[ 4 51] ; [ 3 14],[ 5.34722222 49.65277778] ; [ 1.65277778 15.34722222],0
u3,1,0.222605,1.4875,[ 7 21] ; [3 3],[ 8.23529412 19.76470588] ; [1.76470588 4.23529412],0
b1,1,0.240938,1.375095,[30 25] ; [12  5],[32.08333333 22.91666667] ; [9.91666667 7.08333333],0
a3,1,0.259679,1.270469,[27 28] ; [11  6],[29.02777778 25.97222222] ; [8.97222222 8.02777778],0
p6,1,0.291659,1.11195,[13 39] ; [ 2 14],[11.47058824 40.52941176] ; [ 3.52941176 12.47058824],0
