Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1.5e-05,18.737054,[ 1 10] ; [50 16],[7.28571429 3.71428571] ; [43.71428571 22.28571429],1
s2,1,4.1e-05,16.841589,[ 1 10] ; [49 18],[7.05128205 3.94871795] ; [42.94871795 24.05128205],1
r4,1,0.000605,11.759976,[7 4] ; [64  3],[10.01282051  0.98717949] ; [60.98717949  6.01282051],1
s7,1,0.004043,8.264567,[5 6] ; [53 10],[8.62162162 2.37837838] ; [49.37837838 13.62162162],0
p6,1,0.006086,7.524664,[4 7] ; [50 15],[7.81578947 3.18421053] ; [46.18421053 18.81578947],0
r3,1,0.00855,6.914518,[8 3] ; [64  3],[10.15384615  0.84615385] ; [61.84615385  5.15384615],0
s8,1,0.012035,6.305687,[4 7] ; [49 17],[7.57142857 3.42857143] ; [45.42857143 20.57142857],0
n4,1,0.044737,4.028513,[8 3] ; [62  5],[9.87179487 1.12820513] ; [60.12820513  6.87179487],0
v2,1,0.1269,2.330024,[9 2] ; [38 28],[6.71428571 4.28571429] ; [40.28571429 25.71428571],0
v1,1,0.156274,2.009917,[9 1] ; [45 21],[7.10526316 2.89473684] ; [46.89473684 19.10526316],0
r1,1,0.160098,1.973301,[7 4] ; [55 12],[8.74358974 2.25641026] ; [53.25641026 13.74358974],0
r2,1,0.164976,1.928013,[9 2] ; [62  4],[10.14285714  0.85714286] ; [60.85714286  5.14285714],0
d3,1,0.175734,1.833333,[5 6] ; [44 22],[7. 4.] ; [42. 24.],0
d2,1,0.22544,1.469399,[7 4] ; [29 37],[5.14285714 5.85714286] ; [30.85714286 35.14285714],0
n1,1,0.263552,1.25,[1 3] ; [9 7],[2. 2.] ; [8. 8.],0
a5,1,0.270827,1.212555,[10  1] ; [51 16],[8.6025641 2.3974359] ; [52.3974359 14.6025641],0
s5,1,0.31735,0.999836,[6 5] ; [44 19],[7.43243243 3.56756757] ; [42.56756757 20.43243243],0
v4,1,0.329081,0.95251,[10  1] ; [65  2],[10.57692308  0.42307692] ; [64.42307692  2.57692308],0
a7,1,0.379529,0.772227,[7 4] ; [51 16],[8.17948718 2.82051282] ; [49.82051282 17.17948718],0
u1,1,0.408812,0.682254,[ 1 10] ; [13 54],[1.97435897 9.02564103] ; [12.02564103 54.97435897],0
b2,1,0.462433,0.54,[6 3] ; [24 21],[5. 4.] ; [25. 20.],0
b3,1,0.462433,0.54,[6 3] ; [24 21],[5. 4.] ; [25. 20.],0
d1,1,0.463217,0.53811,[8 3] ; [41 26],[6.91025641 4.08974359] ; [42.08974359 24.91025641],0
n6,1,0.471618,0.518182,[9 1] ; [63  3],[9.47368421 0.52631579] ; [62.52631579  3.47368421],0
p3,1,0.480921,0.496774,[8 3] ; [54 12],[8.85714286 2.14285714] ; [53.14285714 12.85714286],0
v3,1,0.498404,0.458333,[8 3] ; [41 25],[7. 4.] ; [42. 24.],0
p9,1,0.520286,0.413326,[10  1] ; [64  3],[10.43589744  0.56410256] ; [63.56410256  3.43589744],0
b5,1,0.602031,0.271944,[4 7] ; [30 37],[4.79487179 6.20512821] ; [29.20512821 37.79487179],0
b1,1,0.606987,0.264586,[5 6] ; [25 42],[4.23076923 6.76923077] ; [25.76923077 41.23076923],0
u2,1,0.61209,0.257143,[2 1] ; [12  3],[2.33333333 0.66666667] ; [11.66666667  3.33333333],0
d4,1,0.689995,0.159091,[9 2] ; [57  9],[9.42857143 1.57142857] ; [56.57142857  9.42857143],0
p7,1,0.70545,0.142865,[9 2] ; [56  9],[9.40789474 1.59210526] ; [55.59210526  9.40789474],0
a3,1,0.721562,0.127001,[8 3] ; [52 15],[8.46153846 2.53846154] ; [51.53846154 15.46153846],0
b4,1,0.747291,0.103821,[6 5] ; [40 27],[6.48717949 4.51282051] ; [39.51282051 27.48717949],0
p4,1,0.772109,0.083878,[10  1] ; [58  8],[9.71428571 1.28571429] ; [58.28571429  7.71428571],0
a6,1,0.777015,0.080208,[6 5] ; [39 27],[6.42857143 4.57142857] ; [38.57142857 27.42857143],0
p2,1,0.78397,0.075158,[10  1] ; [59  8],[9.73076923 1.26923077] ; [59.26923077  7.73076923],0
p12,1,0.787174,0.07289,[3 7] ; [23 44],[3.37662338 6.62337662] ; [22.62337662 44.37662338],0
n3,1,0.822187,0.050505,[2 2] ; [9 7],[2.2 1.8] ; [8.8 7.2],0
p1,1,0.862031,0.030203,[3 8] ; [20 47],[3.24358974 7.75641026] ; [19.75641026 47.24358974],0
p10,1,0.862206,0.030125,[10  1] ; [61  5],[10.14285714  0.85714286] ; [60.85714286  5.14285714],0
n5,1,0.890656,0.018899,[10  1] ; [60  7],[9.87179487 1.12820513] ; [60.12820513  6.87179487],0
a4,1,0.892947,0.018111,[5 6] ; [29 38],[4.79487179 6.20512821] ; [29.20512821 37.79487179],0
d5,1,0.906487,0.013799,[9 2] ; [53 13],[8.85714286 2.14285714] ; [53.14285714 12.85714286],0
a2,1,0.924121,0.009072,[2 9] ; [13 54],[2.11538462 8.88461538] ; [12.88461538 54.11538462],0
s1,1,0.988357,0.000213,[ 1 10] ; [ 6 61],[ 0.98717949 10.01282051] ; [ 6.01282051 60.98717949],0
n2,1,1.0,0.0,[3 1] ; [12  4],[3. 1.] ; [12.  4.],0
