Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.006543,7.394213,[5 6] ; [14  1],[8.03846154 2.96153846] ; [10.96153846  4.03846154],0
n4,1,0.023851,5.105455,[4 7] ; [12  3],[6.76923077 4.23076923] ; [9.23076923 5.76923077],0
p9,1,0.024485,5.059933,[5 6] ; [13  2],[7.61538462 3.38461538] ; [10.38461538  4.61538462],0
s7,1,0.027012,4.890046,[1 9] ; [8 7],[3.6 6.4] ; [5.4 9.6],0
r2,1,0.028265,4.811855,[3 8] ; [10  4],[5.72 5.28] ; [7.28 6.72],0
d1,1,0.040272,4.206397,[ 1 10] ; [7 8],[3.38461538 7.61538462] ; [ 4.61538462 10.38461538],0
b4,1,0.059417,3.553572,[4 7] ; [11  4],[6.34615385 4.65384615] ; [8.65384615 6.34615385],0
n5,1,0.067362,3.346168,[5 6] ; [12  3],[7.19230769 3.80769231] ; [9.80769231 5.19230769],0
a3,1,0.067362,3.346168,[5 6] ; [12  3],[7.19230769 3.80769231] ; [9.80769231 5.19230769],0
p10,1,0.067362,3.346168,[5 6] ; [12  3],[7.19230769 3.80769231] ; [9.80769231 5.19230769],0
r4,1,0.068733,3.31303,[2 9] ; [8 7],[4.23076923 6.76923077] ; [5.76923077 9.23076923],0
n6,1,0.086828,2.932224,[5 6] ; [11  3],[7.04 3.96] ; [8.96 5.04],0
s8,1,0.13147,2.275064,[2 9] ; [7 8],[3.80769231 7.19230769] ; [5.19230769 9.80769231],0
s1,1,0.150224,2.069972,[3 8] ; [ 1 14],[1.69230769 9.30769231] ; [ 2.30769231 12.69230769],0
a8,1,0.151494,2.057143,[1 9] ; [5 9],[2.5 7.5] ; [ 3.5 10.5],0
d4,1,0.164725,1.930303,[6 5] ; [12  3],[7.61538462 3.38461538] ; [10.38461538  4.61538462],0
r3,1,0.164725,1.930303,[6 5] ; [12  3],[7.61538462 3.38461538] ; [10.38461538  4.61538462],0
s2,1,0.164725,1.930303,[5 6] ; [ 3 12],[3.38461538 7.61538462] ; [ 4.61538462 10.38461538],0
s6,1,0.219064,1.51049,[4 7] ; [8 5],[5.5 5.5] ; [6.5 6.5],0
s5,1,0.226765,1.461039,[ 1 10] ; [ 4 10],[2.2 8.8] ; [ 2.8 11.2],0
v3,1,0.226765,1.461039,[ 1 10] ; [ 4 10],[2.2 8.8] ; [ 2.8 11.2],0
p3,1,0.279426,1.169881,[5 6] ; [10  5],[6.34615385 4.65384615] ; [8.65384615 6.34615385],0
p11,1,0.279426,1.169881,[5 6] ; [10  5],[6.34615385 4.65384615] ; [8.65384615 6.34615385],0
p5,1,0.307434,1.041667,[1 9] ; [ 4 11],[2. 8.] ; [ 3. 12.],0
v2,1,0.315266,1.008485,[3 8] ; [7 8],[4.23076923 6.76923077] ; [5.76923077 9.23076923],0
p8,1,0.3268,0.961538,[6 4] ; [6 9],[4.8 5.2] ; [7.2 7.8],0
u2,1,0.342782,0.9,[2 4] ; [2 1],[2.66666667 3.33333333] ; [1.33333333 1.66666667],0
b5,1,0.352704,0.863705,[7 4] ; [12  3],[8.03846154 2.96153846] ; [10.96153846  4.03846154],0
d3,1,0.391153,0.735354,[4 7] ; [8 7],[5.07692308 5.92307692] ; [6.92307692 8.07692308],0
a7,1,0.391153,0.735354,[4 7] ; [8 7],[5.07692308 5.92307692] ; [6.92307692 8.07692308],0
a6,1,0.462325,0.54026,[5 6] ; [9 6],[5.92307692 5.07692308] ; [8.07692308 6.92307692],0
p4,1,0.500352,0.454189,[8 3] ; [9 6],[7.19230769 3.80769231] ; [9.80769231 5.19230769],0
s3,1,0.599337,0.275996,[7 4] ; [8 7],[6.34615385 4.65384615] ; [8.65384615 6.34615385],0
d2,1,0.691398,0.157576,[5 6] ; [8 7],[5.5 5.5] ; [7.5 7.5],0
n1,1,0.764177,0.09,[2 3] ; [2 2],[2.22222222 2.77777778] ; [1.77777778 2.22222222],0
n2,1,0.764177,0.09,[3 2] ; [2 2],[2.77777778 2.22222222] ; [2.22222222 1.77777778],0
v1,1,0.780914,0.077355,[5 6] ; [6 9],[4.65384615 6.34615385] ; [6.34615385 8.65384615],0
b1,1,0.850646,0.035455,[7 4] ; [9 6],[6.76923077 4.23076923] ; [9.23076923 5.76923077],0
n3,1,0.857714,0.032143,[4 1] ; [3 1],[3.88888889 1.11111111] ; [3.11111111 0.88888889],0
a4,1,0.872518,0.025748,[4 7] ; [ 5 10],[3.80769231 7.19230769] ; [5.19230769 9.80769231],0
p6,1,0.896669,0.016866,[5 6] ; [6 8],[4.84 6.16] ; [6.16 7.84],0
s4,1,0.90748,0.013506,[2 9] ; [ 3 12],[2.11538462 8.88461538] ; [ 2.88461538 12.11538462],0
r1,1,0.951159,0.003752,[5 6] ; [7 8],[5.07692308 5.92307692] ; [6.92307692 8.07692308],0
p2,1,0.973215,0.001127,[7 4] ; [9 5],[7.04 3.96] ; [8.96 5.04],0
u3,1,1.0,0.0,[2 4] ; [1 2],[2. 4.] ; [1. 2.],0
