Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,88.518499,[307   5] ; [7 7],[300.51533742  11.48466258] ; [13.48466258  0.51533742],1
r4,1,0.0,80.073436,[304   9] ; [6 8],[296.72782875  16.27217125] ; [13.27217125  0.72782875],1
r1,1,0.000494,12.13751,[276  35] ; [8 6],[271.76615385  39.23384615] ; [12.23384615  1.76615385],1
a3,1,0.002965,8.828659,[256  56] ; [7 7],[251.70552147  60.29447853] ; [11.29447853  2.70552147],0
d1,1,0.00464,8.014613,[223  90] ; [5 9],[218.23853211  94.76146789] ; [9.76146789 4.23853211],0
a6,1,0.018709,5.528489,[207 105] ; [5 9],[202.89570552 109.10429448] ; [9.10429448 4.89570552],0
v1,1,0.024554,5.055045,[197 105] ; [5 9],[193.05063291 108.94936709] ; [8.94936709 5.05063291],0
n5,1,0.038481,4.283652,[278  33] ; [10  4],[275.59384615  35.40615385] ; [12.40615385  1.59384615],0
s2,1,0.044979,4.019437,[223  87] ; [6 7],[219.78328173  90.21671827] ; [9.21671827 3.78328173],0
p3,1,0.06226,3.476123,[190 123] ; [5 9],[186.65137615 126.34862385] ; [8.34862385 5.65137615],0
s1,1,0.062273,3.475797,[ 12 296] ; [ 2 12],[ 13.39130435 294.60869565] ; [ 0.60869565 13.39130435],0
d5,1,0.06505,3.403705,[275  37] ; [10  4],[272.7607362  39.2392638] ; [12.2392638  1.7607362],0
a2,1,0.074198,3.187619,[ 91 222] ; [ 1 13],[ 88.06116208 224.93883792] ; [ 3.93883792 10.06116208],0
a5,1,0.078834,3.08877,[259  54] ; [9 5],[256.52599388  56.47400612] ; [11.47400612  2.52599388],0
a4,1,0.085196,2.962875,[163 150] ; [ 4 10],[159.85015291 153.14984709] ; [7.14984709 6.85015291],0
s7,1,0.087596,2.918,[238  63] ; [7 5],[235.60702875  65.39297125] ; [9.39297125 2.60702875],0
s3,1,0.100739,2.693806,[229  79] ; [7 6],[226.4423676  81.5576324] ; [9.5576324 3.4423676],0
d3,1,0.106993,2.598083,[220  93] ; [7 7],[217.28134557  95.71865443] ; [9.71865443 4.28134557],0
u1,1,0.123304,2.374843,[ 79 234] ; [ 1 13],[ 76.57492355 236.42507645] ; [ 3.42507645 10.57492355],0
a7,1,0.137519,2.205509,[215  97] ; [7 7],[212.46625767  99.53374233] ; [9.53374233 4.46625767],0
s5,1,0.23777,1.393766,[132 164] ; [ 4 10],[129.85806452 166.14193548] ; [6.14193548 7.85806452],0
n6,1,0.250493,1.320552,[292  20] ; [12  2],[290.94478528  21.05521472] ; [13.05521472  0.94478528],0
b4,1,0.270992,1.211716,[177 136] ; [10  4],[178.99388379 134.00611621] ; [8.00611621 5.99388379],0
