Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,7.9e-05,15.580508,[26  6] ; [ 4 13],[19.59183673 12.40816327] ; [10.40816327  6.59183673],1
a4,1,0.004884,7.921875,[15 17] ; [ 1 15],[10.66666667 21.33333333] ; [ 5.33333333 10.66666667],0
d3,1,0.005019,7.872577,[21 11] ; [ 4 13],[16.32653061 15.67346939] ; [8.67346939 8.32653061],0
d2,1,0.046297,3.970741,[17 15] ; [ 4 13],[13.71428571 18.28571429] ; [7.28571429 9.71428571],0
v2,1,0.047509,3.927273,[13 19] ; [ 2 14],[10. 22.] ; [ 5. 11.],0
a6,1,0.073158,3.210715,[18 14] ; [ 5 12],[15.02040816 16.97959184] ; [7.97959184 9.02040816],0
u3,1,0.108664,2.573545,[8 4] ; [2 5],[6.31578947 5.68421053] ; [3.68421053 3.31578947],0
p2,1,0.138726,2.19203,[17 14] ; [13  4],[19.375 11.625] ; [10.625  6.375],0
p11,1,0.153164,2.040454,[12 20] ; [10  7],[14.36734694 17.63265306] ; [7.63265306 9.36734694],0
n3,1,0.16612,1.917614,[9 9] ; [7 2],[10.66666667  7.33333333] ; [5.33333333 3.66666667],0
a5,1,0.208156,1.584207,[21 11] ; [8 9],[18.93877551 13.06122449] ; [10.06122449  6.93877551],0
p10,1,0.274549,1.193878,[22 10] ; [9 8],[20.24489796 11.75510204] ; [10.75510204  6.24489796],0
n2,1,0.305141,1.051592,[11  7] ; [8 2],[12.21428571  5.78571429] ; [6.78571429 3.21428571],0
p8,1,0.305749,1.048951,[13 19] ; [9 7],[14.66666667 17.33333333] ; [7.33333333 8.66666667],0
b1,1,0.32683,0.961416,[18 14] ; [12  5],[19.59183673 12.40816327] ; [10.40816327  6.59183673],0
r2,1,0.332791,0.938006,[23  7] ; [15  2],[24.25531915  5.74468085] ; [13.74468085  3.25531915],0
r4,1,0.353749,0.859963,[ 9 23] ; [ 7 10],[10.44897959 21.55102041] ; [ 5.55102041 11.44897959],0
a7,1,0.409343,0.680707,[19 13] ; [8 9],[17.63265306 14.36734694] ; [9.36734694 7.63265306],0
v3,1,0.4795,0.5,[ 9 23] ; [ 3 13],[ 8. 24.] ; [ 4. 12.],0
p1,1,0.50216,0.450368,[ 2 30] ; [ 2 15],[ 2.6122449 29.3877551] ; [ 1.3877551 15.6122449],0
b5,1,0.516972,0.419929,[20 12] ; [9 8],[18.93877551 13.06122449] ; [10.06122449  6.93877551],0
p7,1,0.539361,0.376725,[10 19] ; [7 9],[10.95555556 18.04444444] ; [6.04444444 9.95555556],0
b3,1,0.554628,0.349091,[ 9 13] ; [3 7],[ 8.25 13.75] ; [3.75 6.25],0
b2,1,0.554628,0.349091,[ 9 13] ; [3 7],[ 8.25 13.75] ; [3.75 6.25],0
p6,1,0.569056,0.324265,[10 22] ; [ 4 13],[ 9.14285714 22.85714286] ; [ 4.85714286 12.14285714],0
s2,1,0.604252,0.268631,[ 9 23] ; [ 6 11],[ 9.79591837 22.20408163] ; [ 5.20408163 11.79591837],0
p4,1,0.652714,0.202495,[13 18] ; [ 6 11],[12.27083333 18.72916667] ; [ 6.72916667 10.27083333],0
a1,1,0.670817,0.180647,[ 3 29] ; [ 1 16],[ 2.6122449 29.3877551] ; [ 1.3877551 15.6122449],0
p5,1,0.682001,0.167882,[ 5 26] ; [ 2 15],[ 4.52083333 26.47916667] ; [ 2.47916667 14.52083333],0
r1,1,0.685969,0.163483,[17 15] ; [8 9],[16.32653061 15.67346939] ; [8.67346939 8.32653061],0
s4,1,0.692747,0.156127,[ 6 26] ; [ 4 13],[ 6.53061224 25.46938776] ; [ 3.46938776 13.53061224],0
s3,1,0.766317,0.088326,[10 22] ; [5 9],[10.43478261 21.56521739] ; [4.56521739 9.43478261],0
s5,1,0.788067,0.072265,[ 8 23] ; [ 5 12],[ 8.39583333 22.60416667] ; [ 4.60416667 12.39583333],0
p3,1,0.838766,0.041401,[10 21] ; [ 5 12],[ 9.6875 21.3125] ; [ 5.3125 11.6875],0
s7,1,0.839602,0.040967,[10 19] ; [ 6 10],[10.31111111 18.68888889] ; [ 5.68888889 10.31111111],0
n4,1,0.878822,0.023245,[20 12] ; [11  6],[20.24489796 11.75510204] ; [10.75510204  6.24489796],0
b4,1,0.878822,0.023245,[20 12] ; [11  6],[20.24489796 11.75510204] ; [10.75510204  6.24489796],0
p9,1,0.885848,0.020609,[20 11] ; [10  5],[20.2173913 10.7826087] ; [9.7826087 5.2173913],0
n6,1,0.894275,0.017661,[22 10] ; [12  5],[22.20408163  9.79591837] ; [11.79591837  5.20408163],0
n5,1,0.909281,0.012984,[24  8] ; [13  4],[24.16326531  7.83673469] ; [12.83673469  4.16326531],0
v1,1,0.948701,0.004139,[11 21] ; [ 6 11],[11.10204082 20.89795918] ; [ 5.89795918 11.10204082],0
p12,1,0.959249,0.002611,[ 2 30] ; [ 1 16],[ 1.95918367 30.04081633] ; [ 1.04081633 15.95918367],0
s1,1,0.959249,0.002611,[ 2 30] ; [ 1 16],[ 1.95918367 30.04081633] ; [ 1.04081633 15.95918367],0
u2,1,0.959566,0.00257,[7 5] ; [4 3],[6.94736842 5.05263158] ; [4.05263158 2.94736842],0
s8,1,1.0,0.0,[10 22] ; [ 5 11],[10. 22.] ; [ 5. 11.],0
s6,1,1.0,0.0,[14 18] ; [7 9],[14. 18.] ; [7. 9.],0
a3,1,1.0,0.0,[20 12] ; [10  6],[20. 12.] ; [10.  6.],0
n1,1,1.0,0.0,[9 9] ; [5 5],[9. 9.] ; [5. 5.],0
