Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,2.4e-05,17.816346,[ 3 26] ; [8 2],[ 8.17948718 20.82051282] ; [2.82051282 7.17948718],1
v2,1,0.000433,12.38619,[ 2 26] ; [6 4],[ 5.89473684 22.10526316] ; [2.10526316 7.89473684],1
r4,1,0.00131,10.328276,[ 3 26] ; [6 4],[ 6.69230769 22.30769231] ; [2.30769231 7.69230769],0
p6,1,0.003441,8.557403,[ 1 27] ; [4 6],[ 3.68421053 24.31578947] ; [1.31578947 8.68421053],0
r3,1,0.003664,8.443178,[ 8 21] ; [8 2],[11.8974359 17.1025641] ; [4.1025641 5.8974359],0
p3,1,0.003906,8.326801,[ 4 25] ; [6 4],[ 7.43589744 21.56410256] ; [2.56410256 7.43589744],0
n6,1,0.011655,6.362578,[ 5 23] ; [6 4],[ 8.10526316 19.89473684] ; [2.89473684 7.10526316],0
s2,1,0.01911,5.491379,[ 4 25] ; [5 5],[ 6.69230769 22.30769231] ; [2.30769231 7.69230769],0
r1,1,0.03076,4.666332,[ 9 20] ; [7 3],[11.8974359 17.1025641] ; [4.1025641 5.8974359],0
s7,1,0.03265,4.564043,[ 2 25] ; [3 5],[ 3.85714286 23.14285714] ; [1.14285714 6.85714286],0
s5,1,0.059505,3.551136,[ 2 27] ; [3 7],[ 3.71794872 25.28205128] ; [1.28205128 8.71794872],0
p8,1,0.066434,3.369004,[ 2 26] ; [3 7],[ 3.68421053 24.31578947] ; [1.31578947 8.68421053],0
r2,1,0.121447,2.398563,[14 13] ; [8 2],[16.05405405 10.94594595] ; [5.94594595 4.05405405],0
n4,1,0.126514,2.33477,[22  7] ; [5 5],[20.07692308  8.92307692] ; [6.92307692 3.07692308],0
u2,1,0.129714,2.295918,[ 2 12] ; [2 2],[ 3.11111111 10.88888889] ; [0.88888889 3.11111111],0
s4,1,0.137409,2.20674,[ 3 26] ; [3 7],[ 4.46153846 24.53846154] ; [1.53846154 8.46153846],0
n5,1,0.157179,2.001162,[19 10] ; [4 6],[17.1025641 11.8974359] ; [5.8974359 4.1025641],0
a5,1,0.16966,1.885944,[13 16] ; [7 3],[14.87179487 14.12820513] ; [5.12820513 4.87179487],0
s3,1,0.220165,1.503297,[ 8 20] ; [5 5],[ 9.57894737 18.42105263] ; [3.42105263 6.57894737],0
b5,1,0.224898,1.472838,[11 18] ; [6 4],[12.64102564 16.35897436] ; [4.35897436 5.64102564],0
p7,1,0.227844,1.454269,[ 6 23] ; [4 6],[ 7.43589744 21.56410256] ; [2.56410256 7.43589744],0
p2,1,0.227844,1.454269,[ 6 23] ; [4 6],[ 7.43589744 21.56410256] ; [2.56410256 7.43589744],0
v3,1,0.300919,1.070115,[ 5 24] ; [3 6],[ 6.10526316 22.89473684] ; [1.89473684 7.10526316],0
a6,1,0.314889,1.010059,[14 15] ; [3 7],[12.64102564 16.35897436] ; [4.35897436 5.64102564],0
v1,1,0.336449,0.923914,[ 7 22] ; [4 6],[ 8.17948718 20.82051282] ; [2.82051282 7.17948718],0
n1,1,0.368688,0.808081,[8 8] ; [1 3],[7.2 8.8] ; [1.8 2.2],0
p9,1,0.369288,0.806061,[ 7 21] ; [4 6],[ 8.10526316 19.89473684] ; [2.89473684 7.10526316],0
d5,1,0.407818,0.685154,[13 16] ; [6 4],[14.12820513 14.87179487] ; [4.87179487 5.12820513],0
d4,1,0.41107,0.675703,[16 13] ; [7 3],[17.1025641 11.8974359] ; [5.8974359 4.1025641],0
a4,1,0.46735,0.528235,[ 9 19] ; [2 8],[ 8.10526316 19.89473684] ; [2.89473684 7.10526316],0
n3,1,0.481924,0.494505,[ 5 11] ; [2 2],[ 5.6 10.4] ; [1.4 2.6],0
d3,1,0.503445,0.447667,[11 18] ; [5 5],[11.8974359 17.1025641] ; [4.1025641 5.8974359],0
b2,1,0.534561,0.385714,[10 11] ; [2 4],[ 9.33333333 11.66666667] ; [2.66666667 3.33333333],0
b3,1,0.534561,0.385714,[10 11] ; [2 4],[ 9.33333333 11.66666667] ; [2.66666667 3.33333333],0
d2,1,0.555818,0.346997,[11 17] ; [5 5],[11.78947368 16.21052632] ; [4.21052632 5.78947368],0
s1,1,0.584177,0.29953,[ 5 24] ; [1 9],[ 4.46153846 24.53846154] ; [1.53846154 8.46153846],0
p10,1,0.584191,0.299507,[ 6 22] ; [3 7],[ 6.63157895 21.36842105] ; [2.36842105 7.63157895],0
p1,1,0.638992,0.220063,[ 4 25] ; [2 8],[ 4.46153846 24.53846154] ; [1.53846154 8.46153846],0
a3,1,0.725622,0.123169,[15 13] ; [6 4],[15.47368421 12.52631579] ; [5.52631579 4.47368421],0
b4,1,0.777231,0.080049,[16 13] ; [5 5],[15.61538462 13.38461538] ; [5.38461538 4.61538462],0
n2,1,0.822187,0.050505,[7 9] ; [2 2],[7.2 8.8] ; [1.8 2.2],0
d1,1,0.883708,0.021395,[ 8 21] ; [3 7],[ 8.17948718 20.82051282] ; [2.82051282 7.17948718],0
a7,1,0.92506,0.008848,[14 15] ; [5 5],[14.12820513 14.87179487] ; [4.87179487 5.12820513],0
b1,1,0.939048,0.005847,[17 12] ; [6 4],[17.1025641 11.8974359] ; [5.8974359 4.1025641],0
a2,1,0.975275,0.000961,[ 3 26] ; [1 9],[ 2.97435897 26.02564103] ; [1.02564103 8.97435897],0
