Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.634972,[2 7] ; [71 10],[7.3 1.7] ; [65.7 15.3],1
p2,1,0.000126,14.703222,[1 8] ; [60 21],[6.1 2.9] ; [54.9 26.1],1
r2,1,0.000796,11.25,[5 4] ; [75  6],[8. 1.] ; [72.  9.],1
r1,1,0.001891,9.652406,[3 6] ; [65 16],[6.8 2.2] ; [61.2 19.8],0
r3,1,0.002756,8.962021,[6 3] ; [76  4],[8.29213483 0.70786517] ; [73.70786517  6.29213483],0
n4,1,0.011398,6.402116,[3 6] ; [60 21],[6.3 2.7] ; [56.7 24.3],0
p4,1,0.028734,4.783474,[1 8] ; [40 41],[4.1 4.9] ; [36.9 44.1],0
s2,1,0.063708,3.438119,[1 8] ; [34 45],[3.57954545 5.42045455] ; [31.42045455 47.57954545],0
a5,1,0.11757,2.449393,[3 6] ; [49 32],[5.2 3.8] ; [46.8 34.2],0
p5,1,0.170631,1.877395,[1 8] ; [ 2 79],[0.3 8.7] ; [ 2.7 78.3],0
p7,1,0.177384,1.819409,[3 6] ; [45 34],[4.90909091 4.09090909] ; [43.09090909 35.90909091],0
b4,1,0.192419,1.699001,[8 1] ; [55 26],[6.3 2.7] ; [56.7 24.3],0
d1,1,0.204894,1.607143,[6 3] ; [36 45],[4.2 4.8] ; [37.8 43.2],0
p3,1,0.207806,1.586644,[1 8] ; [25 55],[2.62921348 6.37078652] ; [23.37078652 56.62921348],0
a6,1,0.215152,1.536417,[4 5] ; [53 28],[5.7 3.3] ; [51.3 29.7],0
a7,1,0.226114,1.465139,[4 5] ; [52 28],[5.66292135 3.33707865] ; [50.33707865 29.66292135],0
d2,1,0.245206,1.350411,[6 3] ; [37 43],[4.34831461 4.65168539] ; [38.65168539 41.34831461],0
s8,1,0.265978,1.237374,[1 8] ; [23 58],[2.4 6.6] ; [21.6 59.4],0
s3,1,0.342809,0.899899,[3 6] ; [40 40],[4.34831461 4.65168539] ; [38.65168539 41.34831461],0
p6,1,0.343493,0.89735,[1 8] ; [20 59],[2.14772727 6.85227273] ; [18.85227273 60.14772727],0
u3,1,0.34734,0.883152,[1 2] ; [22 14],[1.76923077 1.23076923] ; [21.23076923 14.76923077],0
v1,1,0.37841,0.775862,[2 7] ; [30 51],[3.2 5.8] ; [28.8 52.2],0
p8,1,0.37841,0.775862,[2 7] ; [30 51],[3.2 5.8] ; [28.8 52.2],0
p10,1,0.441995,0.591099,[2 7] ; [28 52],[3.03370787 5.96629213] ; [26.96629213 53.03370787],0
b5,1,0.4795,0.5,[6 3] ; [44 37],[5. 4.] ; [45. 36.],0
a3,1,0.523374,0.40724,[6 3] ; [45 36],[5.1 3.9] ; [45.9 35.1],0
s7,1,0.559896,0.339884,[4 5] ; [27 51],[3.20689655 5.79310345] ; [27.79310345 50.20689655],0
b2,1,0.586952,0.29513,[1 5] ; [14 38],[1.55172414 4.44827586] ; [13.44827586 38.55172414],0
b3,1,0.586952,0.29513,[1 5] ; [14 38],[1.55172414 4.44827586] ; [13.44827586 38.55172414],0
s1,1,0.589703,0.290808,[1 8] ; [ 5 74],[0.61363636 8.38636364] ; [ 5.38636364 73.61363636],0
v3,1,0.591463,0.288066,[2 7] ; [25 56],[2.7 6.3] ; [24.3 56.7],0
n1,1,0.617017,0.250083,[1 3] ; [ 8 13],[1.44 2.56] ; [ 7.56 13.44],0
d4,1,0.679525,0.170661,[7 2] ; [57 23],[6.47191011 2.52808989] ; [57.52808989 22.47191011],0
p1,1,0.702799,0.145577,[1 8] ; [ 6 74],[0.70786517 8.29213483] ; [ 6.29213483 73.70786517],0
b1,1,0.725315,0.123457,[4 5] ; [41 40],[4.5 4.5] ; [40.5 40.5],0
n5,1,0.774198,0.082305,[5 4] ; [49 32],[5.4 3.6] ; [48.6 32.4],0
d5,1,0.818075,0.05291,[6 3] ; [57 24],[6.3 2.7] ; [56.7 24.3],0
a2,1,0.836225,0.042735,[1 8] ; [11 70],[1.2 7.8] ; [10.8 70.2],0
n3,1,0.881546,0.022204,[2 1] ; [17  7],[2.11111111 0.88888889] ; [16.88888889  7.11111111],0
d3,1,0.886861,0.020243,[5 4] ; [47 34],[5.2 3.8] ; [46.8 34.2],0
a8,1,0.895244,0.017337,[1 8] ; [ 7 65],[0.88888889 8.11111111] ; [ 7.11111111 64.88888889],0
s6,1,0.943754,0.004978,[4 5] ; [37 44],[4.1 4.9] ; [36.9 44.1],0
n6,1,0.954488,0.003257,[6 2] ; [60 21],[5.93258427 2.06741573] ; [60.06741573 20.93258427],0
s5,1,0.961252,0.00236,[2 7] ; [17 62],[1.94318182 7.05681818] ; [17.05681818 61.94318182],0
s4,1,0.979901,0.000635,[1 8] ; [ 9 70],[1.02272727 7.97727273] ; [ 8.97727273 70.02272727],0
a4,1,0.979999,0.000629,[3 6] ; [27 53],[3.03370787 5.96629213] ; [26.96629213 53.03370787],0
v2,1,0.980526,0.000596,[4 5] ; [35 43],[4.03448276 4.96551724] ; [34.96551724 43.03448276],0
