Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,9.4e-05,15.243956,[29  6] ; [ 3 10],[23.33333333 11.66666667] ; [8.66666667 4.33333333],1
a5,1,0.000674,11.558712,[22 13] ; [ 1 12],[16.77083333 18.22916667] ; [6.22916667 6.77083333],1
n5,1,0.001264,10.394176,[26  9] ; [ 3 10],[21.14583333 13.85416667] ; [7.85416667 5.14583333],0
p11,1,0.004911,7.912088,[30  5] ; [6 7],[26.25  8.75] ; [9.75 3.25],0
d3,1,0.030097,4.703715,[23 12] ; [4 9],[19.6875 15.3125] ; [7.3125 5.6875],0
r4,1,0.031873,4.605315,[14 21] ; [ 1 12],[10.9375 24.0625] ; [4.0625 8.9375],0
a3,1,0.035774,4.407836,[20 15] ; [ 3 10],[16.77083333 18.22916667] ; [6.22916667 6.77083333],0
n6,1,0.046103,3.977809,[26  8] ; [6 7],[23.14893617 10.85106383] ; [8.85106383 4.14893617],0
d4,1,0.066159,3.375824,[26  9] ; [6 7],[23.33333333 11.66666667] ; [8.66666667 4.33333333],0
n3,1,0.097961,2.738426,[5 7] ; [7 2],[6.85714286 5.14285714] ; [5.14285714 3.85714286],0
s6,1,0.104377,2.637363,[20 15] ; [4 9],[17.5 17.5] ; [6.5 6.5],0
a4,1,0.126148,2.339282,[10 25] ; [ 1 12],[ 8.02083333 26.97916667] ; [ 2.97916667 10.02083333],0
v3,1,0.126148,2.339282,[10 25] ; [ 1 12],[ 8.02083333 26.97916667] ; [ 2.97916667 10.02083333],0
r3,1,0.131664,2.272773,[28  6] ; [8 5],[26.04255319  7.95744681] ; [9.95744681 3.04255319],0
a7,1,0.147248,2.100533,[19 16] ; [4 9],[16.77083333 18.22916667] ; [6.22916667 6.77083333],0
s8,1,0.148383,2.088791,[13 22] ; [ 2 11],[10.9375 24.0625] ; [4.0625 8.9375],0
b5,1,0.183224,1.771275,[21 14] ; [5 8],[18.95833333 16.04166667] ; [7.04166667 5.95833333],0
s7,1,0.198672,1.652107,[13 20] ; [2 9],[11.25 21.75] ; [3.75 7.25],0
d2,1,0.200442,1.639154,[12 23] ; [ 2 11],[10.20833333 24.79166667] ; [3.79166667 9.20833333],0
p8,1,0.201754,1.629632,[18 17] ; [4 9],[16.04166667 18.95833333] ; [5.95833333 7.04166667],0
d5,1,0.218142,1.516555,[23 12] ; [6 7],[21.14583333 13.85416667] ; [7.85416667 5.14583333],0
n4,1,0.218142,1.516555,[23 12] ; [6 7],[21.14583333 13.85416667] ; [7.85416667 5.14583333],0
p4,1,0.218142,1.516555,[23 12] ; [6 7],[21.14583333 13.85416667] ; [7.85416667 5.14583333],0
v1,1,0.275963,1.186863,[14 21] ; [ 3 10],[12.39583333 22.60416667] ; [4.60416667 8.39583333],0
u3,1,0.293622,1.102941,[6 9] ; [2 8],[ 4.8 10.2] ; [3.2 6.8],0
s4,1,0.301588,1.06716,[ 6 29] ; [4 9],[ 7.29166667 27.70833333] ; [ 2.70833333 10.29166667],0
u2,1,0.404657,0.694444,[10  5] ; [5 5],[9. 6.] ; [6. 4.],0
a6,1,0.424198,0.638655,[18 17] ; [5 8],[16.77083333 18.22916667] ; [6.22916667 6.77083333],0
n2,1,0.445009,0.583333,[6 6] ; [6 3],[6.85714286 5.14285714] ; [5.14285714 3.85714286],0
r1,1,0.446639,0.579167,[15 20] ; [4 9],[13.85416667 21.14583333] ; [5.14583333 7.85416667],0
v2,1,0.446639,0.579167,[15 20] ; [4 9],[13.85416667 21.14583333] ; [5.14583333 7.85416667],0
s5,1,0.449238,0.572573,[ 9 26] ; [ 2 11],[ 8.02083333 26.97916667] ; [ 2.97916667 10.02083333],0
p7,1,0.570501,0.321844,[22 13] ; [7 6],[21.14583333 13.85416667] ; [7.85416667 5.14583333],0
d1,1,0.57159,0.32003,[11 24] ; [ 3 10],[10.20833333 24.79166667] ; [3.79166667 9.20833333],0
b1,1,0.652617,0.202616,[19 16] ; [8 5],[19.6875 15.3125] ; [7.3125 5.6875],0
s3,1,0.703448,0.14491,[10 25] ; [ 3 10],[ 9.47916667 25.52083333] ; [3.52083333 9.47916667],0
n1,1,0.748328,0.102941,[ 2 10] ; [2 7],[2.28571429 9.71428571] ; [1.71428571 7.28571429],0
b4,1,0.881557,0.0222,[18 17] ; [7 6],[18.22916667 16.77083333] ; [6.77083333 6.22916667],0
s2,1,0.881655,0.022163,[10 25] ; [4 9],[10.20833333 24.79166667] ; [3.79166667 9.20833333],0
v4,1,0.881655,0.022163,[25 10] ; [9 4],[24.79166667 10.20833333] ; [9.20833333 3.79166667],0
p6,1,0.881655,0.022163,[10 25] ; [4 9],[10.20833333 24.79166667] ; [3.79166667 9.20833333],0
p3,1,0.933166,0.007033,[13 22] ; [5 8],[13.125 21.875] ; [4.875 8.125],0
