Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,85.006838,[109  38] ; [ 27 111],[70.14736842 76.85263158] ; [65.85263158 72.14736842],1
d5,1,0.0,83.607913,[148   2] ; [74 65],[115.22491349  34.77508651] ; [106.77508651  32.22491349],1
d4,1,0.0,81.344625,[147   2] ; [75 64],[114.85416667  34.14583333] ; [107.14583333  31.85416667],1
d3,1,0.0,70.195511,[127  23] ; [51 88],[92.38754325 57.61245675] ; [85.61245675 53.38754325],1
a4,1,0.0,41.788284,[94 55] ; [ 35 104],[66.73958333 82.26041667] ; [62.26041667 76.73958333],1
u1,1,0.0,33.016655,[ 39 111] ; [  3 136],[ 21.79930796 128.20069204] ; [ 20.20069204 118.79930796],1
a2,1,0.0,31.808267,[ 48 102] ; [  8 131],[ 29.06574394 120.93425606] ; [ 26.93425606 112.06574394],1
a5,1,1.7e-05,18.505955,[115  35] ; [73 66],[97.57785467 52.42214533] ; [90.42214533 48.57785467],1
a8,1,0.000673,11.561123,[  4 135] ; [ 19 113],[ 11.79704797 127.20295203] ; [ 11.20295203 120.79704797],1
a3,1,0.00074,11.38699,[113  37] ; [78 60],[99.47916667 50.52083333] ; [91.52083333 46.47916667],1
v2,1,0.001485,10.096623,[75 66] ; [45 87],[61.97802198 79.02197802] ; [58.02197802 73.97802198],0
p4,1,0.00201,9.540614,[64 86] ; [ 35 103],[51.5625 98.4375] ; [47.4375 90.5625],0
s2,1,0.008555,6.913474,[71 78] ; [44 92],[60.12280702 88.87719298] ; [54.87719298 81.12280702],0
n6,1,0.010325,6.577954,[120  30] ; [92 46],[110.41666667  39.58333333] ; [101.58333333  36.41666667],0
a7,1,0.011053,6.456698,[109  40] ; [82 57],[98.81597222 50.18402778] ; [92.18402778 46.81597222],0
s6,1,0.012326,6.26337,[91 57] ; [65 74],[80.44599303 67.55400697] ; [75.55400697 63.44599303],0
s8,1,0.01239,6.254196,[56 94] ; [ 33 106],[ 46.19377163 103.80622837] ; [42.80622837 96.19377163],0
s7,1,0.022244,5.226633,[57 82] ; [37 96],[48.03676471 90.96323529] ; [45.96323529 87.03676471],0
s3,1,0.031453,4.628061,[77 72] ; [53 83],[67.96491228 81.03508772] ; [62.03508772 73.96491228],0
a6,1,0.050315,3.83094,[104  46] ; [81 58],[96.02076125 53.97923875] ; [88.97923875 50.02076125],0
r2,1,0.066164,3.375703,[135  12] ; [118  21],[130.03846154  16.96153846] ; [122.96153846  16.03846154],0
