Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1e-06,23.228634,[ 2 13] ; [80 26],[10.16528926  4.83471074] ; [71.83471074 34.16528926],1
p2,1,0.01045,6.556562,[8 7] ; [88 19],[11.80327869  3.19672131] ; [84.19672131 22.80327869],0
p11,1,0.242385,1.366667,[8 7] ; [74 34],[10.  5.] ; [72. 36.],0
b1,1,0.347525,0.882475,[7 8] ; [37 71],[5.36585366 9.63414634] ; [38.63414634 69.36585366],0
