Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,7.4e-05,15.712439,[42  4] ; [13 13],[35.13888889 10.86111111] ; [19.86111111  6.13888889],1
p3,1,0.000113,14.910445,[33 13] ; [ 6 19],[25.26760563 20.73239437] ; [13.73239437 11.26760563],1
p11,1,0.00024,13.48495,[42  4] ; [14 12],[35.77777778 10.22222222] ; [20.22222222  5.77777778],1
v3,1,0.000387,12.592695,[25 19] ; [ 3 21],[18.11764706 25.88235294] ; [ 9.88235294 14.11764706],1
p4,1,0.001092,10.664256,[34 12] ; [ 9 17],[27.47222222 18.52777778] ; [15.52777778 10.47222222],0
p2,1,0.002175,9.396049,[42  4] ; [16 10],[37.05555556  8.94444444] ; [20.94444444  5.05555556],0
v2,1,0.002397,9.217772,[30 14] ; [ 8 18],[23.88571429 20.11428571] ; [14.11428571 11.88571429],0
v4,1,0.003213,8.682203,[45  1] ; [19  6],[41.46478873  4.53521127] ; [22.53521127  2.46478873],0
p8,1,0.005637,7.662732,[28 18] ; [ 7 19],[22.36111111 23.63888889] ; [12.63888889 13.36111111],0
p6,1,0.007853,7.066722,[25 20] ; [ 6 20],[19.64788732 25.35211268] ; [11.35211268 14.64788732],0
p10,1,0.014471,5.979735,[41  5] ; [17  9],[37.05555556  8.94444444] ; [20.94444444  5.05555556],0
a7,1,0.024106,5.086957,[35 11] ; [13 13],[30.66666667 15.33333333] ; [17.33333333  8.66666667],0
a8,1,0.028603,4.791379,[11 29] ; [ 1 21],[ 7.74193548 32.25806452] ; [ 4.25806452 17.74193548],0
r2,1,0.080536,3.054046,[44  2] ; [20  4],[42.05714286  3.94285714] ; [21.94285714  2.05714286],0
r1,1,0.080567,3.053435,[37  9] ; [16 10],[33.86111111 12.13888889] ; [19.13888889  6.86111111],0
a4,1,0.128933,2.305307,[18 28] ; [15 11],[21.08333333 24.91666667] ; [11.91666667 14.08333333],0
p9,1,0.240907,1.375276,[37  9] ; [17  8],[34.98591549 11.01408451] ; [19.01408451  5.98591549],0
a3,1,0.246127,1.345157,[38  7] ; [19  7],[36.12676056  8.87323944] ; [20.87323944  5.12676056],0
d2,1,0.246422,1.343474,[20 26] ; [15 11],[22.36111111 23.63888889] ; [12.63888889 13.36111111],0
d4,1,0.279767,1.168223,[36 10] ; [23  3],[37.69444444  8.30555556] ; [21.30555556  4.69444444],0
s3,1,0.287998,1.128958,[20 26] ; [ 8 18],[17.88888889 28.11111111] ; [10.11111111 15.88888889],0
a6,1,0.309433,1.033095,[32 14] ; [15 11],[30.02777778 15.97222222] ; [16.97222222  9.02777778],0
u1,1,0.338778,0.91505,[ 8 38] ; [ 7 19],[ 9.58333333 36.41666667] ; [ 5.41666667 20.58333333],0
d1,1,0.34526,0.890802,[23 23] ; [16 10],[24.91666667 21.08333333] ; [14.08333333 11.91666667],0
r3,1,0.385683,0.752508,[42  4] ; [22  4],[40.88888889  5.11111111] ; [23.11111111  2.88888889],0
n1,1,0.387094,0.748052,[4 4] ; [7 3],[4.88888889 3.11111111] ; [6.11111111 3.88888889],0
b5,1,0.421085,0.647285,[22 24] ; [15 11],[23.63888889 22.36111111] ; [13.36111111 12.63888889],0
v1,1,0.454457,0.559512,[23 22] ; [10 14],[21.52173913 23.47826087] ; [11.47826087 12.52173913],0
s2,1,0.478032,0.50335,[18 28] ; [ 8 18],[16.61111111 29.38888889] ; [ 9.38888889 16.61111111],0
d3,1,0.487696,0.481605,[32 14] ; [16 10],[30.66666667 15.33333333] ; [17.33333333  8.66666667],0
s4,1,0.577924,0.309603,[ 5 41] ; [ 4 22],[ 5.75 40.25] ; [ 3.25 22.75],0
b1,1,0.596334,0.280561,[17 29] ; [ 8 18],[15.97222222 30.02777778] ; [ 9.02777778 16.97222222],0
n3,1,0.598725,0.276923,[7 2] ; [6 3],[6.5 2.5] ; [6.5 2.5],0
s5,1,0.641873,0.216301,[ 8 38] ; [ 3 20],[ 7.33333333 38.66666667] ; [ 3.66666667 19.33333333],0
s8,1,0.651706,0.203756,[22 24] ; [11 15],[21.08333333 24.91666667] ; [11.91666667 14.08333333],0
p5,1,0.6776,0.17284,[ 5 40] ; [ 2 23],[ 4.5 40.5] ; [ 2.5 22.5],0
s1,1,0.678339,0.172002,[ 1 45] ; [ 1 25],[ 1.27777778 44.72222222] ; [ 0.72222222 25.27777778],0
a5,1,0.752847,0.099154,[32 14] ; [19  7],[32.58333333 13.41666667] ; [18.41666667  7.58333333],0
d5,1,0.776935,0.080268,[34 12] ; [20  6],[34.5 11.5] ; [19.5  6.5],0
u2,1,0.782055,0.076531,[4 4] ; [3 4],[3.73333333 4.26666667] ; [3.26666667 3.73333333],0
n5,1,0.822042,0.050589,[33 13] ; [18  8],[32.58333333 13.41666667] ; [18.41666667  7.58333333],0
u3,1,0.832662,0.044643,[5 3] ; [4 3],[4.8 3.2] ; [4.2 2.8],0
p1,1,0.851131,0.035222,[ 3 43] ; [ 2 24],[ 3.19444444 42.80555556] ; [ 1.80555556 24.19444444],0
n6,1,0.881229,0.022324,[38  8] ; [21  4],[38.22535211  7.77464789] ; [20.77464789  4.22535211],0
b4,1,0.891409,0.018638,[24 22] ; [14 12],[24.27777778 21.72222222] ; [13.72222222 12.27777778],0
b2,1,0.895926,0.017111,[19 16] ; [9 7],[19.21568627 15.78431373] ; [8.78431373 7.21568627],0
b3,1,0.895926,0.017111,[19 16] ; [9 7],[19.21568627 15.78431373] ; [8.78431373 7.21568627],0
n2,1,0.905565,0.014074,[7 2] ; [8 2],[7.10526316 1.89473684] ; [7.89473684 2.10526316],0
a1,1,0.918502,0.01047,[ 2 44] ; [ 1 25],[ 1.91666667 44.08333333] ; [ 1.08333333 24.91666667],0
a2,1,0.972525,0.001186,[ 9 37] ; [ 5 21],[ 8.94444444 37.05555556] ; [ 5.05555556 20.94444444],0
n4,1,0.972525,0.001186,[37  9] ; [21  5],[37.05555556  8.94444444] ; [20.94444444  5.05555556],0
