Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,80.253853,[102   2] ; [67 85],[68.65625 35.34375] ; [100.34375  51.65625],1
d3,1,0.0,78.764938,[94 10] ; [52 99],[59.54509804 44.45490196] ; [86.45490196 64.54509804],1
d4,1,0.0,62.813651,[102   2] ; [80 73],[73.64980545 30.35019455] ; [108.35019455  44.64980545],1
d2,1,0.0,57.250284,[71 32] ; [ 33 120],[41.84375 61.15625] ; [62.15625 90.84375],1
a5,1,0.0,35.171089,[86 19] ; [69 84],[63.08139535 41.91860465] ; [91.91860465 61.08139535],1
a2,1,0.0,29.049848,[35 70] ; [ 11 142],[18.72093023 86.27906977] ; [ 27.27906977 125.72093023],1
u1,1,1e-06,24.01644,[21 84] ; [  3 150],[ 9.76744186 95.23255814] ; [ 14.23255814 138.76744186],1
a6,1,2.6e-05,17.658509,[77 27] ; [73 80],[60.70038911 43.29961089] ; [89.29961089 63.70038911],1
a4,1,2.7e-05,17.63705,[56 48] ; [ 42 109],[39.96862745 64.03137255] ; [58.03137255 92.96862745],1
r1,1,7.7e-05,15.618347,[83 21] ; [85 67],[68.25 35.75] ; [99.75 52.25],1
r4,1,0.000596,11.788932,[91 14] ; [104  49],[79.36046512 25.63953488] ; [115.63953488  37.36046512],1
a3,1,0.001507,10.070502,[76 29] ; [79 71],[63.82352941 41.17647059] ; [91.17647059 58.82352941],0
r2,1,0.001791,9.751911,[97  5] ; [125  28],[88.8 13.2] ; [133.2  19.8],0
s8,1,0.00255,9.104073,[41 64] ; [ 33 119],[30.23346304 74.76653696] ; [ 43.76653696 108.23346304],0
a7,1,0.00612,7.51463,[77 28] ; [86 66],[66.59533074 38.40466926] ; [96.40466926 55.59533074],0
p6,1,0.017681,5.627512,[30 74] ; [ 25 127],[22.34375 81.65625] ; [ 32.65625 119.34375],0
v4,1,0.018739,5.525715,[97  8] ; [124  27],[90.64453125 14.35546875] ; [130.35546875  20.64453125],0
r3,1,0.018761,5.52368,[94 11] ; [119  33],[87.0233463 17.9766537] ; [125.9766537  26.0233463],0
p4,1,0.058946,3.566789,[41 64] ; [ 42 109],[34.04296875 70.95703125] ; [ 48.95703125 102.04296875],0
n6,1,0.059962,3.538444,[83 22] ; [104  48],[76.40077821 28.59922179] ; [110.59922179  41.40077821],0
s6,1,0.067684,3.33832,[61 43] ; [71 80],[53.83529412 50.16470588] ; [78.16470588 72.83529412],0
b4,1,0.074259,3.18628,[66 39] ; [79 74],[59.01162791 45.98837209] ; [85.98837209 67.01162791],0
n4,1,0.089744,2.878966,[75 30] ; [93 59],[68.6381323 36.3618677] ; [99.3618677 52.6381323],0
u3,1,0.096582,2.76109,[18 11] ; [32 41],[14.21568627 14.78431373] ; [35.78431373 37.21568627],0
p7,1,0.11443,2.491952,[51 52] ; [58 89],[44.908 58.092] ; [64.092 82.908],0
u2,1,0.124411,2.360888,[18 11] ; [33 40],[14.5 14.5] ; [36.5 36.5],0
s1,1,0.138931,2.189762,[ 4 99] ; [ 13 138],[ 6.89370079 96.10629921] ; [ 10.10629921 140.89370079],0
