Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.189342,1.722727,[55  7] ; [99 23],[51.89130435 10.10869565] ; [102.10869565  19.89130435],0
d4,1,0.189342,1.722727,[55  7] ; [99 23],[51.89130435 10.10869565] ; [102.10869565  19.89130435],0
s7,1,0.213278,1.549032,[24 33] ; [59 54],[27.82941176 29.17058824] ; [55.17058824 57.82941176],0
a6,1,0.246407,1.343561,[43 19] ; [74 48],[39.42391304 22.57608696] ; [77.57608696 44.42391304],0
r3,1,0.252881,1.307317,[56  5] ; [104  17],[53.62637363  7.37362637] ; [106.37362637  14.62637363],0
p9,1,0.271114,1.2111,[58  4] ; [107  14],[55.90163934  6.09836066] ; [109.09836066  11.90163934],0
p3,1,0.274364,1.194798,[19 43] ; [47 74],[22.36065574 39.63934426] ; [43.63934426 77.36065574],0
n1,1,0.279602,1.169024,[ 4 16] ; [14 28],[ 5.80645161 14.19354839] ; [12.19354839 29.80645161],0
d3,1,0.287912,1.129361,[48 14] ; [84 36],[44.96703297 17.03296703] ; [87.03296703 32.96703297],0
d1,1,0.350561,0.871424,[40 22] ; [70 52],[37.06521739 24.93478261] ; [72.93478261 49.06521739],0
a7,1,0.352065,0.866,[49 13] ; [88 33],[46.41530055 15.58469945] ; [90.58469945 30.41530055],0
s5,1,0.376754,0.781268,[20 37] ; [48 66],[22.66666667 34.33333333] ; [45.33333333 68.66666667],0
p1,1,0.393196,0.729034,[ 3 59] ; [ 10 111],[ 4.40437158 57.59562842] ; [  8.59562842 112.40437158],0
v2,1,0.394193,0.725968,[34 25] ; [60 58],[31.33333333 27.66666667] ; [62.66666667 55.33333333],0
p4,1,0.433395,0.613708,[26 35] ; [59 62],[28.48901099 32.51098901] ; [56.51098901 64.48901099],0
s4,1,0.439177,0.598431,[18 44] ; [29 93],[15.83695652 46.16304348] ; [31.16304348 90.83695652],0
u3,1,0.455083,0.557961,[10 12] ; [20 16],[11.37931034 10.62068966] ; [18.62068966 17.37931034],0
a3,1,0.45534,0.557326,[39 22] ; [84 37],[41.22527473 19.77472527] ; [81.77472527 39.22527473],0
s2,1,0.457146,0.552873,[32 30] ; [70 52],[34.36956522 27.63043478] ; [67.63043478 54.36956522],0
b5,1,0.466525,0.530194,[42 20] ; [76 46],[39.76086957 22.23913043] ; [78.23913043 43.76086957],0
d2,1,0.530271,0.393873,[30 32] ; [65 57],[32.01086957 29.98913043] ; [62.98913043 59.01086957],0
u1,1,0.535094,0.384709,[13 49] ; [ 21 101],[11.45652174 50.54347826] ; [22.54347826 99.45652174],0
d5,1,0.541844,0.372133,[52 10] ; [97 24],[50.48087432 11.51912568] ; [98.51912568 22.48087432],0
s3,1,0.598666,0.277012,[31 31] ; [66 56],[32.68478261 29.31521739] ; [64.31521739 57.68478261],0
p5,1,0.601188,0.273207,[ 6 56] ; [  9 112],[ 5.08196721 56.91803279] ; [  9.91803279 111.08196721],0
u2,1,0.604472,0.268303,[ 9 14] ; [17 20],[ 9.96666667 13.03333333] ; [16.03333333 20.96666667],0
s8,1,0.608917,0.261755,[26 36] ; [56 66],[27.63043478 34.36956522] ; [54.36956522 67.63043478],0
b2,1,0.62018,0.245614,[10 18] ; [17 39],[ 9. 19.] ; [18. 38.],0
b3,1,0.62018,0.245614,[10 18] ; [17 39],[ 9. 19.] ; [18. 38.],0
p8,1,0.649867,0.206068,[25 37] ; [45 77],[23.58695652 38.41304348] ; [46.41304348 75.58695652],0
