Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n3,1,0.011295,6.418234,[ 3 10] ; [7 2],[5.90909091 7.09090909] ; [4.09090909 4.90909091],0
v2,1,0.014371,5.991962,[ 1 22] ; [ 6 12],[ 3.92682927 19.07317073] ; [ 3.07317073 14.92682927],0
p2,1,0.024319,5.071732,[ 3 20] ; [ 8 10],[ 6.17073171 16.82926829] ; [ 4.82926829 13.17073171],0
n2,1,0.024427,5.064083,[ 3 10] ; [7 3],[5.65217391 7.34782609] ; [4.34782609 5.65217391],0
n6,1,0.031258,4.638715,[ 6 16] ; [11  7],[ 9.35 12.65] ; [ 7.65 10.35],0
u2,1,0.035774,4.407857,[1 9] ; [4 3],[2.94117647 7.05882353] ; [2.05882353 4.94117647],0
s6,1,0.095726,2.775349,[ 3 20] ; [ 6 11],[ 5.175 17.825] ; [ 3.825 13.175],0
r2,1,0.116509,2.463639,[10 12] ; [12  5],[12.41025641  9.58974359] ; [9.58974359 7.41025641],0
a7,1,0.18348,1.769213,[ 8 15] ; [10  8],[10.09756098 12.90243902] ; [ 7.90243902 10.09756098],0
a1,1,0.229817,1.441992,[ 6 17] ; [ 2 16],[ 4.48780488 18.51219512] ; [ 3.51219512 14.48780488],0
s1,1,0.250412,1.321001,[ 4 19] ; [ 1 17],[ 2.80487805 20.19512195] ; [ 2.19512195 15.80487805],0
b5,1,0.262305,1.25655,[10 13] ; [11  7],[11.7804878 11.2195122] ; [9.2195122 8.7804878],0
b3,1,0.314736,1.010695,[ 6 11] ; [6 5],[7.28571429 9.71428571] ; [4.71428571 6.28571429],0
b2,1,0.314736,1.010695,[ 6 11] ; [6 5],[7.28571429 9.71428571] ; [4.71428571 6.28571429],0
n4,1,0.382003,0.764247,[17  6] ; [11  7],[15.70731707  7.29268293] ; [12.29268293  5.70731707],0
r1,1,0.382003,0.764247,[ 6 17] ; [ 7 11],[ 7.29268293 15.70731707] ; [ 5.70731707 12.29268293],0
s5,1,0.397422,0.716113,[ 2 21] ; [ 3 14],[ 2.875 20.125] ; [ 2.125 14.875],0
s4,1,0.425232,0.635811,[ 4 19] ; [ 5 13],[ 5.04878049 17.95121951] ; [ 3.95121951 14.04878049],0
p11,1,0.425232,0.635811,[ 4 19] ; [ 5 13],[ 5.04878049 17.95121951] ; [ 3.95121951 14.04878049],0
d2,1,0.436275,0.606061,[10 12] ; [ 6 12],[ 8.8 13.2] ; [ 7.2 10.8],0
d5,1,0.442618,0.589487,[10 13] ; [10  8],[11.2195122 11.7804878] ; [8.7804878 9.2195122],0
a6,1,0.442618,0.589487,[13 10] ; [ 8 10],[11.7804878 11.2195122] ; [9.2195122 8.7804878],0
n5,1,0.555863,0.346918,[16  7] ; [14  4],[16.82926829  6.17073171] ; [13.17073171  4.82926829],0
p9,1,0.562713,0.335028,[ 4 19] ; [ 4 12],[ 4.71794872 18.28205128] ; [ 3.28205128 12.71794872],0
s3,1,0.568403,0.325361,[ 7 15] ; [ 4 13],[ 6.20512821 15.79487179] ; [ 4.79487179 12.20512821],0
b4,1,0.623158,0.241454,[11 12] ; [10  8],[11.7804878 11.2195122] ; [9.2195122 8.7804878],0
s7,1,0.650147,0.205714,[ 3 18] ; [ 3 12],[ 3.5 17.5] ; [ 2.5 12.5],0
a5,1,0.677708,0.172717,[13 10] ; [9 9],[12.34146341 10.65853659] ; [9.65853659 8.34146341],0
p4,1,0.684204,0.165431,[ 5 18] ; [ 3 15],[ 4.48780488 18.51219512] ; [ 3.51219512 14.48780488],0
p3,1,0.684204,0.165431,[ 5 18] ; [ 3 15],[ 4.48780488 18.51219512] ; [ 3.51219512 14.48780488],0
v1,1,0.684204,0.165431,[ 5 18] ; [ 3 15],[ 4.48780488 18.51219512] ; [ 3.51219512 14.48780488],0
b1,1,0.70213,0.146265,[14  9] ; [12  6],[14.58536585  8.41463415] ; [11.41463415  6.58536585],0
a4,1,0.720786,0.127741,[ 9 13] ; [ 6 11],[ 8.46153846 13.53846154] ; [ 6.53846154 10.46153846],0
a3,1,0.720786,0.127741,[13  9] ; [11  6],[13.53846154  8.46153846] ; [10.46153846  6.53846154],0
p8,1,0.784916,0.074484,[ 2 20] ; [ 2 15],[ 2.25641026 19.74358974] ; [ 1.74358974 15.25641026],0
a2,1,0.851152,0.035212,[ 3 20] ; [ 2 16],[ 2.80487805 20.19512195] ; [ 2.19512195 15.80487805],0
d1,1,0.852786,0.034434,[ 7 16] ; [ 5 13],[ 6.73170732 16.26829268] ; [ 5.26829268 12.73170732],0
n1,1,0.854757,0.033508,[6 7] ; [5 5],[6.2173913 6.7826087] ; [4.7826087 5.2173913],0
p5,1,0.884059,0.021265,[ 1 21] ; [ 1 17],[ 1.1 20.9] ; [ 0.9 17.1],0
d4,1,0.890082,0.019099,[11 12] ; [9 9],[11.2195122 11.7804878] ; [8.7804878 9.2195122],0
p7,1,0.903482,0.014705,[ 6 17] ; [ 5 13],[ 6.17073171 16.82926829] ; [ 4.82926829 13.17073171],0
s2,1,0.951203,0.003745,[ 4 19] ; [ 3 15],[ 3.92682927 19.07317073] ; [ 3.07317073 14.92682927],0
v3,1,0.970415,0.001375,[ 5 18] ; [ 4 14],[ 5.04878049 17.95121951] ; [ 3.95121951 14.04878049],0
d3,1,0.987446,0.000248,[ 9 14] ; [ 7 11],[ 8.97560976 14.02439024] ; [ 7.02439024 10.97560976],0
