Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s4,1,0.002136,9.428571,[ 4 18] ; [8 3],[ 8. 14.] ; [4. 7.],0
p8,1,0.007449,7.1614,[ 5 16] ; [8 3],[ 8.53125 12.46875] ; [4.46875 6.53125],0
n1,1,0.038867,4.266667,[3 7] ; [5 1],[5. 5.] ; [3. 3.],0
p3,1,0.048796,3.882353,[ 8 14] ; [8 3],[10.66666667 11.33333333] ; [5.33333333 5.66666667],0
p1,1,0.059329,3.556034,[ 1 21] ; [3 8],[ 2.66666667 19.33333333] ; [1.33333333 9.66666667],0
a7,1,0.081262,3.039474,[15  7] ; [4 7],[12.66666667  9.33333333] ; [6.33333333 4.66666667],0
p4,1,0.084695,2.972426,[ 9 13] ; [8 3],[11.33333333 10.66666667] ; [5.66666667 5.33333333],0
a4,1,0.097254,2.75,[ 4 18] ; [5 6],[ 6. 16.] ; [3. 8.],0
b2,1,0.143235,2.142857,[ 5 11] ; [5 3],[6.66666667 9.33333333] ; [3.33333333 4.66666667],0
b3,1,0.143235,2.142857,[ 5 11] ; [5 3],[6.66666667 9.33333333] ; [3.33333333 4.66666667],0
p7,1,0.173872,1.849241,[10 11] ; [8 3],[11.8125  9.1875] ; [6.1875 4.8125],0
a5,1,0.207821,1.586538,[15  7] ; [5 6],[13.33333333  8.66666667] ; [6.66666667 4.33333333],0
r4,1,0.284005,1.147826,[14  8] ; [9 2],[15.33333333  6.66666667] ; [7.66666667 3.33333333],0
n4,1,0.324534,0.970588,[12 10] ; [4 7],[10.66666667 11.33333333] ; [5.33333333 5.66666667],0
v1,1,0.332275,0.940012,[11  9] ; [8 3],[12.25806452  7.74193548] ; [6.74193548 4.25806452],0
d3,1,0.407016,0.6875,[17  5] ; [7 4],[16.  6.] ; [8. 3.],0
d4,1,0.45067,0.568966,[20  2] ; [9 2],[19.33333333  2.66666667] ; [9.66666667 1.33333333],0
s8,1,0.458318,0.55,[13  9] ; [5 6],[12. 10.] ; [6. 5.],0
u3,1,0.477267,0.505102,[5 2] ; [2 2],[4.45454545 2.54545455] ; [2.54545455 1.45454545],0
r2,1,0.481819,0.494743,[19  2] ; [9 2],[18.375  2.625] ; [9.625 1.375],0
v4,1,0.492331,0.471429,[18  4] ; [10  1],[18.66666667  3.33333333] ; [9.33333333 1.66666667],0
s6,1,0.547045,0.362637,[18  4] ; [8 3],[17.33333333  4.66666667] ; [8.66666667 2.33333333],0
p10,1,0.601508,0.272727,[14  8] ; [8 3],[14.66666667  7.33333333] ; [7.33333333 3.66666667],0
n5,1,0.618402,0.24812,[10 12] ; [4 7],[ 9.33333333 12.66666667] ; [4.66666667 6.33333333],0
b5,1,0.622301,0.242647,[12 10] ; [5 6],[11.33333333 10.66666667] ; [5.66666667 5.33333333],0
r1,1,0.6515,0.204014,[15  6] ; [7 4],[14.4375  6.5625] ; [7.5625 3.4375],0
s3,1,0.6515,0.204014,[15  6] ; [7 4],[14.4375  6.5625] ; [7.5625 3.4375],0
u2,1,0.657619,0.196429,[6 1] ; [3 1],[5.72727273 1.27272727] ; [3.27272727 0.72727273],0
s2,1,0.687245,0.162084,[13  8] ; [6 5],[12.46875  8.53125] ; [6.53125 4.46875],0
s7,1,0.722416,0.12619,[12  9] ; [7 4],[12.46875  8.53125] ; [6.53125 4.46875],0
p2,1,0.763341,0.090659,[17  5] ; [9 2],[17.33333333  4.66666667] ; [8.66666667 2.33333333],0
a3,1,0.794003,0.068182,[15  7] ; [7 4],[14.66666667  7.33333333] ; [7.33333333 3.66666667],0
p11,1,0.803316,0.06203,[13  9] ; [6 5],[12.66666667  9.33333333] ; [6.33333333 4.66666667],0
d1,1,0.803316,0.06203,[13  9] ; [6 5],[12.66666667  9.33333333] ; [6.33333333 4.66666667],0
v2,1,0.805453,0.060662,[11 11] ; [5 6],[10.66666667 11.33333333] ; [5.33333333 5.66666667],0
d2,1,0.805453,0.060662,[11 11] ; [5 6],[10.66666667 11.33333333] ; [5.33333333 5.66666667],0
v3,1,0.949972,0.003937,[ 4 17] ; [2 8],[ 4.06451613 16.93548387] ; [1.93548387 8.06451613],0
n3,1,1.0,0.0,[5 5] ; [3 3],[5. 5.] ; [3. 3.],0
p5,1,1.0,0.0,[ 2 20] ; [ 1 10],[ 2. 20.] ; [ 1. 10.],0
a6,1,1.0,0.0,[12 10] ; [6 5],[12. 10.] ; [6. 5.],0
a2,1,1.0,0.0,[ 2 20] ; [ 1 10],[ 2. 20.] ; [ 1. 10.],0
p9,1,1.0,0.0,[16  6] ; [8 3],[16.  6.] ; [8. 3.],0
b4,1,1.0,0.0,[14  8] ; [7 4],[14.  8.] ; [7. 4.],0
b1,1,1.0,0.0,[12 10] ; [6 5],[12. 10.] ; [6. 5.],0
