Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,42.534719,[ 22 117] ; [104 103],[50.61849711 88.38150289] ; [ 75.38150289 131.61849711],1
d1,1,0.0,40.915832,[ 35 105] ; [125  84],[64.18338109 75.81661891] ; [ 95.81661891 113.18338109],1
a3,1,0.0,32.059387,[59 79] ; [152  56],[84.15606936 53.84393064] ; [126.84393064  81.15606936],1
d5,1,0.0,28.539033,[75 64] ; [168  40],[97.34005764 41.65994236] ; [145.65994236  62.34005764],1
d2,1,0.0,28.292948,[ 30 109] ; [103 103],[53.58550725 85.41449275] ; [ 79.41449275 126.58550725],1
a6,1,0.0,26.031583,[66 74] ; [154  54],[88.50574713 51.49425287] ; [131.49425287  76.50574713],1
n4,1,2.1e-05,18.078262,[69 70] ; [150  58],[87.72622478 51.27377522] ; [131.27377522  76.72622478],1
d4,1,3.7e-05,17.016603,[87 51] ; [172  36],[103.30057803  34.69942197] ; [155.69942197  52.30057803],1
u1,1,4.1e-05,16.818409,[  2 138] ; [ 30 179],[ 12.83667622 127.16332378] ; [ 19.16332378 189.83667622],1
r1,1,5.4e-05,16.312726,[78 62] ; [158  49],[95.21613833 44.78386167] ; [140.78386167  66.21613833],1
d3,1,0.000101,15.115818,[69 69] ; [147  61],[86.15028902 51.84971098] ; [129.84971098  78.15028902],1
a7,1,0.000988,10.850296,[78 60] ; [153  55],[92.13294798 45.86705202] ; [138.86705202  69.13294798],1
r4,1,0.002252,9.331957,[93 47] ; [169  40],[105.10028653  34.89971347] ; [156.89971347  52.10028653],0
p4,1,0.004127,8.226964,[ 28 109] ; [ 72 135],[39.8255814 97.1744186] ; [ 60.1744186 146.8255814],0
r2,1,0.021853,5.257431,[116  23] ; [185  17],[122.69501466  16.30498534] ; [178.30498534  23.69501466],0
n6,1,0.022417,5.21313,[91 48] ; [158  48],[100.32173913  38.67826087] ; [148.67826087  57.32173913],0
s6,1,0.024874,5.032658,[50 87] ; [100 105],[60.0877193 76.9122807] ; [ 89.9122807 115.0877193],0
s7,1,0.025262,5.005848,[ 18 118] ; [ 46 154],[ 25.9047619 110.0952381] ; [ 38.0952381 161.9047619],0
n5,1,0.03962,4.234091,[79 59] ; [141  66],[88. 50.] ; [132.  75.],0
p2,1,0.050257,3.832851,[90 49] ; [155  53],[98.14121037 40.85878963] ; [146.85878963  61.14121037],0
r3,1,0.052343,3.764781,[114  24] ; [185  21],[119.94767442  18.05232558] ; [179.05232558  26.94767442],0
v1,1,0.054612,3.693902,[43 94] ; [ 85 119],[51.42521994 85.57478006] ; [ 76.57478006 127.42521994],0
p10,1,0.062568,3.46798,[77 58] ; [138  68],[85.11730205 49.88269795] ; [129.88269795  76.11730205],0
b4,1,0.070333,3.275236,[90 50] ; [114  95],[81.83381089 58.16618911] ; [122.16618911  86.83381089],0
v4,1,0.075928,3.149986,[114  24] ; [183  22],[119.49271137  18.50728863] ; [177.50728863  27.49271137],0
v2,1,0.099,2.721581,[50 80] ; [ 94 103],[57.24770642 72.75229358] ; [ 86.75229358 110.24770642],0
p6,1,0.131107,2.279343,[ 28 109] ; [ 29 175],[ 22.90029326 114.09970674] ; [ 34.09970674 169.90029326],0
p8,1,0.160715,1.967485,[38 99] ; [ 71 132],[43.92058824 93.07941176] ; [ 65.07941176 137.92058824],0
p9,1,0.183108,1.77222,[87 47] ; [145  57],[92.52380952 41.47619048] ; [139.47619048  62.52380952],0
b2,1,0.190843,1.711096,[20 53] ; [40 69],[24.06593407 48.93406593] ; [35.93406593 73.06593407],0
b3,1,0.190843,1.711096,[20 53] ; [40 69],[24.06593407 48.93406593] ; [35.93406593 73.06593407],0
p5,1,0.199957,1.642692,[  3 136] ; [ 10 197],[  5.22254335 133.77745665] ; [  7.77745665 199.22254335],0
s4,1,0.234576,1.412898,[ 23 115] ; [ 25 181],[ 19.25581395 118.74418605] ; [ 28.74418605 177.25581395],0
v3,1,0.253621,1.30325,[ 30 105] ; [ 55 143],[ 34.45945946 100.54054054] ; [ 50.54054054 147.45945946],0
s3,1,0.362191,0.830281,[56 80] ; [ 74 130],[52. 84.] ; [ 78. 126.],0
n2,1,0.49288,0.470232,[34 19] ; [49 21],[35.76422764 17.23577236] ; [47.23577236 22.76422764],0
u4,1,0.535045,0.384802,[  1 139] ; [  3 206],[  1.60458453 138.39541547] ; [  2.39541547 206.60458453],0
s1,1,0.535318,0.384286,[  8 128] ; [  9 196],[  6.78005865 129.21994135] ; [ 10.21994135 194.78005865],0
p1,1,0.559907,0.339866,[  6 132] ; [ 12 196],[  7.17919075 130.82080925] ; [ 10.82080925 197.17919075],0
a1,1,0.583861,0.300034,[  5 135] ; [ 10 199],[  6.01719198 133.98280802] ; [  8.98280802 200.01719198],0
p11,1,0.597178,0.279273,[92 48] ; [143  66],[94.26934097 45.73065903] ; [140.73065903  68.26934097],0
p12,1,0.617012,0.25009,[  4 135] ; [  8 198],[  4.83478261 134.16521739] ; [  7.16521739 198.83478261],0
s5,1,0.649013,0.207146,[ 23 114] ; [ 38 165],[ 24.57941176 112.42058824] ; [ 36.42058824 166.57941176],0
n3,1,0.655177,0.199435,[35 19] ; [46 21],[36.14876033 17.85123967] ; [44.85123967 22.14876033],0
a8,1,0.674602,0.176266,[ 13 118] ; [ 22 171],[ 14.15123457 116.84876543] ; [ 20.84876543 172.15123457],0
p7,1,0.708586,0.139693,[56 75] ; [ 83 121],[54.35522388 76.64477612] ; [ 84.64477612 119.35522388],0
u3,1,0.757236,0.09555,[35 45] ; [26 30],[35.88235294 44.11764706] ; [25.11764706 30.88235294],0
