Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1.1e-05,19.338102,[ 9 17] ; [57 13],[17.875  8.125] ; [48.125 21.875],1
p10,1,5.6e-05,16.243836,[13 15] ; [60 10],[20.85714286  7.14285714] ; [52.14285714 17.85714286],1
p2,1,0.000275,13.235808,[15 13] ; [62  9],[21.77777778  6.22222222] ; [55.22222222 15.77777778],1
s8,1,0.000911,11.000458,[ 6 22] ; [42 30],[13.44 14.56] ; [34.56 37.44],1
d5,1,0.006496,7.407407,[14 14] ; [56 16],[19.6  8.4] ; [50.4 21.6],0
r3,1,0.012605,6.223695,[21  7] ; [67  5],[24.64  3.36] ; [63.36  8.64],0
p9,1,0.016685,5.729167,[18  9] ; [63  9],[22.09090909  4.90909091] ; [58.90909091 13.09090909],0
p8,1,0.01814,5.582565,[ 6 21] ; [34 36],[11.13402062 15.86597938] ; [28.86597938 41.13402062],0
v4,1,0.021068,5.321124,[20  8] ; [63  7],[23.71428571  4.28571429] ; [59.28571429 10.71428571],0
n4,1,0.024159,5.08317,[14 14] ; [53 19],[18.76  9.24] ; [48.24 23.76],0
n6,1,0.058913,3.567716,[17 11] ; [57 15],[20.72  7.28] ; [53.28 18.72],0
s2,1,0.074923,3.171732,[15 13] ; [52 20],[18.76  9.24] ; [48.24 23.76],0
a7,1,0.110943,2.540732,[13 15] ; [46 26],[16.52 11.48] ; [42.48 29.52],0
u2,1,0.112805,2.514474,[4 9] ; [15 11],[6.33333333 6.66666667] ; [12.66666667 13.33333333],0
s7,1,0.113489,2.504956,[10 17] ; [39 32],[13.5 13.5] ; [35.5 35.5],0
p6,1,0.1277,2.32024,[ 6 21] ; [27 43],[ 9.18556701 17.81443299] ; [23.81443299 46.18556701],0
v3,1,0.140009,2.177864,[ 5 22] ; [23 45],[ 7.95789474 19.04210526] ; [20.04210526 47.95789474],0
b1,1,0.143729,2.137579,[15 13] ; [27 45],[11.76 16.24] ; [30.24 41.76],0
a6,1,0.143729,2.137579,[13 15] ; [45 27],[16.24 11.76] ; [41.76 30.24],0
n5,1,0.157487,1.998196,[17 11] ; [54 18],[19.88  8.12] ; [51.12 20.88],0
d1,1,0.17144,1.870309,[ 9 19] ; [34 38],[12.04 15.96] ; [30.96 41.04],0
r4,1,0.223288,1.483116,[15 13] ; [48 24],[17.64 10.36] ; [45.36 26.64],0
v2,1,0.251102,1.317163,[10 18] ; [33 35],[12.54166667 15.45833333] ; [30.45833333 37.54166667],0
d2,1,0.253813,1.302191,[14 14] ; [27 45],[11.48 16.52] ; [29.52 42.48],0
b4,1,0.278863,1.172622,[15 13] ; [47 25],[17.36 10.64] ; [44.64 27.36],0
d3,1,0.28263,1.154401,[13 15] ; [42 30],[15.4 12.6] ; [39.6 32.4],0
d4,1,0.283977,1.147959,[18 10] ; [54 18],[20.16  7.84] ; [51.84 20.16],0
v1,1,0.345233,0.890901,[11 16] ; [35 33],[13.07368421 13.92631579] ; [32.92631579 35.07368421],0
b3,1,0.352553,0.864246,[6 9] ; [14 37],[ 4.54545455 10.45454545] ; [15.45454545 35.54545455],0
b2,1,0.352553,0.864246,[6 9] ; [14 37],[ 4.54545455 10.45454545] ; [15.45454545 35.54545455],0
a3,1,0.447658,0.576575,[15 12] ; [46 26],[16.63636364 10.36363636] ; [44.36363636 27.63636364],0
n1,1,0.515759,0.422366,[4 6] ; [9 8],[4.81481481 5.18518519] ; [8.18518519 8.81481481],0
u1,1,0.539784,0.37594,[ 2 26] ; [ 3 69],[ 1.4 26.6] ; [ 3.6 68.4],0
p7,1,0.543666,0.368788,[15 13] ; [41 27],[16.33333333 11.66666667] ; [39.66666667 28.33333333],0
r2,1,0.572312,0.318829,[21  5] ; [59 10],[21.89473684  4.10526316] ; [58.10526316 10.89473684],0
a5,1,0.575787,0.313095,[15 13] ; [43 29],[16.24 11.76] ; [41.76 30.24],0
s4,1,0.607011,0.26455,[ 8 20] ; [17 55],[ 7. 21.] ; [18. 54.],0
p1,1,0.724207,0.124497,[ 3 25] ; [ 6 65],[ 2.54545455 25.45454545] ; [ 6.45454545 64.54545455],0
a8,1,0.752219,0.099676,[ 3 25] ; [ 9 60],[ 3.46391753 24.53608247] ; [ 8.53608247 60.46391753],0
a4,1,0.770588,0.085034,[ 9 19] ; [21 51],[ 8.4 19.6] ; [21.6 50.4],0
s1,1,0.776863,0.080321,[ 2 26] ; [ 4 67],[ 1.6969697 26.3030303] ; [ 4.3030303 66.6969697],0
s5,1,0.790562,0.070533,[ 8 16] ; [24 42],[ 8.53333333 15.46666667] ; [23.46666667 42.53333333],0
p4,1,0.802863,0.062322,[14 14] ; [38 34],[14.56 13.44] ; [37.44 34.56],0
u3,1,0.820789,0.051316,[6 7] ; [13 13],[6.33333333 6.66666667] ; [12.66666667 13.33333333],0
