Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,5e-06,20.790805,[302  34] ; [31 16],[292.13577023  43.86422977] ; [40.86422977  6.13577023],1
r2,1,0.000359,12.733984,[330   8] ; [41  6],[325.70909091  12.29090909] ; [45.29090909  1.70909091],1
r1,1,0.000565,11.886665,[288  53] ; [30 17],[279.47938144  61.52061856] ; [38.52061856  8.47938144],1
s7,1,0.00063,11.686566,[246  85] ; [23 23],[236.17771883  94.82228117] ; [32.82228117 13.17771883],1
s8,1,0.014323,5.997907,[223 119] ; [22 25],[215.39845758 126.60154242] ; [29.60154242 17.39845758],0
s5,1,0.019007,5.500895,[166 159] ; [15 31],[158.55795148 166.44204852] ; [22.44204852 23.55795148],0
n3,1,0.022145,5.234374,[51 15] ; [6 7],[47.62025316 18.37974684] ; [9.37974684 3.62025316],0
p12,1,0.037822,4.313031,[ 42 301] ; [ 1 46],[ 37.81794872 305.18205128] ; [ 5.18205128 41.81794872],0
n1,1,0.049297,3.865202,[29 36] ; [ 2 11],[25.83333333 39.16666667] ; [5.16666667 7.83333333],0
p11,1,0.05076,3.816182,[276  67] ; [32 15],[270.88205128  72.11794872] ; [37.11794872  9.88205128],0
p9,1,0.091578,2.846407,[309  31] ; [39  8],[305.73643411  34.26356589] ; [42.26356589  4.73643411],0
a3,1,0.101556,2.680936,[263  79] ; [31 16],[258.4781491  83.5218509] ; [35.5218509 11.4781491],0
n2,1,0.110831,2.542334,[53 12] ; [8 5],[50.83333333 14.16666667] ; [10.16666667  2.83333333],0
d1,1,0.13241,2.264015,[228 115] ; [26 21],[223.38974359 119.61025641] ; [30.61025641 16.38974359],0
b5,1,0.136935,2.21207,[202 141] ; [33 14],[206.67948718 136.32051282] ; [28.32051282 18.67948718],0
u3,1,0.139205,2.186725,[54 24] ; [8 8],[51.44680851 26.55319149] ; [10.55319149  5.44680851],0
p1,1,0.205483,1.60297,[ 34 307] ; [ 2 45],[ 31.63917526 309.36082474] ; [ 4.36082474 42.63917526],0
p4,1,0.23828,1.390741,[240 102] ; [29 18],[236.49871465 105.50128535] ; [32.50128535 14.49871465],0
p6,1,0.257217,1.283673,[151 189] ; [25 22],[154.625323 185.374677] ; [21.374677 25.625323],0
r4,1,0.258209,1.278334,[316  27] ; [41  6],[313.97692308  29.02307692] ; [43.02307692  3.97692308],0
d2,1,0.264304,1.246074,[183 160] ; [21 26],[179.41538462 163.58461538] ; [24.58461538 22.41538462],0
n4,1,0.273383,1.199692,[277  64] ; [35 12],[274.20618557  66.79381443] ; [37.79381443  9.20618557],0
p3,1,0.295267,1.095447,[195 147] ; [23 24],[191.66066838 150.33933162] ; [26.33933162 20.66066838],0
a2,1,0.312914,1.018334,[ 97 246] ; [10 37],[ 94.10512821 248.89487179] ; [12.89487179 34.10512821],0
s4,1,0.320229,0.98801,[ 83 256] ; [ 8 37],[ 80.3359375 258.6640625] ; [10.6640625 34.3359375],0
u2,1,0.413735,0.668042,[47 30] ; [8 8],[45.53763441 31.46236559] ; [9.46236559 6.53763441],0
a1,1,0.417415,0.657582,[ 19 324] ; [ 4 43],[ 20.22820513 322.77179487] ; [ 2.77179487 44.22820513],0
n5,1,0.467283,0.528395,[275  66] ; [35 11],[273.15245478  67.84754522] ; [36.84754522  9.15245478],0
v1,1,0.489125,0.47845,[186 144] ; [29 18],[188.19628647 141.80371353] ; [26.80371353 20.19628647],0
p5,1,0.492789,0.470432,[ 49 293] ; [ 5 42],[ 47.47557841 294.52442159] ; [ 6.52442159 40.47557841],0
d5,1,0.514449,0.425008,[288  54] ; [37  9],[286.46907216  55.53092784] ; [38.53092784  7.46907216],0
