Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,33.180163,[102  32] ; [ 8 26],[87.73809524 46.26190476] ; [22.26190476 11.73809524],1
r3,1,0.0,28.808165,[114  20] ; [14 20],[102.0952381  31.9047619] ; [25.9047619  8.0952381],1
r2,1,3e-06,21.723002,[122  11] ; [19 13],[113.65454545  19.34545455] ; [27.34545455  4.65454545],1
s6,1,1.7e-05,18.486111,[83 49] ; [ 7 26],[72. 60.] ; [18. 15.],1
n6,1,1.8e-05,18.418104,[94 39] ; [10 23],[83.3253012 49.6746988] ; [20.6746988 12.3253012],1
r1,1,0.000302,13.057846,[95 38] ; [13 21],[86.01197605 46.98802395] ; [21.98802395 12.01197605],1
s8,1,0.000366,12.699395,[50 83] ; [ 2 32],[41.41317365 91.58682635] ; [10.58682635 23.41317365],1
p9,1,0.000475,12.209675,[82 46] ; [10 23],[73.14285714 54.85714286] ; [18.85714286 14.14285714],1
u3,1,0.000592,11.800394,[27 16] ; [ 2 14],[21.13559322 21.86440678] ; [7.86440678 8.13559322],1
p2,1,0.001,10.828066,[81 52] ; [10 24],[72.47305389 60.52694611] ; [18.52694611 15.47305389],0
s2,1,0.002034,9.518655,[67 67] ; [ 7 27],[59.02380952 74.97619048] ; [14.97619048 19.02380952],0
d5,1,0.002205,9.370906,[107  25] ; [19 15],[100.19277108  31.80722892] ; [25.80722892  8.19277108],0
p10,1,0.002682,9.012399,[69 60] ; [ 8 25],[61.31481481 67.68518519] ; [15.68518519 17.31481481],0
n3,1,0.003769,8.391811,[38 15] ; [ 6 12],[32.84507042 20.15492958] ; [11.15492958  6.84507042],0
n4,1,0.004973,7.889312,[74 58] ; [28  6],[81.10843373 50.89156627] ; [20.89156627 13.10843373],0
a7,1,0.005411,7.736809,[96 37] ; [16 18],[89.19760479 43.80239521] ; [22.80239521 11.19760479],0
u2,1,0.007419,7.168556,[21 20] ; [ 2 14],[16.54385965 24.45614035] ; [6.45614035 9.54385965],0
s7,1,0.007482,7.153568,[53 70] ; [ 5 25],[46.62745098 76.37254902] ; [11.37254902 18.62745098],0
a1,1,0.007594,7.126747,[  8 126] ; [ 7 27],[ 11.96428571 122.03571429] ; [ 3.03571429 30.96428571],0
b5,1,0.013173,6.145742,[90 44] ; [15 19],[83.75 50.25] ; [21.25 12.75],0
d3,1,0.019209,5.482353,[83 48] ; [14 20],[77.01212121 53.98787879] ; [19.98787879 14.01212121],0
d4,1,0.021142,5.315009,[104  29] ; [20 14],[98.75449102 34.24550898] ; [25.24550898  8.75449102],0
v2,1,0.027493,4.859581,[59 71] ; [ 8 25],[53.43558282 76.56441718] ; [13.56441718 19.43558282],0
p7,1,0.03423,4.48319,[53 79] ; [ 7 27],[47.71084337 84.28915663] ; [12.28915663 21.71084337],0
s5,1,0.047145,3.940216,[41 84] ; [ 5 28],[36.39240506 88.60759494] ; [ 9.60759494 23.39240506],0
s3,1,0.085616,2.954936,[67 67] ; [11 22],[62.58682635 71.41317365] ; [15.41317365 17.58682635],0
a6,1,0.087418,2.921285,[84 49] ; [16 18],[79.64071856 53.35928144] ; [20.35928144 13.64071856],0
p4,1,0.106748,2.601715,[51 82] ; [ 8 26],[46.98802395 86.01197605] ; [12.01197605 21.98802395],0
v1,1,0.121843,2.393467,[54 78] ; [ 9 25],[50.09638554 81.90361446] ; [12.90361446 21.09638554],0
p1,1,0.132232,2.266103,[  9 125] ; [ 5 29],[ 11.16666667 122.83333333] ; [ 2.83333333 31.16666667],0
a2,1,0.140407,2.173489,[36 98] ; [ 5 29],[ 32.70238095 101.29761905] ; [ 8.29761905 25.70238095],0
d1,1,0.144939,2.124725,[66 68] ; [12 22],[62.21428571 71.78571429] ; [15.78571429 18.21428571],0
a5,1,0.15205,2.05156,[85 49] ; [17 17],[81.35714286 52.64285714] ; [20.64285714 13.35714286],0
a3,1,0.156962,2.003253,[90 43] ; [18 15],[86.53012048 46.46987952] ; [21.46987952 11.53012048],0
n2,1,0.176808,1.824248,[35 21] ; [ 8 10],[32.54054054 23.45945946] ; [10.45945946  7.54054054],0
a4,1,0.179629,1.800691,[62 72] ; [11 22],[58.5748503 75.4251497] ; [14.4251497 18.5748503],0
v3,1,0.206084,1.598724,[37 90] ; [ 6 27],[34.13125 92.86875] ; [ 8.86875 24.13125],0
n5,1,0.252219,1.31097,[75 57] ; [23 11],[77.92771084 54.07228916] ; [20.07228916 13.92771084],0
s4,1,0.284761,1.144225,[ 31 103] ; [ 5 29],[ 28.71428571 105.28571429] ; [ 7.28571429 26.71428571],0
p12,1,0.294961,1.096838,[  1 132] ; [ 1 33],[  1.59281437 131.40718563] ; [ 0.40718563 33.59281437],0
b2,1,0.297988,1.083176,[22 46] ; [11 14],[24.12903226 43.87096774] ; [ 8.87096774 16.12903226],0
b3,1,0.297988,1.083176,[22 46] ; [11 14],[24.12903226 43.87096774] ; [ 8.87096774 16.12903226],0
p3,1,0.347519,0.882497,[42 90] ; [ 8 26],[39.75903614 92.24096386] ; [10.24096386 23.75903614],0
p6,1,0.350594,0.871304,[ 30 103] ; [ 5 28],[ 28.04216867 104.95783133] ; [ 6.95783133 26.04216867],0
b1,1,0.357082,0.848128,[75 59] ; [22 12],[77.36904762 56.63095238] ; [19.63095238 14.36904762],0
n1,1,0.367543,0.811956,[18 37] ; [ 8 10],[19.5890411 35.4109589] ; [ 6.4109589 11.5890411],0
a8,1,0.49244,0.47119,[ 13 111] ; [ 5 29],[ 14.12658228 109.87341772] ; [ 3.87341772 30.12658228],0
d2,1,0.612752,0.256187,[67 66] ; [15 18],[65.69879518 67.30120482] ; [16.30120482 16.69879518],0
p5,1,0.819045,0.052337,[  5 128] ; [ 1 33],[  4.77844311 128.22155689] ; [ 1.22155689 32.77844311],0
s1,1,0.92692,0.008413,[ 11 121] ; [ 3 31],[ 11.13253012 120.86746988] ; [ 2.86746988 31.13253012],0
b4,1,0.996346,2.1e-05,[71 63] ; [18 16],[70.98809524 63.01190476] ; [18.01190476 15.98809524],0
