Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.001551,10.017569,[43 16] ; [11 18],[36.20454545 22.79545455] ; [17.79545455 11.20454545],0
v3,1,0.002668,9.021898,[25 33] ; [ 3 25],[18.88372093 39.11627907] ; [ 9.11627907 18.88372093],0
p6,1,0.007546,7.138163,[32 27] ; [ 7 22],[26.14772727 32.85227273] ; [12.85227273 16.14772727],0
a5,1,0.011318,6.414738,[41 18] ; [12 17],[35.53409091 23.46590909] ; [17.46590909 11.53409091],0
p10,1,0.017159,5.680019,[51  8] ; [18 10],[46.79310345 12.20689655] ; [22.20689655  5.79310345],0
n5,1,0.0276,4.85285,[46 13] ; [16 13],[41.56818182 17.43181818] ; [20.43181818  8.56818182],0
p11,1,0.029967,4.711156,[49 10] ; [18 11],[44.92045455 14.07954545] ; [22.07954545  6.92045455],0
a7,1,0.035723,4.410286,[42 17] ; [14 15],[37.54545455 21.45454545] ; [18.45454545 10.54545455],0
n6,1,0.035757,4.408648,[53  6] ; [21  8],[49.61363636  9.38636364] ; [24.38636364  4.61363636],0
v2,1,0.036,4.397107,[30 27] ; [ 8 20],[25.48235294 31.51764706] ; [12.51764706 15.48235294],0
s7,1,0.1003,2.700763,[33 24] ; [10 16],[29.53012048 27.46987952] ; [13.46987952 12.53012048],0
p2,1,0.13897,2.189331,[52  7] ; [22  7],[49.61363636  9.38636364] ; [24.38636364  4.61363636],0
s4,1,0.14433,2.13118,[11 48] ; [ 2 27],[ 8.71590909 50.28409091] ; [ 4.28409091 24.71590909],0
p7,1,0.149787,2.07442,[47 12] ; [19 10],[44.25 14.75] ; [21.75  7.25],0
s1,1,0.170266,1.880599,[ 2 57] ; [ 3 25],[ 3.3908046 55.6091954] ; [ 1.6091954 26.3908046],0
a8,1,0.17146,1.87013,[ 5 50] ; [ 5 20],[ 6.875 48.125] ; [ 3.125 21.875],0
n4,1,0.176998,1.822649,[43 16] ; [17 12],[40.22727273 18.77272727] ; [19.77272727  9.22727273],0
p1,1,0.181435,1.78583,[13 46] ; [ 3 26],[10.72727273 48.27272727] ; [ 5.27272727 23.72727273],0
d3,1,0.199235,1.647974,[26 33] ; [17 12],[28.82954545 30.17045455] ; [14.17045455 14.82954545],0
s6,1,0.226376,1.463489,[39 18] ; [16 13],[36.45348837 20.54651163] ; [18.54651163 10.45348837],0
r1,1,0.238489,1.389503,[42 17] ; [17 12],[39.55681818 19.44318182] ; [19.44318182  9.55681818],0
s2,1,0.287739,1.13017,[33 25] ; [13 16],[30.66666667 27.33333333] ; [15.33333333 13.66666667],0
n1,1,0.3017,1.066667,[4 4] ; [2 6],[3. 5.] ; [3. 5.],0
s5,1,0.305507,1.05,[18 38] ; [ 6 22],[16. 40.] ; [ 8. 20.],0
s8,1,0.320356,0.987493,[29 30] ; [11 18],[26.81818182 32.18181818] ; [13.18181818 15.81818182],0
u2,1,0.321494,0.982859,[17 10] ; [5 6],[15.63157895 11.36842105] ; [6.36842105 4.63157895],0
b1,1,0.326839,0.961381,[24 35] ; [15 14],[26.14772727 32.85227273] ; [12.85227273 16.14772727],0
b3,1,0.351106,0.869456,[14 22] ; [ 5 14],[12.43636364 23.56363636] ; [ 6.56363636 12.43636364],0
b2,1,0.351106,0.869456,[14 22] ; [ 5 14],[12.43636364 23.56363636] ; [ 6.56363636 12.43636364],0
r2,1,0.36154,0.832536,[52  6] ; [24  5],[50.66666667  7.33333333] ; [25.33333333  3.66666667],0
b4,1,0.403013,0.699317,[38 21] ; [16 13],[36.20454545 22.79545455] ; [17.79545455 11.20454545],0
a1,1,0.457886,0.551056,[ 2 57] ; [ 2 27],[ 2.68181818 56.31818182] ; [ 1.31818182 27.68181818],0
r3,1,0.469719,0.522638,[52  7] ; [27  2],[52.96590909  6.03409091] ; [26.03409091  2.96590909],0
p9,1,0.523883,0.406242,[50  9] ; [23  6],[48.94318182 10.05681818] ; [24.05681818  4.94318182],0
s3,1,0.534284,0.386238,[34 24] ; [19 10],[35.33333333 22.66666667] ; [17.66666667 11.33333333],0
u3,1,0.571689,0.319865,[12 15] ; [6 5],[12.78947368 14.21052632] ; [5.21052632 5.78947368],0
a4,1,0.627332,0.235697,[14 45] ; [ 8 20],[14.91954023 44.08045977] ; [ 7.08045977 20.91954023],0
p5,1,0.65321,0.201877,[13 46] ; [ 5 23],[12.20689655 46.79310345] ; [ 5.79310345 22.20689655],0
a3,1,0.697211,0.151389,[32 27] ; [17 12],[32.85227273 26.14772727] ; [16.14772727 12.85227273],0
v1,1,0.702604,0.145777,[29 30] ; [13 16],[28.15909091 30.84090909] ; [13.84090909 15.15909091],0
r4,1,0.70359,0.144764,[49 10] ; [25  4],[49.61363636  9.38636364] ; [24.38636364  4.61363636],0
a6,1,0.711016,0.137264,[37 22] ; [17 12],[36.20454545 22.79545455] ; [17.79545455 11.20454545],0
d1,1,0.774216,0.082291,[ 5 54] ; [ 3 26],[ 5.36363636 53.63636364] ; [ 2.63636364 26.36363636],0
v4,1,0.793049,0.068829,[53  5] ; [26  3],[52.66666667  5.33333333] ; [26.33333333  2.66666667],0
a2,1,0.797062,0.066127,[ 7 52] ; [ 4 25],[ 7.375 51.625] ; [ 3.625 25.375],0
d4,1,0.82059,0.051432,[30 29] ; [14 15],[29.5 29.5] ; [14.5 14.5],0
d2,1,0.90448,0.014401,[17 42] ; [ 8 21],[16.76136364 42.23863636] ; [ 8.23863636 20.76136364],0
b5,1,0.918355,0.010508,[38 21] ; [19 10],[38.21590909 20.78409091] ; [18.78409091 10.21590909],0
n2,1,1.0,0.0,[5 3] ; [5 3],[5. 3.] ; [5. 3.],0
n3,1,1.0,0.0,[6 2] ; [6 2],[6. 2.] ; [6. 2.],0
