Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,23.26729,[119   9] ; [2 4],[115.58208955  12.41791045] ; [5.41791045 0.58208955],1
s6,1,0.000391,12.57382,[107  16] ; [2 4],[103.93023256  19.06976744] ; [5.06976744 0.93023256],1
r1,1,0.000474,12.213755,[101  27] ; [1 5],[97.43283582 30.56716418] ; [4.56716418 1.43283582],1
b4,1,0.04278,4.10406,[75 53] ; [1 5],[72.59701493 55.40298507] ; [3.40298507 2.59701493],0
p6,1,0.059443,3.552849,[56 71] ; [5 1],[58.2481203 68.7518797] ; [2.7518797 3.2481203],0
r2,1,0.13251,2.262847,[122   6] ; [4 1],[121.26315789   6.73684211] ; [4.73684211 0.26315789],0
v4,1,0.139642,2.181898,[123   5] ; [5 1],[122.26865672   5.73134328] ; [5.73134328 0.26865672],0
s1,1,0.142089,2.155188,[  5 122] ; [1 5],[  5.72932331 121.27067669] ; [0.27067669 5.72932331],0
s3,1,0.23443,1.41378,[92 35] ; [3 3],[90.71428571 36.28571429] ; [4.28571429 1.71428571],0
p4,1,0.240784,1.376,[76 52] ; [5 1],[77.37313433 50.62686567] ; [3.62686567 2.37313433],0
b5,1,0.254857,1.296482,[77 51] ; [5 1],[78.32835821 49.67164179] ; [3.67164179 2.32835821],0
a3,1,0.269787,1.217827,[91 37] ; [3 3],[89.79104478 38.20895522] ; [4.20895522 1.79104478],0
p10,1,0.31911,0.992593,[120   8] ; [5 1],[119.40298507   8.59701493] ; [5.59701493 0.40298507],0
b1,1,0.383616,0.759082,[42 86] ; [3 3],[42.98507463 85.01492537] ; [2.01492537 3.98507463],0
v2,1,0.392194,0.732129,[63 60] ; [2 4],[61.97674419 61.02325581] ; [3.02325581 2.97674419],0
u2,1,0.432851,0.615161,[16 21] ; [2 1],[16.65 20.35] ; [1.35 1.65],0
v1,1,0.435851,0.60718,[63 64] ; [2 4],[62.06766917 64.93233083] ; [2.93233083 3.06766917],0
s5,1,0.46939,0.523412,[66 51] ; [2 3],[65.21311475 51.78688525] ; [2.78688525 2.21311475],0
p11,1,0.476743,0.506305,[101  27] ; [4 2],[100.29850746  27.70149254] ; [4.70149254 1.29850746],0
v3,1,0.488417,0.480011,[37 87] ; [1 5],[36.24615385 87.75384615] ; [1.75384615 4.24615385],0
p8,1,0.50595,0.442434,[66 59] ; [4 2],[66.79389313 58.20610687] ; [3.20610687 2.79389313],0
n5,1,0.539496,0.376474,[92 36] ; [5 1],[92.65671642 35.34328358] ; [4.34328358 1.65671642],0
a5,1,0.589677,0.290849,[94 34] ; [5 1],[94.56716418 33.43283582] ; [4.43283582 1.56716418],0
p7,1,0.67796,0.172431,[86 39] ; [3 2],[85.57692308 39.42307692] ; [3.42307692 1.57692308],0
d1,1,0.694402,0.154361,[75 53] ; [4 2],[75.46268657 52.53731343] ; [3.53731343 2.46268657],0
s2,1,0.73297,0.116402,[92 34] ; [4 2],[91.63636364 34.36363636] ; [4.36363636 1.63636364],0
u3,1,0.738422,0.111518,[21 16] ; [2 1],[21.275 15.725] ; [1.725 1.275],0
a4,1,0.763103,0.090847,[56 72] ; [3 3],[56.35820896 71.64179104] ; [2.64179104 3.35820896],0
d5,1,0.787409,0.072725,[100  27] ; [5 1],[100.26315789  26.73684211] ; [4.73684211 1.26315789],0
b3,1,0.788961,0.071642,[17 50] ; [1 4],[16.75 50.25] ; [1.25 3.75],0
b2,1,0.788961,0.071642,[17 50] ; [1 4],[16.75 50.25] ; [1.25 3.75],0
a2,1,0.794334,0.067958,[ 27 101] ; [1 5],[ 26.74626866 101.25373134] ; [1.25373134 4.74626866],0
s7,1,0.796087,0.066778,[78 49] ; [4 2],[78.30075188 48.69924812] ; [3.69924812 2.30075188],0
n6,1,0.818431,0.052699,[110  17] ; [5 1],[109.81203008  17.18796992] ; [5.18796992 0.81203008],0
d2,1,0.851225,0.035177,[59 69] ; [3 3],[59.2238806 68.7761194] ; [2.7761194 3.2238806],0
a7,1,0.858649,0.031718,[89 38] ; [4 2],[88.80451128 38.19548872] ; [4.19548872 1.80451128],0
u1,1,0.862322,0.030074,[ 25 103] ; [1 5],[ 24.8358209 103.1641791] ; [1.1641791 4.8358209],0
s8,1,0.880848,0.022468,[68 60] ; [3 3],[67.82089552 60.17910448] ; [3.17910448 2.82089552],0
n4,1,0.94676,0.004459,[87 41] ; [4 2],[86.92537313 41.07462687] ; [4.07462687 1.92537313],0
p3,1,0.970157,0.0014,[65 63] ; [3 3],[64.95522388 63.04477612] ; [3.04477612 2.95522388],0
a6,1,0.989468,0.000174,[85 43] ; [4 2],[85.01492537 42.98507463] ; [3.98507463 2.01492537],0
