Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.003752,8.4,[ 2 18] ; [5 3],[ 5. 15.] ; [2. 6.],0
p6,1,0.011108,6.447932,[ 5 16] ; [6 2],[ 7.96551724 13.03448276] ; [3.03448276 4.96551724],0
p8,1,0.015218,5.891058,[ 3 16] ; [5 3],[ 5.62962963 13.37037037] ; [2.37037037 5.62962963],0
a6,1,0.017329,5.662727,[ 8 13] ; [7 1],[10.86206897 10.13793103] ; [4.13793103 3.86206897],0
p11,1,0.017329,5.662727,[ 8 13] ; [7 1],[10.86206897 10.13793103] ; [4.13793103 3.86206897],0
a8,1,0.01979,5.430303,[ 2 18] ; [4 4],[ 4.28571429 15.71428571] ; [1.71428571 6.28571429],0
b5,1,0.030726,4.668183,[ 9 12] ; [7 1],[11.5862069  9.4137931] ; [4.4137931 3.5862069],0
p2,1,0.030726,4.668183,[ 9 12] ; [7 1],[11.5862069  9.4137931] ; [4.4137931 3.5862069],0
p10,1,0.0513,3.798465,[10 11] ; [7 1],[12.31034483  8.68965517] ; [4.68965517 3.31034483],0
p9,1,0.081497,3.034782,[11 10] ; [7 1],[13.03448276  7.96551724] ; [4.96551724 3.03448276],0
n6,1,0.081497,3.034782,[11 10] ; [7 1],[13.03448276  7.96551724] ; [4.96551724 3.03448276],0
p7,1,0.121573,2.396939,[ 9 12] ; [6 2],[10.86206897 10.13793103] ; [4.13793103 3.86206897],0
n5,1,0.124238,2.363064,[12  9] ; [7 1],[13.75862069  7.24137931] ; [5.24137931 2.75862069],0
d5,1,0.124238,2.363064,[12  9] ; [7 1],[13.75862069  7.24137931] ; [5.24137931 2.75862069],0
r4,1,0.154052,2.031658,[ 7 14] ; [5 3],[ 8.68965517 12.31034483] ; [3.31034483 4.68965517],0
s7,1,0.271644,1.208424,[ 5 13] ; [4 4],[ 6.23076923 11.76923077] ; [2.76923077 5.23076923],0
b4,1,0.277877,1.177444,[15  6] ; [4 4],[13.75862069  7.24137931] ; [5.24137931 2.75862069],0
v1,1,0.299328,1.077188,[ 4 17] ; [3 5],[ 5.06896552 15.93103448] ; [1.93103448 6.06896552],0
p3,1,0.344085,0.895153,[ 9 12] ; [5 3],[10.13793103 10.86206897] ; [3.86206897 4.13793103],0
u3,1,0.345779,0.888889,[1 5] ; [1 1],[1.5 4.5] ; [0.5 1.5],0
v2,1,0.473521,0.513747,[10 11] ; [5 3],[10.86206897 10.13793103] ; [4.13793103 3.86206897],0
p5,1,0.486339,0.484615,[ 1 19] ; [1 7],[ 1.42857143 18.57142857] ; [0.57142857 7.42857143],0
n4,1,0.507256,0.439724,[13  8] ; [6 2],[13.75862069  7.24137931] ; [5.24137931 2.75862069],0
d2,1,0.560714,0.338469,[13  8] ; [4 4],[12.31034483  8.68965517] ; [4.68965517 3.31034483],0
p4,1,0.560714,0.338469,[ 8 13] ; [4 4],[ 8.68965517 12.31034483] ; [3.31034483 4.68965517],0
u2,1,0.67329,0.177778,[2 4] ; [1 1],[2.25 3.75] ; [0.75 1.25],0
b2,1,0.690328,0.15873,[6 8] ; [2 4],[5.6 8.4] ; [2.4 3.6],0
b3,1,0.690328,0.15873,[6 8] ; [2 4],[5.6 8.4] ; [2.4 3.6],0
r2,1,0.701063,0.147368,[14  6] ; [5 3],[13.57142857  6.42857143] ; [5.42857143 2.57142857],0
d3,1,0.729571,0.119505,[12  9] ; [4 4],[11.5862069  9.4137931] ; [4.4137931 3.5862069],0
b1,1,0.793475,0.06854,[12  9] ; [5 3],[12.31034483  8.68965517] ; [4.68965517 3.31034483],0
a5,1,0.793475,0.06854,[12  9] ; [5 3],[12.31034483  8.68965517] ; [4.68965517 3.31034483],0
a4,1,0.832894,0.044518,[ 7 14] ; [3 5],[ 7.24137931 13.75862069] ; [2.75862069 5.24137931],0
a3,1,0.847486,0.03699,[15  6] ; [6 2],[15.20689655  5.79310345] ; [5.79310345 2.20689655],0
s2,1,0.908697,0.013152,[11 10] ; [4 4],[10.86206897 10.13793103] ; [4.13793103 3.86206897],0
r1,1,0.908697,0.013152,[10 11] ; [4 4],[10.13793103 10.86206897] ; [3.86206897 4.13793103],0
d1,1,0.908697,0.013152,[11 10] ; [4 4],[10.86206897 10.13793103] ; [4.13793103 3.86206897],0
a7,1,0.908697,0.013152,[10 11] ; [4 4],[10.13793103 10.86206897] ; [3.86206897 4.13793103],0
s5,1,0.943206,0.005075,[ 6 14] ; [2 5],[ 5.92592593 14.07407407] ; [2.07407407 4.92592593],0
d4,1,0.946614,0.004484,[16  5] ; [6 2],[15.93103448  5.06896552] ; [6.06896552 1.93103448],0
