Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,1e-06,24.768604,[3 2] ; [ 18 310],[0.31531532 4.68468468] ; [ 20.68468468 307.31531532],1
v2,1,0.071278,3.253339,[1 4] ; [190 127],[2.96583851 2.03416149] ; [188.03416149 128.96583851],0
a1,1,0.108595,2.574547,[1 4] ; [ 15 314],[0.23952096 4.76047904] ; [ 15.76047904 313.23952096],0
r3,1,0.163906,1.937815,[4 1] ; [311  18],[4.71556886 0.28443114] ; [310.28443114  18.71556886],0
v1,1,0.180822,1.790857,[1 4] ; [160 159],[2.4845679 2.5154321] ; [158.5154321 160.4845679],0
v4,1,0.183342,1.770324,[4 1] ; [310  19],[4.7005988 0.2994012] ; [309.2994012  19.7005988],0
p9,1,0.2343,1.414567,[3 2] ; [262  61],[4.03963415 0.96036585] ; [260.96036585  62.03963415],0
s8,1,0.352406,0.864773,[1 4] ; [133 195],[2.01201201 2.98798799] ; [131.98798799 196.01201201],0
p10,1,0.385474,0.75317,[3 2] ; [249  76],[3.81818182 1.18181818] ; [248.18181818  76.81818182],0
p4,1,0.402788,0.699986,[2 3] ; [191 135],[2.91540785 2.08459215] ; [190.08459215 135.91540785],0
p7,1,0.408334,0.683646,[2 3] ; [188 134],[2.90519878 2.09480122] ; [187.09480122 134.90519878],0
p3,1,0.408459,0.683282,[1 3] ; [149 177],[1.81818182 2.18181818] ; [148.18181818 177.81818182],0
s2,1,0.424258,0.63849,[3 2] ; [138 189],[2.12349398 2.87650602] ; [138.87650602 188.12349398],0
b1,1,0.424515,0.637781,[1 4] ; [123 206],[1.85628743 3.14371257] ; [122.14371257 206.85628743],0
s6,1,0.432681,0.615617,[2 3] ; [188 139],[2.86144578 2.13855422] ; [187.13855422 139.86144578],0
s7,1,0.441281,0.59295,[3 2] ; [134 179],[2.15408805 2.84591195] ; [134.84591195 178.15408805],0
b5,1,0.454488,0.559434,[4 1] ; [210 119],[3.20359281 1.79640719] ; [210.79640719 118.20359281],0
s4,1,0.506995,0.440264,[1 4] ; [ 35 292],[0.54216867 4.45783133] ; [ 35.45783133 291.54216867],0
r4,1,0.613882,0.254561,[4 1] ; [288  41],[4.37125749 0.62874251] ; [287.62874251  41.37125749],0
p8,1,0.662162,0.190908,[3 2] ; [162 161],[2.5152439 2.4847561] ; [162.4847561 160.5152439],0
n5,1,0.700736,0.147708,[4 1] ; [237  91],[3.61861862 1.38138138] ; [237.38138138  90.61861862],0
n3,1,0.704943,0.143381,[1 1] ; [53 31],[1.25581395 0.74418605] ; [52.74418605 31.25581395],0
a2,1,0.711996,0.136291,[2 3] ; [106 223],[1.61676647 3.38323353] ; [106.38323353 222.61676647],0
p6,1,0.715023,0.133311,[2 3] ; [104 218],[1.62079511 3.37920489] ; [104.37920489 217.62079511],0
s3,1,0.74274,0.107733,[2 3] ; [154 171],[2.36363636 2.63636364] ; [153.63636364 171.36363636],0
a4,1,0.804103,0.061524,[3 2] ; [178 149],[2.72590361 2.27409639] ; [178.27409639 148.72590361],0
n2,1,0.813359,0.055741,[1 1] ; [49 35],[1.1627907 0.8372093] ; [48.8372093 35.1627907],0
u1,1,0.846443,0.037504,[1 4] ; [ 78 251],[1.18263473 3.81736527] ; [ 77.81736527 251.18263473],0
n6,1,0.863088,0.029737,[4 1] ; [272  56],[4.14414414 0.85585586] ; [271.85585586  56.14414414],0
r1,1,0.878065,0.023538,[4 1] ; [271  57],[4.12912913 0.87087087] ; [270.87087087  57.12912913],0
p11,1,0.932023,0.007276,[4 1] ; [258  71],[3.92215569 1.07784431] ; [258.07784431  70.92215569],0
a7,1,0.97076,0.001344,[4 1] ; [261  68],[3.96706587 1.03293413] ; [261.03293413  67.96706587],0
p2,1,0.973067,0.00114,[4 1] ; [258  67],[3.96969697 1.03030303] ; [258.03030303  66.96969697],0
b4,1,0.984646,0.00037,[3 2] ; [196 133],[2.97904192 2.02095808] ; [196.02095808 132.97904192],0
