Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.00124,10.429067,[ 3 15] ; [6 1],[ 6.48 11.52] ; [2.52 4.48],0
s2,1,0.015534,5.854915,[ 2 16] ; [4 3],[ 4.32 13.68] ; [1.68 5.32],0
a5,1,0.035366,4.427401,[ 7 11] ; [6 1],[9.36 8.64] ; [3.64 3.36],0
p7,1,0.045465,4.001323,[ 5 13] ; [5 2],[ 7.2 10.8] ; [2.8 4.2],0
s6,1,0.045465,4.001323,[ 5 13] ; [5 2],[ 7.2 10.8] ; [2.8 4.2],0
p9,1,0.084903,2.96846,[ 6 12] ; [5 2],[ 7.92 10.08] ; [3.08 3.92],0
d2,1,0.101707,2.678571,[9 9] ; [1 6],[ 7.2 10.8] ; [2.8 4.2],0
a7,1,0.143687,2.138024,[11  7] ; [2 5],[9.36 8.64] ; [3.64 3.36],0
a4,1,0.158379,1.989638,[ 8 10] ; [1 6],[ 6.48 11.52] ; [2.52 4.48],0
r4,1,0.168598,1.895363,[ 3 15] ; [3 4],[ 4.32 13.68] ; [1.68 5.32],0
s4,1,0.168598,1.895363,[ 3 15] ; [3 4],[ 4.32 13.68] ; [1.68 5.32],0
n6,1,0.16962,1.886299,[ 5 13] ; [4 3],[ 6.48 11.52] ; [2.52 4.48],0
p10,1,0.16962,1.886299,[ 5 13] ; [4 3],[ 6.48 11.52] ; [2.52 4.48],0
v3,1,0.205903,1.6,[ 2 16] ; [2 4],[ 3. 15.] ; [1. 5.],0
p8,1,0.241696,1.370677,[ 5 11] ; [4 3],[6.26086957 9.73913043] ; [2.73913043 4.26086957],0
a6,1,0.275234,1.190476,[ 6 12] ; [4 3],[ 7.2 10.8] ; [2.8 4.2],0
s3,1,0.275234,1.190476,[ 6 12] ; [4 3],[ 7.2 10.8] ; [2.8 4.2],0
p6,1,0.28497,1.143235,[ 2 16] ; [2 5],[ 2.88 15.12] ; [1.12 5.88],0
v1,1,0.302191,1.0645,[ 4 14] ; [3 4],[ 5.04 12.96] ; [1.96 5.04],0
n5,1,0.302191,1.0645,[ 4 14] ; [3 4],[ 5.04 12.96] ; [1.96 5.04],0
r2,1,0.332474,0.939239,[9 9] ; [5 2],[10.08  7.92] ; [3.92 3.08],0
s7,1,0.391777,0.733418,[ 4 12] ; [3 4],[ 4.86956522 11.13043478] ; [2.13043478 4.86956522],0
p2,1,0.40905,0.681561,[ 7 11] ; [4 3],[ 7.92 10.08] ; [3.08 3.92],0
a3,1,0.466985,0.529101,[10  8] ; [5 2],[10.8  7.2] ; [4.2 2.8],0
r1,1,0.466985,0.529101,[ 8 10] ; [2 5],[ 7.2 10.8] ; [2.8 4.2],0
s8,1,0.470027,0.521912,[ 1 17] ; [1 6],[ 1.44 16.56] ; [0.56 6.44],0
b1,1,0.568261,0.3256,[ 8 10] ; [4 3],[8.64 9.36] ; [3.36 3.64],0
p11,1,0.568261,0.3256,[10  8] ; [3 4],[9.36 8.64] ; [3.64 3.36],0
d5,1,0.568261,0.3256,[ 8 10] ; [4 3],[8.64 9.36] ; [3.36 3.64],0
d3,1,0.568261,0.3256,[ 8 10] ; [4 3],[8.64 9.36] ; [3.36 3.64],0
r3,1,0.629412,0.232859,[11  7] ; [5 2],[11.52  6.48] ; [4.48 2.52],0
s5,1,0.656005,0.198413,[ 4 14] ; [1 6],[ 3.6 14.4] ; [1.4 5.6],0
b4,1,0.656005,0.198413,[12  6] ; [4 3],[11.52  6.48] ; [4.48 2.52],0
b5,1,0.748233,0.103022,[9 9] ; [4 3],[9.36 8.64] ; [3.64 3.36],0
d1,1,0.818733,0.052521,[ 6 12] ; [2 5],[ 5.76 12.24] ; [2.24 4.76],0
p1,1,0.826403,0.0481,[ 2 16] ; [1 6],[ 2.16 15.84] ; [0.84 6.16],0
b2,1,0.929859,0.007748,[3 8] ; [1 3],[2.93333333 8.06666667] ; [1.06666667 2.93333333],0
b3,1,0.929859,0.007748,[3 8] ; [1 3],[2.93333333 8.06666667] ; [1.06666667 2.93333333],0
v2,1,0.968346,0.001575,[ 5 13] ; [2 5],[ 5.04 12.96] ; [1.96 5.04],0
d4,1,0.968346,0.001575,[13  5] ; [5 2],[12.96  5.04] ; [5.04 1.96],0
