Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.057539,3.606942,[ 9 48] ; [ 6 10],[11.71232877 45.28767123] ; [ 3.28767123 12.71232877],0
d3,1,0.080741,3.04993,[26 30] ; [12  5],[29.15068493 26.84931507] ; [8.84931507 8.15068493],0
v1,1,0.104843,2.63028,[15 42] ; [8 9],[17.71621622 39.28378378] ; [ 5.28378378 11.71621622],0
r2,1,0.117512,2.450177,[38 17] ; [15  2],[40.48611111 14.51388889] ; [12.51388889  4.48611111],0
d1,1,0.149127,2.081158,[21 37] ; [ 3 14],[18.56 39.44] ; [ 5.44 11.56],0
a7,1,0.167054,1.909185,[26 31] ; [11  6],[28.5 28.5] ; [8.5 8.5],0
b4,1,0.203891,1.614279,[24 34] ; [10  7],[26.29333333 31.70666667] ; [7.70666667 9.29333333],0
n1,1,0.242755,1.364522,[ 8 13] ; [1 6],[ 6.75 14.25] ; [2.25 4.75],0
n2,1,0.274006,1.196581,[10 11] ; [5 2],[11.25  9.75] ; [3.75 3.25],0
s6,1,0.280949,1.162495,[15 43] ; [6 9],[16.68493151 41.31506849] ; [ 4.31506849 10.68493151],0
a5,1,0.28516,1.142332,[29 29] ; [ 6 11],[27.06666667 30.93333333] ; [7.93333333 9.06666667],0
p10,1,0.32601,0.964682,[19 37] ; [8 9],[20.71232877 35.28767123] ; [ 6.28767123 10.71232877],0
b1,1,0.330062,0.948655,[35 23] ; [8 9],[33.25333333 24.74666667] ; [9.74666667 7.25333333],0
n4,1,0.344393,0.894008,[30 28] ; [11  6],[31.70666667 26.29333333] ; [9.29333333 7.70666667],0
p2,1,0.373472,0.792081,[27 31] ; [10  7],[28.61333333 29.38666667] ; [8.38666667 8.61333333],0
v2,1,0.381829,0.764805,[14 43] ; [ 6 11],[15.40540541 41.59459459] ; [ 4.59459459 12.40540541],0
r4,1,0.419105,0.652824,[21 37] ; [8 9],[22.42666667 35.57333333] ; [ 6.57333333 10.42666667],0
p3,1,0.443362,0.587567,[19 38] ; [ 4 13],[17.71621622 39.28378378] ; [ 5.28378378 11.71621622],0
a4,1,0.443362,0.587567,[19 38] ; [ 4 13],[17.71621622 39.28378378] ; [ 5.28378378 11.71621622],0
a6,1,0.444302,0.585148,[28 30] ; [10  7],[29.38666667 28.61333333] ; [8.61333333 8.38666667],0
n3,1,0.511612,0.430769,[ 9 12] ; [4 3],[ 9.75 11.25] ; [3.25 3.75],0
p1,1,0.515286,0.423318,[ 4 54] ; [ 2 15],[ 4.64 53.36] ; [ 1.36 15.64],0
d2,1,0.529855,0.39467,[25 32] ; [ 6 11],[23.87837838 33.12162162] ; [7.12162162 9.87837838],0
n6,1,0.565284,0.330637,[33 25] ; [11  6],[34.02666667 23.97333333] ; [9.97333333 7.02666667],0
u3,1,0.574922,0.314516,[11 20] ; [2 6],[10.33333333 20.66666667] ; [2.66666667 5.33333333],0
s3,1,0.590666,0.289305,[22 35] ; [ 5 11],[21.08219178 35.91780822] ; [ 5.91780822 10.08219178],0
u2,1,0.593421,0.285034,[10 21] ; [3 4],[10.60526316 20.39473684] ; [2.39473684 4.60526316],0
p6,1,0.61209,0.257143,[10 46] ; [ 2 14],[ 9.33333333 46.66666667] ; [ 2.66666667 13.33333333],0
v4,1,0.637983,0.22139,[41 17] ; [11  6],[40.21333333 17.78666667] ; [11.78666667  5.21333333],0
p9,1,0.660419,0.193015,[27 27] ; [9 7],[27.77142857 26.22857143] ; [8.22857143 7.77142857],0
p5,1,0.663197,0.189664,[ 2 55] ; [ 1 16],[ 2.31081081 54.68918919] ; [ 0.68918919 16.31081081],0
s5,1,0.666307,0.185952,[11 44] ; [ 4 12],[11.61971831 43.38028169] ; [ 3.38028169 12.61971831],0
s7,1,0.675876,0.174806,[10 43] ; [ 4 13],[10.6 42.4] ; [ 3.4 13.6],0
a3,1,0.686607,0.162783,[27 30] ; [9 8],[27.72972973 29.27027027] ; [8.27027027 8.72972973],0
b3,1,0.730669,0.118498,[14 19] ; [3 3],[14.38461538 18.61538462] ; [2.61538462 3.38461538],0
b2,1,0.730669,0.118498,[14 19] ; [3 3],[14.38461538 18.61538462] ; [2.61538462 3.38461538],0
s2,1,0.740574,0.109623,[18 40] ; [ 6 11],[18.56 39.44] ; [ 5.44 11.56],0
r3,1,0.745408,0.10543,[35 23] ; [11  6],[35.57333333 22.42666667] ; [10.42666667  6.57333333],0
b5,1,0.745408,0.10543,[35 23] ; [11  6],[35.57333333 22.42666667] ; [10.42666667  6.57333333],0
n5,1,0.772644,0.083474,[33 25] ; [9 8],[32.48 25.52] ; [9.52 7.48],0
s4,1,0.80155,0.063173,[12 46] ; [ 4 13],[12.37333333 45.62666667] ; [ 3.62666667 13.37333333],0
p4,1,0.808746,0.058586,[20 38] ; [ 5 11],[19.59459459 38.40540541] ; [ 5.40540541 10.59459459],0
s8,1,0.828712,0.046809,[ 8 50] ; [ 2 15],[ 7.73333333 50.26666667] ; [ 2.26666667 14.73333333],0
a8,1,0.843751,0.038847,[ 4 51] ; [ 1 16],[ 3.81944444 51.18055556] ; [ 1.18055556 15.81944444],0
d5,1,0.84462,0.038411,[32 25] ; [10  7],[32.35135135 24.64864865] ; [9.64864865 7.35135135],0
a1,1,0.867545,0.027815,[ 6 52] ; [ 2 15],[ 6.18666667 51.81333333] ; [ 1.81333333 15.18666667],0
d4,1,0.88766,0.019956,[33 25] ; [10  7],[33.25333333 24.74666667] ; [9.74666667 7.25333333],0
s1,1,0.908794,0.013124,[ 3 55] ; [ 1 16],[ 3.09333333 54.90666667] ; [ 0.90666667 16.09333333],0
p7,1,0.910352,0.012677,[23 35] ; [ 7 10],[23.2 34.8] ; [ 6.8 10.2],0
a2,1,0.972918,0.001152,[ 7 51] ; [ 2 15],[ 6.96 51.04] ; [ 2.04 14.96],0
