Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,45.538948,[117   4] ; [46 32],[99.11055276 21.88944724] ; [63.88944724 14.11055276],1
r4,1,0.0,34.562974,[103  20] ; [35 44],[84.02970297 38.97029703] ; [53.97029703 25.02970297],1
n6,1,0.0,33.685478,[99 24] ; [31 46],[79.95 43.05] ; [50.05 26.95],1
p2,1,2e-06,22.240741,[90 32] ; [32 47],[74.04975124 47.95024876] ; [47.95024876 31.04975124],1
v2,1,6e-06,20.45636,[64 54] ; [16 59],[48.9119171 69.0880829] ; [31.0880829 43.9119171],1
p10,1,4.3e-05,16.712283,[82 40] ; [29 48],[68.05025126 53.94974874] ; [42.94974874 34.05025126],1
p9,1,5.7e-05,16.191417,[88 34] ; [32 42],[74.69387755 47.30612245] ; [45.30612245 28.69387755],1
v4,1,7.2e-05,15.768194,[108  13] ; [51 26],[97.16666667 23.83333333] ; [61.83333333 15.16666667],1
r1,1,0.00156,10.006848,[88 35] ; [38 39],[77.49 45.51] ; [48.51 28.49],0
r2,1,0.008737,6.875845,[111  11] ; [59 17],[104.74747475  17.25252525] ; [65.25252525 10.74747475],0
n3,1,0.013693,6.077258,[27 10] ; [14 18],[21.98550725 15.01449275] ; [19.01449275 12.98550725],0
b1,1,0.019886,5.42187,[42 81] ; [40 39],[49.93069307 73.06930693] ; [32.06930693 46.93069307],0
p7,1,0.025988,4.956799,[51 69] ; [21 57],[43.63636364 76.36363636] ; [28.36363636 49.63636364],0
s8,1,0.036474,4.374823,[ 20 103] ; [ 5 74],[ 15.22277228 107.77722772] ; [ 9.77722772 69.22277228],0
a1,1,0.043689,4.068527,[  4 119] ; [ 8 71],[  7.30693069 115.69306931] ; [ 4.69306931 74.30693069],0
u3,1,0.054292,3.703704,[22 23] ; [ 8 22],[18. 27.] ; [12. 18.],0
n2,1,0.060613,3.520537,[26 11] ; [17 18],[22.09722222 14.90277778] ; [20.90277778 14.09722222],0
p8,1,0.068842,3.310408,[39 83] ; [16 63],[33.38308458 88.61691542] ; [21.61691542 57.38308458],0
d4,1,0.0957,2.775776,[93 29] ; [51 27],[87.84 34.16] ; [56.16 21.84],0
a2,1,0.1449,2.125137,[ 13 110] ; [14 65],[ 16.44059406 106.55940594] ; [10.55940594 68.44059406],0
s2,1,0.152597,2.0461,[25 97] ; [10 69],[ 21.24378109 100.75621891] ; [13.75621891 65.24378109],0
s7,1,0.171356,1.871044,[22 95] ; [ 8 63],[18.67021277 98.32978723] ; [11.32978723 59.67021277],0
v1,1,0.177444,1.818898,[42 79] ; [20 58],[37.69849246 83.30150754] ; [24.30150754 53.69849246],0
s4,1,0.204428,1.610457,[  9 114] ; [10 69],[ 11.56930693 111.43069307] ; [ 7.43069307 71.56930693],0
u2,1,0.218313,1.515423,[23 22] ; [11 19],[20.4 24.6] ; [13.6 16.4],0
v3,1,0.261676,1.259871,[34 85] ; [16 59],[30.67010309 88.32989691] ; [19.32989691 55.67010309],0
d2,1,0.279583,1.169115,[48 73] ; [37 41],[51.68341709 69.31658291] ; [33.31658291 44.68341709],0
a7,1,0.281777,1.1585,[79 43] ; [44 33],[75.40703518 46.59296482] ; [47.59296482 29.40703518],0
s5,1,0.344917,0.892071,[ 14 104] ; [ 6 72],[ 12.04081633 105.95918367] ; [ 7.95918367 70.04081633],0
n1,1,0.351847,0.866784,[10 26] ; [13 21],[11.82857143 24.17142857] ; [11.17142857 22.82857143],0
d3,1,0.396278,0.719592,[73 50] ; [41 36],[70.11 52.89] ; [43.89 33.11],0
b3,1,0.401882,0.702689,[24 44] ; [19 25],[26.10714286 41.89285714] ; [16.89285714 27.10714286],0
b2,1,0.401882,0.702689,[24 44] ; [19 25],[26.10714286 41.89285714] ; [16.89285714 27.10714286],0
a8,1,0.40696,0.687665,[ 14 104] ; [ 6 68],[ 12.29166667 105.70833333] ; [ 7.70833333 66.29166667],0
p3,1,0.434681,0.610283,[26 97] ; [13 65],[23.86567164 99.13432836] ; [15.13432836 62.86567164],0
b5,1,0.45308,0.562935,[65 58] ; [46 33],[67.58910891 55.41089109] ; [43.41089109 35.58910891],0
a5,1,0.490184,0.476122,[73 50] ; [43 36],[70.63366337 52.36633663] ; [45.36633663 33.63366337],0
a4,1,0.493142,0.469663,[43 80] ; [31 47],[45.28358209 77.71641791] ; [28.71641791 49.28358209],0
p6,1,0.539059,0.377287,[ 15 105] ; [12 65],[ 16.44670051 103.55329949] ; [10.55329949 66.44670051],0
d5,1,0.539154,0.377111,[84 39] ; [50 28],[82. 41.] ; [52. 26.],0
p5,1,0.554108,0.350009,[  3 119] ; [ 1 78],[  2.4278607 119.5721393] ; [ 1.5721393 77.4278607],0
s3,1,0.592841,0.28593,[29 94] ; [21 57],[30.59701493 92.40298507] ; [19.40298507 58.59701493],0
n4,1,0.61488,0.253129,[80 43] ; [48 30],[78.32835821 44.67164179] ; [49.67164179 28.32835821],0
d1,1,0.645155,0.212063,[57 66] ; [34 45],[55.41089109 67.58910891] ; [35.58910891 43.41089109],0
b4,1,0.728973,0.120056,[70 53] ; [43 36],[68.80693069 54.19306931] ; [44.19306931 34.80693069],0
p12,1,0.760146,0.093201,[  1 120] ; [ 1 78],[  1.21 119.79] ; [ 0.79 78.21],0
p1,1,0.763822,0.090279,[  9 112] ; [ 5 74],[  8.47 112.53] ; [ 5.53 73.47],0
a6,1,0.792501,0.069203,[77 46] ; [48 31],[76.11386139 46.88613861] ; [48.88613861 30.11386139],0
a3,1,0.974716,0.001004,[78 45] ; [49 28],[78.105 44.895] ; [48.895 28.105],0
u1,1,0.984009,0.000402,[ 11 112] ; [ 7 72],[ 10.96039604 112.03960396] ; [ 7.03960396 71.96039604],0
n5,1,0.995296,3.5e-05,[72 50] ; [46 32],[71.98 50.02] ; [46.02 31.98],0
