Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.624686,[ 5 13] ; [93 22],[13.26315789  4.73684211] ; [84.73684211 30.26315789],1
p10,1,7e-06,20.227277,[ 2 16] ; [74 36],[10.6875  7.3125] ; [65.3125 44.6875],1
p2,1,1.2e-05,19.175921,[ 4 13] ; [86 27],[11.76923077  5.23076923] ; [78.23076923 34.76923077],1
r3,1,4.2e-05,16.797374,[10  8] ; [104  10],[15.54545455  2.45454545] ; [98.45454545 15.54545455],1
p7,1,0.002552,9.102782,[ 3 15] ; [60 49],[8.92913386 9.07086614] ; [54.07086614 54.92913386],0
p8,1,0.002603,9.066671,[ 1 16] ; [49 62],[ 6.640625 10.359375] ; [43.359375 67.640625],0
r1,1,0.002669,9.021006,[ 8 10] ; [89 25],[13.22727273  4.77272727] ; [83.77272727 30.22727273],0
p11,1,0.008473,6.930637,[ 5 13] ; [70 45],[10.15037594  7.84962406] ; [64.84962406 50.15037594],0
s2,1,0.009858,6.660347,[ 2 16] ; [49 65],[ 6.95454545 11.04545455] ; [44.04545455 69.95454545],0
p9,1,0.011839,6.33486,[ 7 11] ; [77 34],[11.72093023  6.27906977] ; [72.27906977 38.72093023],0
r2,1,0.012662,6.215674,[12  5] ; [104  10],[15.05343511  1.94656489] ; [100.94656489  13.05343511],0
a1,1,0.019802,5.429227,[ 3 15] ; [  4 111],[ 0.94736842 17.05263158] ; [  6.05263158 108.94736842],0
d2,1,0.02314,5.157944,[13  5] ; [50 65],[8.52631579 9.47368421] ; [54.47368421 60.52631579],0
s6,1,0.035866,4.403456,[ 5 13] ; [62 52],[9.13636364 8.86363636] ; [57.86363636 56.13636364],0
p4,1,0.036186,4.388341,[ 4 14] ; [55 58],[8.10687023 9.89312977] ; [50.89312977 62.10687023],0
a4,1,0.047545,3.926006,[11  7] ; [42 73],[ 7.17293233 10.82706767] ; [45.82706767 69.17293233],0
a6,1,0.090507,2.865329,[10  8] ; [86 29],[12.9924812  5.0075188] ; [83.0075188 31.9924812],0
b1,1,0.097693,2.742804,[13  5] ; [59 56],[9.7443609 8.2556391] ; [62.2556391 52.7443609],0
u2,1,0.105743,2.61672,[1 2] ; [29  9],[2.19512195 0.80487805] ; [27.80487805 10.19512195],0
p1,1,0.116775,2.460052,[ 3 15] ; [  7 107],[ 1.36363636 16.63636364] ; [  8.63636364 105.36363636],0
s3,1,0.137491,2.20582,[ 5 12] ; [55 58],[7.84615385 9.15384615] ; [52.15384615 60.84615385],0
a3,1,0.143265,2.142531,[15  3] ; [76 39],[12.31578947  5.68421053] ; [78.68421053 36.31578947],0
n4,1,0.176921,1.823303,[12  6] ; [57 58],[9.33834586 8.66165414] ; [59.66165414 55.33834586],0
s7,1,0.177119,1.821634,[ 3 13] ; [38 68],[ 5.37704918 10.62295082] ; [35.62295082 70.37704918],0
p6,1,0.203808,1.614876,[ 2 15] ; [28 80],[ 4.08 12.92] ; [25.92 82.08],0
p3,1,0.20831,1.583132,[ 4 14] ; [42 70],[ 6.36923077 11.63076923] ; [39.63076923 72.36923077],0
v1,1,0.31754,0.999052,[ 6 12] ; [51 60],[ 7.95348837 10.04651163] ; [49.04651163 61.95348837],0
a2,1,0.343774,0.896307,[ 5 13] ; [21 94],[ 3.51879699 14.48120301] ; [22.48120301 92.51879699],0
b5,1,0.344179,0.894804,[9 9] ; [71 44],[10.82706767  7.17293233] ; [69.17293233 45.82706767],0
n2,1,0.344774,0.8926,[4 4] ; [27 13],[5.16666667 2.83333333] ; [25.83333333 14.16666667],0
v3,1,0.346867,0.884885,[ 3 14] ; [30 75],[ 4.59836066 12.40163934] ; [28.40163934 76.59836066],0
b2,1,0.355503,0.853716,[5 8] ; [16 46],[3.64 9.36] ; [17.36 44.64],0
b3,1,0.355503,0.853716,[5 8] ; [16 46],[3.64 9.36] ; [17.36 44.64],0
a5,1,0.358397,0.843503,[14  4] ; [77 38],[12.31578947  5.68421053] ; [78.68421053 36.31578947],0
d3,1,0.393708,0.72746,[11  7] ; [81 33],[12.54545455  5.45454545] ; [79.45454545 34.54545455],0
v2,1,0.39617,0.719921,[ 8 10] ; [58 47],[9.65853659 8.34146341] ; [56.34146341 48.65853659],0
n1,1,0.400387,0.707163,[4 4] ; [13 25],[2.95652174 5.04347826] ; [14.04347826 23.95652174],0
n3,1,0.454785,0.558699,[4 4] ; [25 14],[4.93617021 3.06382979] ; [24.06382979 14.93617021],0
n5,1,0.481782,0.494827,[ 6 12] ; [48 66],[ 7.36363636 10.63636364] ; [46.63636364 67.36363636],0
s4,1,0.485427,0.486646,[ 4 14] ; [18 97],[ 2.97744361 15.02255639] ; [19.02255639 95.97744361],0
a8,1,0.487783,0.481414,[ 2 16] ; [  7 100],[ 1.296 16.704] ; [ 7.704 99.296],0
b4,1,0.499502,0.455994,[12  6] ; [67 48],[10.69172932  7.30827068] ; [68.30827068 46.69172932],0
a7,1,0.519951,0.41399,[12  6] ; [85 30],[13.12781955  4.87218045] ; [83.87218045 31.12781955],0
d1,1,0.543671,0.368778,[12  6] ; [68 47],[10.82706767  7.17293233] ; [69.17293233 45.82706767],0
s5,1,0.60417,0.268752,[ 5 13] ; [24 84],[ 4.14285714 13.85714286] ; [24.85714286 83.14285714],0
d4,1,0.616228,0.251205,[16  2] ; [97 18],[15.29323308  2.70676692] ; [97.70676692 17.29323308],0
s1,1,0.844281,0.038581,[ 1 17] ; [  5 106],[ 0.8372093 17.1627907] ; [  5.1627907 105.8372093],0
p5,1,0.972385,0.001198,[ 1 17] ; [  6 106],[ 0.96923077 17.03076923] ; [  6.03076923 105.96923077],0
