Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,0.001039,10.756803,[3 4] ; [ 11 143],[0.60869565 6.39130435] ; [ 13.39130435 140.60869565],0
a1,1,0.001312,10.325561,[2 5] ; [  5 149],[0.30434783 6.69565217] ; [  6.69565217 147.30434783],0
a4,1,0.002043,9.510942,[5 2] ; [ 32 120],[1.62893082 5.37106918] ; [ 35.37106918 116.62893082],0
p1,1,0.017206,5.675249,[3 4] ; [ 18 135],[0.91875 6.08125] ; [ 20.08125 132.91875],0
s7,1,0.069926,3.284754,[4 2] ; [45 99],[1.96 4.04] ; [47.04 96.96],0
s2,1,0.087095,2.927273,[4 3] ; [ 42 112],[2. 5.] ; [ 44. 110.],0
p6,1,0.104825,2.63055,[4 3] ; [ 43 108],[2.08227848 4.91772152] ; [ 44.91772152 106.08227848],0
a6,1,0.118322,2.439394,[6 1] ; [86 68],[4. 3.] ; [88. 66.],0
s8,1,0.130684,2.284356,[4 3] ; [ 46 107],[2.1875 4.8125] ; [ 47.8125 105.1875],0
v4,1,0.168587,1.895465,[5 2] ; [134  17],[6.15822785 0.84177215] ; [132.84177215  18.15822785],0
a8,1,0.170069,1.882335,[2 4] ; [ 19 123],[0.85135135 5.14864865] ; [ 20.14864865 121.85135135],0
p4,1,0.201177,1.633806,[5 2] ; [72 82],[3.34782609 3.65217391] ; [73.65217391 80.34782609],0
s5,1,0.307236,1.04252,[2 4] ; [ 26 126],[1.06329114 4.93670886] ; [ 26.93670886 125.06329114],0
p2,1,0.387222,0.747649,[6 1] ; [108  45],[4.9875 2.0125] ; [109.0125  43.9875],0
b5,1,0.415947,0.661738,[5 2] ; [86 68],[3.95652174 3.04347826] ; [87.04347826 66.95652174],0
p8,1,0.437583,0.602614,[4 3] ; [63 86],[3.00641026 3.99358974] ; [63.99358974 85.00641026],0
s3,1,0.440722,0.594401,[4 3] ; [64 87],[3.01265823 3.98734177] ; [64.98734177 86.01265823],0
n6,1,0.442281,0.590357,[6 1] ; [111  42],[5.11875 1.88125] ; [111.88125  41.11875],0
n5,1,0.476846,0.506069,[6 1] ; [112  40],[5.19496855 1.80503145] ; [112.80503145  39.19496855],0
s6,1,0.488862,0.479029,[2 4] ; [73 80],[2.83018868 3.16981132] ; [72.16981132 80.83018868],0
r4,1,0.530336,0.393748,[6 1] ; [116  38],[5.30434783 1.69565217] ; [116.69565217  37.30434783],0
r1,1,0.600023,0.274961,[5 2] ; [93 58],[4.34177215 2.65822785] ; [93.65822785 57.34177215],0
p3,1,0.633652,0.227141,[3 3] ; [62 92],[2.4375 3.5625] ; [62.5625 91.4375],0
n3,1,0.657512,0.19656,[2 1] ; [35 10],[2.3125 0.6875] ; [34.6875 10.3125],0
n1,1,0.677676,0.172754,[1 2] ; [21 25],[1.34693878 1.65306122] ; [20.65306122 25.34693878],0
b4,1,0.68675,0.162626,[3 4] ; [78 76],[3.52173913 3.47826087] ; [77.47826087 76.52173913],0
p5,1,0.709062,0.139216,[1 6] ; [ 15 136],[0.70886076 6.29113924] ; [ 15.29113924 135.70886076],0
b2,1,0.732097,0.117195,[2 3] ; [30 62],[1.64948454 3.35051546] ; [30.35051546 61.64948454],0
b3,1,0.732097,0.117195,[2 3] ; [30 62],[1.64948454 3.35051546] ; [30.35051546 61.64948454],0
p10,1,0.775335,0.081455,[5 2] ; [98 50],[4.6516129 2.3483871] ; [98.3483871 49.6516129],0
v3,1,0.812019,0.05656,[2 5] ; [ 49 100],[2.28846154 4.71153846] ; [ 48.71153846 100.28846154],0
r3,1,0.813305,0.055774,[6 1] ; [125  27],[5.7672956 1.2327044] ; [125.2327044  26.7672956],0
n2,1,0.831949,0.04503,[2 1] ; [34 13],[2.16 0.84] ; [33.84 13.16],0
p11,1,0.856691,0.032612,[5 2] ; [105  49],[4.7826087 2.2173913] ; [105.2173913  48.7826087],0
p7,1,0.885208,0.020843,[4 3] ; [81 68],[3.81410256 3.18589744] ; [81.18589744 67.81410256],0
b1,1,0.919247,0.010278,[3 4] ; [69 85],[3.13043478 3.86956522] ; [68.86956522 85.13043478],0
v1,1,0.980172,0.000618,[3 4] ; [65 85],[3.03184713 3.96815287] ; [64.96815287 85.03184713],0
p9,1,0.982419,0.000486,[5 2] ; [107  42],[5.02564103 1.97435897] ; [106.97435897  42.02564103],0
v2,1,0.991739,0.000107,[3 4] ; [62 82],[3.01324503 3.98675497] ; [61.98675497 82.01324503],0
