Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.018468,5.551199,[13 69] ; [13 24],[17.91596639 64.08403361] ; [ 8.08403361 28.91596639],0
d4,1,0.022862,5.178993,[53 31] ; [31  6],[58.31404959 25.68595041] ; [25.68595041 11.31404959],0
r3,1,0.042904,4.099196,[58 26] ; [32  5],[62.47933884 21.52066116] ; [27.52066116  9.47933884],0
d2,1,0.053397,3.731444,[45 38] ; [13 24],[40.11666667 42.88333333] ; [17.88333333 19.11666667],0
b4,1,0.062358,3.473527,[47 37] ; [28 10],[51.63934426 32.36065574] ; [23.36065574 14.63934426],0
p10,1,0.079368,3.077794,[18 65] ; [14 24],[21.95041322 61.04958678] ; [10.04958678 27.95041322],0
p8,1,0.086177,2.944369,[22 61] ; [16 22],[26.0661157 56.9338843] ; [11.9338843 26.0661157],0
a4,1,0.096891,2.755979,[30 53] ; [ 8 30],[26.0661157 56.9338843] ; [11.9338843 26.0661157],0
p4,1,0.120722,2.407924,[28 55] ; [18 19],[31.81666667 51.18333333] ; [14.18333333 22.81666667],0
d5,1,0.133869,2.247052,[55 29] ; [30  8],[58.52459016 25.47540984] ; [26.47540984 11.52459016],0
a2,1,0.14762,2.09667,[12 72] ; [ 2 36],[ 9.63934426 74.36065574] ; [ 4.36065574 33.63934426],0
v4,1,0.205816,1.600616,[62 22] ; [32  6],[64.72131148 19.27868852] ; [29.27868852  8.72131148],0
s4,1,0.219196,1.509628,[16 66] ; [ 4 34],[13.66666667 68.33333333] ; [ 6.33333333 31.66666667],0
n3,1,0.229911,1.44141,[18 19] ; [7 3],[19.68085106 17.31914894] ; [5.31914894 4.68085106],0
s1,1,0.250789,1.3189,[ 7 77] ; [ 1 36],[ 5.55371901 78.44628099] ; [ 2.44628099 34.55371901],0
n5,1,0.259661,1.270561,[49 35] ; [18 20],[46.13114754 37.86885246] ; [20.86885246 17.13114754],0
n4,1,0.274929,1.191985,[53 31] ; [20 18],[50.26229508 33.73770492] ; [22.73770492 15.26229508],0
s5,1,0.285049,1.142857,[12 72] ; [ 8 28],[14. 70.] ; [ 6. 30.],0
p11,1,0.315709,1.00664,[36 48] ; [20 18],[38.55737705 45.44262295] ; [17.44262295 20.55737705],0
u3,1,0.337208,0.921019,[21 19] ; [ 7 11],[19.31034483 20.68965517] ; [8.68965517 9.31034483],0
s8,1,0.35876,0.842229,[14 70] ; [ 9 29],[15.83606557 68.16393443] ; [ 7.16393443 30.83606557],0
a6,1,0.473852,0.51298,[45 39] ; [23 15],[46.81967213 37.18032787] ; [21.18032787 16.81967213],0
s7,1,0.490865,0.47463,[20 59] ; [ 7 29],[18.54782609 60.45217391] ; [ 8.45217391 27.54782609],0
p7,1,0.493028,0.469912,[33 51] ; [17 20],[34.7107438 49.2892562] ; [15.2892562 21.7107438],0
n1,1,0.516836,0.420202,[13 26] ; [2 7],[12.1875 26.8125] ; [2.8125 6.1875],0
d1,1,0.556278,0.34619,[35 49] ; [18 20],[36.49180328 47.50819672] ; [16.50819672 21.49180328],0
n6,1,0.559512,0.34055,[50 33] ; [25 13],[51.44628099 31.55371901] ; [23.55371901 14.44628099],0
r1,1,0.568522,0.325162,[53 31] ; [26 12],[54.39344262 29.60655738] ; [24.60655738 13.39344262],0
n2,1,0.5713,0.320513,[20 20] ; [6 4],[20.8 19.2] ; [5.2 4.8],0
r4,1,0.592203,0.286917,[51 33] ; [25 13],[52.32786885 31.67213115] ; [23.67213115 14.32786885],0
b2,1,0.600534,0.274192,[16 40] ; [ 5 17],[15.07692308 40.92307692] ; [ 5.92307692 16.07692308],0
b3,1,0.600534,0.274192,[16 40] ; [ 5 17],[15.07692308 40.92307692] ; [ 5.92307692 16.07692308],0
r2,1,0.689025,0.160143,[67 16] ; [31  6],[67.78333333 15.21666667] ; [30.21666667  6.78333333],0
a7,1,0.692616,0.156268,[49 35] ; [23 14],[49.98347107 34.01652893] ; [22.01652893 14.98347107],0
p1,1,0.756794,0.09591,[ 8 75] ; [ 3 35],[ 7.54545455 75.45454545] ; [ 3.45454545 34.54545455],0
a1,1,0.771102,0.084642,[ 8 76] ; [ 3 35],[ 7.57377049 76.42622951] ; [ 3.42622951 34.57377049],0
u1,1,0.771102,0.084642,[ 8 76] ; [ 3 35],[ 7.57377049 76.42622951] ; [ 3.42622951 34.57377049],0
s2,1,0.779578,0.078326,[22 61] ; [11 27],[22.63636364 60.36363636] ; [10.36363636 27.63636364],0
a5,1,0.787737,0.072496,[42 42] ; [20 18],[42.68852459 41.31147541] ; [19.31147541 18.68852459],0
p2,1,0.787737,0.072496,[42 42] ; [18 20],[41.31147541 42.68852459] ; [18.68852459 19.31147541],0
a8,1,0.79639,0.066576,[ 6 75] ; [ 3 31],[ 6.33913043 74.66086957] ; [ 2.66086957 31.33913043],0
p3,1,0.87294,0.025576,[23 60] ; [10 28],[22.63636364 60.36363636] ; [10.36363636 27.63636364],0
s6,1,0.884802,0.020991,[32 52] ; [15 23],[32.36065574 51.63934426] ; [14.63934426 23.36065574],0
s3,1,0.957263,0.002872,[31 52] ; [14 24],[30.8677686 52.1322314] ; [14.1322314 23.8677686],0
b1,1,0.958904,0.002655,[46 38] ; [21 17],[46.13114754 37.86885246] ; [20.86885246 17.13114754],0
p6,1,0.963178,0.002131,[15 68] ; [ 7 31],[15.09090909 67.90909091] ; [ 6.90909091 31.09090909],0
a3,1,0.968958,0.001514,[44 39] ; [20 18],[43.90082645 39.09917355] ; [20.09917355 17.90082645],0
u2,1,0.975654,0.000931,[19 21] ; [8 9],[18.94736842 21.05263158] ; [8.05263158 8.94736842],0
b5,1,1.0,0.0,[42 42] ; [19 19],[42. 42.] ; [19. 19.],0
d3,1,1.0,0.0,[42 42] ; [19 19],[42. 42.] ; [19. 19.],0
