Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,7e-06,20.152448,[63  5] ; [236 125],[47.39393939 20.60606061] ; [251.60606061 109.39393939],1
s2,1,8e-05,15.547066,[53 19] ; [177 190],[37.72209567 34.27790433] ; [192.27790433 174.72209567],1
s5,1,0.000464,12.256695,[38 27] ; [128 233],[25.3286385 39.6713615] ; [140.6713615 220.3286385],1
v2,1,0.001042,10.751246,[29 42] ; [222 137],[41.44418605 29.55581395] ; [209.55581395 149.44418605],0
s3,1,0.001106,10.641789,[55 18] ; [198 164],[42.45747126 30.54252874] ; [210.54252874 151.45747126],0
p6,1,0.001155,10.560561,[48 25] ; [164 201],[35.33333333 37.66666667] ; [176.66666667 188.33333333],0
s7,1,0.001247,10.419959,[51 21] ; [175 175],[38.55924171 33.44075829] ; [187.44075829 162.55924171],0
v3,1,0.054366,3.701434,[24 48] ; [163 194],[31.38461538 40.61538462] ; [155.61538462 201.38461538],0
a8,1,0.066396,3.369946,[ 5 62] ; [ 54 280],[ 9.85785536 57.14214464] ; [ 49.14214464 284.85785536],0
n4,1,0.076299,3.142022,[52 21] ; [297  72],[57.64027149 15.35972851] ; [291.35972851  77.64027149],0
b2,1,0.07759,3.114671,[10 30] ; [ 90 137],[14.98127341 25.01872659] ; [ 85.01872659 141.98127341],0
b3,1,0.07759,3.114671,[10 30] ; [ 90 137],[14.98127341 25.01872659] ; [ 85.01872659 141.98127341],0
s8,1,0.079721,3.070576,[43 30] ; [174 191],[36.16666667 36.83333333] ; [180.83333333 184.16666667],0
a7,1,0.086359,2.940959,[49 24] ; [282  86],[54.79138322 18.20861678] ; [276.20861678  91.79138322],0
p7,1,0.090328,2.868511,[63  8] ; [292  72],[57.94252874 13.05747126] ; [297.05747126  66.94252874],0
a3,1,0.090793,2.860253,[45 28] ; [262 104],[51.0501139 21.9498861] ; [255.9498861 110.0501139],0
a5,1,0.160881,1.965923,[51 22] ; [286  83],[55.65837104 17.34162896] ; [281.34162896  87.65837104],0
s1,1,0.163023,1.945961,[ 4 69] ; [  9 358],[ 2.15681818 70.84318182] ; [ 10.84318182 356.15681818],0
d3,1,0.168337,1.897692,[57 16] ; [258 110],[52.14285714 20.85714286] ; [262.85714286 105.14285714],0
p10,1,0.18951,1.721421,[67  6] ; [317  51],[63.56462585  9.43537415] ; [320.43537415  47.56462585],0
n3,1,0.192072,1.701655,[12  3] ; [36 22],[9.8630137 5.1369863] ; [38.1369863 19.8630137],0
v1,1,0.230394,1.438426,[38 34] ; [218 143],[42.56812933 29.43187067] ; [213.43187067 147.56812933],0
p4,1,0.24725,1.338774,[57 16] ; [263 105],[52.97052154 20.02947846] ; [267.02947846 100.97052154],0
a1,1,0.33598,0.925711,[ 2 71] ; [ 20 349],[ 3.63348416 69.36651584] ; [ 18.36651584 350.63348416],0
a6,1,0.350013,0.873409,[45 28] ; [247 120],[48.44545455 24.55454545] ; [243.55454545 123.44545455],0
u2,1,0.410723,0.676706,[13 15] ; [59 48],[14.93333333 13.06666667] ; [57.06666667 49.93333333],0
p3,1,0.41934,0.652165,[49 24] ; [228 139],[45.95681818 27.04318182] ; [231.04318182 135.95681818],0
n1,1,0.422102,0.644455,[ 5 10] ; [26 32],[6.36986301 8.63013699] ; [24.63013699 33.36986301],0
n5,1,0.423167,0.641503,[60 13] ; [287  81],[57.4399093 15.5600907] ; [289.5600907  78.4399093],0
p2,1,0.42687,0.631326,[68  5] ; [331  36],[66.19772727  6.80227273] ; [332.80227273  34.19772727],0
u4,1,0.438972,0.598967,[ 1 72] ; [ 11 358],[ 1.98190045 71.01809955] ; [ 10.01809955 358.98190045],0
n6,1,0.457277,0.552551,[65  7] ; [318  47],[63.10297483  8.89702517] ; [319.89702517  45.10297483],0
u1,1,0.502582,0.44948,[14 59] ; [ 59 310],[12.05656109 60.94343891] ; [ 60.94343891 308.05656109],0
d4,1,0.515281,0.423328,[59 14] ; [308  59],[60.88863636 12.11136364] ; [306.11136364  60.88863636],0
d1,1,0.522729,0.408506,[48 25] ; [228 141],[45.58371041 27.41628959] ; [230.41628959 138.58371041],0
p11,1,0.529915,0.394554,[60 13] ; [314  55],[61.76923077 11.23076923] ; [312.23076923  56.76923077],0
r4,1,0.558047,0.343097,[68  5] ; [350  19],[69.0361991  3.9638009] ; [348.9638009  20.0361991],0
d2,1,0.565857,0.329664,[37 36] ; [173 195],[34.76190476 38.23809524] ; [175.23809524 192.76190476],0
u3,1,0.569648,0.323272,[17 11] ; [58 48],[15.67164179 12.32835821] ; [59.32835821 46.67164179],0
r1,1,0.584332,0.299283,[60 13] ; [311  56],[61.55227273 11.44772727] ; [309.44772727  57.55227273],0
p5,1,0.591832,0.287493,[11 62] ; [ 65 303],[12.58049887 60.41950113] ; [ 63.41950113 304.58049887],0
a2,1,0.633108,0.227869,[14 59] ; [ 80 289],[15.52488688 57.47511312] ; [ 78.47511312 290.52488688],0
p1,1,0.651695,0.203769,[ 8 65] ; [ 47 318],[ 9.16666667 63.83333333] ; [ 45.83333333 319.16666667],0
r3,1,0.65276,0.202438,[68  4] ; [352  16],[68.72727273  3.27272727] ; [351.27272727  16.72727273],0
b1,1,0.707515,0.140772,[28 45] ; [133 236],[26.59049774 46.40950226] ; [134.40950226 234.59049774],0
p12,1,0.708625,0.139654,[ 8 65] ; [ 35 332],[ 7.13409091 65.86590909] ; [ 35.86590909 331.13409091],0
b4,1,0.718113,0.130308,[44 29] ; [214 155],[42.61085973 30.38914027] ; [215.38914027 153.61085973],0
b5,1,0.723699,0.124976,[42 31] ; [204 165],[40.62895928 32.37104072] ; [205.37104072 163.62895928],0
n2,1,0.759189,0.093971,[12  3] ; [45 14],[11.55405405  3.44594595] ; [45.44594595 13.55405405],0
v4,1,0.772089,0.083893,[71  2] ; [358   8],[71.33712984  1.66287016] ; [357.66287016   8.33712984],0
d5,1,0.842294,0.039585,[60 13] ; [298  69],[59.39545455 13.60454545] ; [298.60454545  68.39545455],0
