Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.000371,12.673683,[18 20] ; [ 5 38],[10.79012346 27.20987654] ; [12.20987654 30.79012346],1
p3,1,0.000386,12.59896,[22 17] ; [ 8 35],[14.26829268 24.73170732] ; [15.73170732 27.26829268],1
p8,1,0.001999,9.550681,[21 18] ; [ 9 34],[14.26829268 24.73170732] ; [15.73170732 27.26829268],0
p7,1,0.003282,8.643875,[25 13] ; [13 27],[18.51282051 19.48717949] ; [19.48717949 20.51282051],0
a4,1,0.00688,7.303917,[20 19] ; [10 34],[14.09638554 24.90361446] ; [15.90361446 28.09638554],0
p11,1,0.01047,6.553085,[33  6] ; [26 18],[27.72289157 11.27710843] ; [31.27710843 12.72289157],0
a7,1,0.012984,6.171249,[16 23] ; [30 14],[21.61445783 17.38554217] ; [24.38554217 19.61445783],0
p2,1,0.025732,4.973966,[34  4] ; [29 13],[29.925  8.075] ; [33.075  8.925],0
s8,1,0.033697,4.510034,[16 22] ; [ 9 35],[11.58536585 26.41463415] ; [13.41463415 30.58536585],0
n6,1,0.04355,4.073921,[29  9] ; [23 19],[24.7 13.3] ; [27.3 14.7],0
b1,1,0.056654,3.632724,[25 14] ; [19 25],[20.6746988 18.3253012] ; [23.3253012 20.6746988],0
b4,1,0.071915,3.23876,[19 20] ; [30 14],[23.02409639 15.97590361] ; [25.97590361 18.02409639],0
a5,1,0.075387,3.161649,[27 12] ; [22 22],[23.02409639 15.97590361] ; [25.97590361 18.02409639],0
n1,1,0.087725,2.915629,[7 6] ; [ 4 13],[4.76666667 8.23333333] ; [ 6.23333333 10.76666667],0
n3,1,0.087725,2.915629,[6 7] ; [13  4],[8.23333333 4.76666667] ; [10.76666667  6.23333333],0
a8,1,0.132391,2.264238,[ 1 34] ; [ 5 36],[ 2.76315789 32.23684211] ; [ 3.23684211 37.76315789],0
n5,1,0.147549,2.09741,[28  9] ; [26 17],[24.975 12.025] ; [29.025 13.975],0
r2,1,0.160421,1.970256,[19 16] ; [28 12],[21.93333333 13.06666667] ; [25.06666667 14.93333333],0
p5,1,0.16421,1.935022,[ 8 31] ; [ 4 38],[ 5.77777778 33.22222222] ; [ 6.22222222 35.77777778],0
s7,1,0.19279,1.696166,[17 18] ; [15 29],[14.17721519 20.82278481] ; [17.82278481 26.17721519],0
u3,1,0.197703,1.659259,[7 7] ; [ 5 13],[5.25 8.75] ; [ 6.75 11.25],0
d5,1,0.20721,1.590812,[29 10] ; [27 17],[26.31325301 12.68674699] ; [29.68674699 14.31325301],0
s2,1,0.276959,1.18195,[17 20] ; [15 29],[14.61728395 22.38271605] ; [17.38271605 26.61728395],0
u2,1,0.304652,1.053719,[8 7] ; [ 6 11],[6.5625 8.4375] ; [7.4375 9.5625],0
u1,1,0.355076,0.855232,[ 5 34] ; [ 3 41],[ 3.75903614 35.24096386] ; [ 4.24096386 39.75903614],0
s5,1,0.363547,0.825605,[ 9 27] ; [ 7 35],[ 7.38461538 28.61538462] ; [ 8.61538462 33.38461538],0
s1,1,0.366446,0.815679,[ 1 38] ; [ 3 41],[ 1.87951807 37.12048193] ; [ 2.12048193 41.87951807],0
p10,1,0.370495,0.802005,[32  6] ; [32 10],[30.4  7.6] ; [33.6  8.4],0
d2,1,0.383512,0.759413,[16 23] ; [14 30],[14.09638554 24.90361446] ; [15.90361446 28.09638554],0
a1,1,0.384712,0.755591,[ 3 36] ; [ 6 38],[ 4.22891566 34.77108434] ; [ 4.77108434 39.22891566],0
s3,1,0.465006,0.533817,[15 20] ; [22 21],[16.6025641 18.3974359] ; [20.3974359 22.6025641],0
n2,1,0.469313,0.523594,[10  3] ; [11  6],[9.1 3.9] ; [11.9  5.1],0
v3,1,0.475272,0.509694,[ 8 30] ; [12 31],[ 9.38271605 28.61728395] ; [10.61728395 32.38271605],0
n4,1,0.476403,0.507087,[26 13] ; [26 18],[24.43373494 14.56626506] ; [27.56626506 16.43373494],0
d1,1,0.514501,0.424903,[16 23] ; [15 29],[14.56626506 24.43373494] ; [16.43373494 27.56626506],0
s6,1,0.54286,0.370265,[18 18] ; [19 25],[16.65 19.35] ; [20.35 23.65],0
s4,1,0.55416,0.349917,[ 7 31] ; [ 6 38],[ 6.02439024 31.97560976] ; [ 6.97560976 37.02439024],0
v2,1,0.641854,0.216326,[16 21] ; [16 26],[14.98734177 22.01265823] ; [17.01265823 24.98734177],0
d4,1,0.725835,0.12297,[27 12] ; [32 12],[27.72289157 11.27710843] ; [31.27710843 12.72289157],0
r1,1,0.762936,0.090979,[ 9 28] ; [12 32],[ 9.59259259 27.40740741] ; [11.40740741 32.59259259],0
d3,1,0.790594,0.070511,[22 17] ; [23 20],[21.40243902 17.59756098] ; [23.59756098 19.40243902],0
a2,1,0.838746,0.041411,[ 5 34] ; [ 5 39],[ 4.69879518 34.30120482] ; [ 5.30120482 38.69879518],0
v1,1,0.84216,0.039653,[17 21] ; [17 23],[16.56410256 21.43589744] ; [17.43589744 22.56410256],0
p1,1,0.884386,0.021145,[ 4 35] ; [ 4 39],[ 3.80487805 35.19512195] ; [ 4.19512195 38.80487805],0
r3,1,0.88776,0.01992,[25 12] ; [29 13],[25.29113924 11.70886076] ; [28.70886076 13.29113924],0
a3,1,0.920736,0.009902,[24 15] ; [26 17],[23.7804878 15.2195122] ; [26.2195122 16.7804878],0
a6,1,0.928168,0.008127,[20 19] ; [23 21],[20.20481928 18.79518072] ; [22.79518072 21.20481928],0
v4,1,0.946766,0.004458,[25 10] ; [29 12],[24.86842105 10.13157895] ; [29.13157895 11.86842105],0
b2,1,0.98051,0.000597,[ 9 19] ; [ 7 15],[ 8.96 19.04] ; [ 7.04 14.96],0
b3,1,0.98051,0.000597,[ 9 19] ; [ 7 15],[ 8.96 19.04] ; [ 7.04 14.96],0
b5,1,0.991402,0.000116,[23 16] ; [26 18],[23.02409639 15.97590361] ; [25.97590361 18.02409639],0
