Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.007706,7.100611,[75 47] ; [ 3 10],[70.48888889 51.51111111] ; [7.51111111 5.48888889],0
p1,1,0.011158,6.439961,[ 10 112] ; [4 9],[ 12.65185185 109.34814815] ; [ 1.34814815 11.65185185],0
d2,1,0.025215,5.009027,[45 76] ; [9 4],[48.76119403 72.23880597] ; [5.23880597 7.76119403],0
p5,1,0.039867,4.223552,[  8 113] ; [ 3 10],[  9.93283582 111.06716418] ; [ 1.06716418 11.93283582],0
u1,1,0.044065,4.054078,[  4 118] ; [ 2 11],[  5.42222222 116.57777778] ; [ 0.57777778 12.42222222],0
d4,1,0.063694,3.438499,[71 51] ; [11  2],[74.1037037 47.8962963] ; [7.8962963 5.1037037],0
s6,1,0.065683,3.387748,[35 86] ; [7 6],[37.92537313 83.07462687] ; [4.07462687 8.92537313],0
p3,1,0.080806,3.048611,[36 84] ; [7 6],[38.79699248 81.20300752] ; [4.20300752 8.79699248],0
p4,1,0.080876,3.047208,[44 76] ; [8 5],[46.91729323 73.08270677] ; [5.08270677 7.91729323],0
p2,1,0.081774,3.029294,[72 48] ; [11  2],[74.88721805 45.11278195] ; [8.11278195 4.88721805],0
d1,1,0.113596,2.503466,[39 83] ; [7 6],[41.57037037 80.42962963] ; [4.42962963 8.57037037],0
p6,1,0.19909,1.649041,[26 90] ; [5 8],[27.87596899 88.12403101] ; [3.12403101 9.87596899],0
a4,1,0.20022,1.640771,[35 86] ; [6 7],[37.02238806 83.97761194] ; [3.97761194 9.02238806],0
p7,1,0.232481,1.425618,[53 67] ; [8 5],[55.03759398 64.96240602] ; [5.96240602 7.03759398],0
s7,1,0.245926,1.346301,[22 93] ; [4 8],[23.54330709 91.45669291] ; [2.45669291 9.54330709],0
b4,1,0.271926,1.207008,[65 57] ; [9 4],[66.87407407 55.12592593] ; [7.12592593 5.87407407],0
d5,1,0.297091,1.087206,[76 46] ; [10  3],[77.71851852 44.28148148] ; [8.28148148 4.71851852],0
p8,1,0.320406,0.987288,[44 75] ; [ 3 10],[42.37121212 76.62878788] ; [4.62878788 8.37121212],0
p10,1,0.328864,0.953364,[65 53] ; [9 4],[66.65648855 51.34351145] ; [7.34351145 5.65648855],0
r4,1,0.337166,0.921178,[58 64] ; [8 5],[59.64444444 62.35555556] ; [6.35555556 6.64444444],0
r2,1,0.350077,0.873179,[87 31] ; [8 5],[85.57251908 32.42748092] ; [9.42748092 3.57251908],0
u2,1,0.385123,0.754286,[22 33] ; [3 2],[22.91666667 32.08333333] ; [2.08333333 2.91666667],0
a3,1,0.403478,0.697937,[66 56] ; [8 4],[67.37313433 54.62686567] ; [6.62686567 5.37313433],0
v1,1,0.404999,0.693433,[36 84] ; [5 7],[37.27272727 82.72727273] ; [3.72727273 8.27272727],0
n3,1,0.421051,0.647379,[32 14] ; [2 2],[31.28 14.72] ; [2.72 1.28],0
v4,1,0.423961,0.639309,[91 31] ; [11  2],[92.17777778 29.82222222] ; [9.82222222 3.17777778],0
p9,1,0.488887,0.478974,[79 38] ; [10  3],[80.1 36.9] ; [8.9 4.1],0
n2,1,0.523186,0.407609,[27 19] ; [3 1],[27.6 18.4] ; [2.4 1.6],0
a2,1,0.532763,0.389119,[ 12 110] ; [ 2 11],[ 12.65185185 109.34814815] ; [ 1.34814815 11.65185185],0
u3,1,0.545398,0.365626,[15 40] ; [2 3],[15.58333333 39.41666667] ; [1.41666667 3.58333333],0
a5,1,0.58519,0.297919,[56 66] ; [7 6],[56.93333333 65.06666667] ; [6.06666667 6.93333333],0
n5,1,0.60452,0.268233,[83 38] ; [8 5],[82.17164179 38.82835821] ; [8.82835821 4.17164179],0
b1,1,0.608365,0.262563,[56 66] ; [5 8],[55.12592593 66.87407407] ; [5.87407407 7.12592593],0
v2,1,0.61882,0.24753,[38 82] ; [5 8],[38.79699248 81.20300752] ; [4.20300752 8.79699248],0
r3,1,0.637985,0.221387,[91 30] ; [9 4],[90.29850746 30.70149254] ; [9.70149254 3.29850746],0
d3,1,0.643919,0.213653,[57 64] ; [7 6],[57.79104478 63.20895522] ; [6.20895522 6.79104478],0
n1,1,0.670379,0.181159,[18 28] ; [2 2],[18.4 27.6] ; [1.6 2.4],0
s8,1,0.679899,0.17024,[ 14 108] ; [ 1 12],[ 13.55555556 108.44444444] ; [ 1.44444444 11.55555556],0
s4,1,0.749584,0.101881,[ 15 107] ; [ 2 11],[ 15.36296296 106.63703704] ; [ 1.63703704 11.36296296],0
a1,1,0.776605,0.080512,[  7 115] ; [ 1 12],[  7.22962963 114.77037037] ; [ 0.77037037 12.22962963],0
a7,1,0.851387,0.0351,[69 53] ; [7 6],[68.68148148 53.31851852] ; [7.31851852 5.68148148],0
n4,1,0.910917,0.012518,[77 45] ; [8 5],[76.81481481 45.18518519] ; [8.18518519 4.81481481],0
a8,1,0.916339,0.011035,[ 10 107] ; [ 1 12],[  9.9 107.1] ; [ 1.1 11.9],0
b2,1,0.91776,0.010662,[29 42] ; [3 4],[29.12820513 41.87179487] ; [2.87179487 4.12820513],0
b3,1,0.91776,0.010662,[29 42] ; [3 4],[29.12820513 41.87179487] ; [2.87179487 4.12820513],0
v3,1,0.92629,0.008559,[32 90] ; [3 9],[31.86567164 90.13432836] ; [3.13432836 8.86567164],0
n6,1,0.939294,0.0058,[85 36] ; [9 4],[84.88059701 36.11940299] ; [9.11940299 3.88059701],0
s3,1,0.974725,0.001004,[27 92] ; [ 3 10],[27.04545455 91.95454545] ; [ 2.95454545 10.04545455],0
a6,1,0.98616,0.000301,[66 56] ; [7 6],[65.97037037 56.02962963] ; [7.02962963 5.97037037],0
p11,1,0.996457,2e-05,[75 47] ; [8 5],[75.00740741 46.99259259] ; [7.99259259 5.00740741],0
