Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,3e-06,21.701463,[14  3] ; [17 57],[ 5.79120879 11.20879121] ; [25.20879121 48.79120879],1
s2,1,0.000115,14.867345,[13  5] ; [18 56],[ 6.06521739 11.93478261] ; [24.93478261 49.06521739],1
s7,1,0.000125,14.711538,[10  7] ; [10 58],[ 4. 13.] ; [16. 52.],1
p6,1,0.000199,13.837324,[ 6 12] ; [ 3 70],[ 1.78021978 16.21978022] ; [ 7.21978022 65.78021978],1
s5,1,0.000512,12.071596,[7 8] ; [ 7 63],[ 2.47058824 12.52941176] ; [11.52941176 58.47058824],1
v1,1,0.000541,11.969902,[14  4] ; [24 49],[ 7.51648352 10.48351648] ; [30.48351648 42.51648352],1
s3,1,0.003432,8.562245,[13  5] ; [25 48],[ 7.51648352 10.48351648] ; [30.48351648 42.51648352],0
r4,1,0.003697,8.427002,[17  1] ; [43 31],[11.73913043  6.26086957] ; [48.26086957 25.73913043],0
p3,1,0.010171,6.604703,[ 8 10] ; [12 61],[ 3.95604396 14.04395604] ; [16.04395604 56.95604396],0
r3,1,0.026975,4.892392,[17  1] ; [51 23],[13.30434783  4.69565217] ; [54.69565217 19.30434783],0
p9,1,0.042891,4.099686,[13  4] ; [36 37],[9.25555556 7.74444444] ; [39.74444444 33.25555556],0
p10,1,0.04832,3.898804,[11  6] ; [28 45],[7.36666667 9.63333333] ; [31.63333333 41.36666667],0
v2,1,0.057992,3.593912,[9 6] ; [24 47],[5.75581395 9.24418605] ; [27.24418605 43.75581395],0
s4,1,0.063828,3.435026,[ 5 13] ; [ 8 66],[ 2.54347826 15.45652174] ; [10.45652174 63.54347826],0
b3,1,0.064046,3.429383,[7 3] ; [15 25],[4.4 5.6] ; [17.6 22.4],0
b2,1,0.064046,3.429383,[7 3] ; [15 25],[4.4 5.6] ; [17.6 22.4],0
v3,1,0.080554,3.053685,[7 8] ; [17 53],[ 4.23529412 10.76470588] ; [19.76470588 50.23529412],0
n4,1,0.092939,2.822721,[ 6 12] ; [41 33],[9.19565217 8.80434783] ; [37.80434783 36.19565217],0
u2,1,0.100271,2.701224,[5 1] ; [13 15],[3.17647059 2.82352941] ; [14.82352941 13.17647059],0
p11,1,0.138935,2.18971,[10  8] ; [27 47],[ 7.23913043 10.76086957] ; [29.76086957 44.23913043],0
p2,1,0.140382,2.173765,[12  6] ; [35 39],[9.19565217 8.80434783] ; [37.80434783 36.19565217],0
p1,1,0.140854,2.1686,[ 4 14] ; [ 7 66],[ 2.17582418 15.82417582] ; [ 8.82417582 64.17582418],0
n2,1,0.158176,1.991582,[7 2] ; [17 16],[5.14285714 3.85714286] ; [18.85714286 14.14285714],0
b4,1,0.161843,1.956924,[13  5] ; [40 34],[10.36956522  7.63043478] ; [42.63043478 31.36956522],0
n5,1,0.17828,1.811901,[ 4 14] ; [29 45],[ 6.45652174 11.54347826] ; [26.54347826 47.45652174],0
d5,1,0.1877,1.735582,[15  3] ; [50 24],[12.7173913  5.2826087] ; [52.2826087 21.7173913],0
p4,1,0.236305,1.402505,[ 6 12] ; [15 59],[ 4.10869565 13.89130435] ; [16.89130435 57.10869565],0
a7,1,0.244009,1.357285,[9 9] ; [48 26],[11.15217391  6.84782609] ; [45.84782609 28.15217391],0
p12,1,0.255641,1.292213,[ 1 16] ; [ 1 72],[ 0.37777778 16.62222222] ; [ 1.62222222 71.37777778],0
r2,1,0.285346,1.141452,[17  1] ; [62 11],[15.62637363  2.37362637] ; [63.37362637  9.62637363],0
a2,1,0.292897,1.106256,[ 1 17] ; [11 63],[ 2.34782609 15.65217391] ; [ 9.65217391 64.34782609],0
n1,1,0.306974,1.043651,[5 3] ; [14 19],[3.70731707 4.29268293] ; [15.29268293 17.70731707],0
d4,1,0.310172,1.029942,[15  3] ; [53 21],[13.30434783  4.69565217] ; [54.69565217 19.30434783],0
r1,1,0.463658,0.53705,[13  5] ; [46 27],[11.67032967  6.32967033] ; [47.32967033 25.67032967],0
p8,1,0.46377,0.536781,[ 4 14] ; [11 62],[ 2.96703297 15.03296703] ; [12.03296703 60.96703297],0
b1,1,0.466397,0.530499,[9 9] ; [30 44],[ 7.63043478 10.36956522] ; [31.36956522 42.63043478],0
d1,1,0.466397,0.530499,[9 9] ; [30 44],[ 7.63043478 10.36956522] ; [31.36956522 42.63043478],0
a1,1,0.598067,0.277921,[ 1 17] ; [ 7 67],[ 1.56521739 16.43478261] ; [ 6.43478261 67.56521739],0
d3,1,0.604976,0.267556,[9 9] ; [42 32],[9.97826087 8.02173913] ; [41.02173913 32.97826087],0
a5,1,0.606493,0.265313,[10  8] ; [46 28],[10.95652174  7.04347826] ; [45.04347826 28.95652174],0
n3,1,0.642835,0.215054,[6 3] ; [18 13],[5.4 3.6] ; [18.6 12.4],0
b5,1,0.757189,0.095589,[9 9] ; [40 34],[9.58695652 8.41304348] ; [39.41304348 34.58695652],0
u1,1,0.779358,0.078488,[ 1 17] ; [ 3 71],[ 0.7826087 17.2173913] ; [ 3.2173913 70.7826087],0
a8,1,0.780575,0.077601,[ 1 15] ; [ 6 66],[ 1.27272727 14.72727273] ; [ 5.72727273 66.27272727],0
a3,1,0.881201,0.022334,[11  7] ; [46 27],[11.27472527  6.72527473] ; [45.72527473 27.27472527],0
a4,1,0.898015,0.016427,[ 7 11] ; [30 44],[ 7.23913043 10.76086957] ; [29.76086957 44.23913043],0
d2,1,0.898015,0.016427,[ 7 11] ; [30 44],[ 7.23913043 10.76086957] ; [29.76086957 44.23913043],0
a6,1,0.898015,0.016427,[11  7] ; [44 30],[10.76086957  7.23913043] ; [44.23913043 29.76086957],0
