Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,3.1e-05,17.363587,[29 41] ; [95 38],[42.75862069 27.24137931] ; [81.24137931 51.75862069],1
r4,1,0.000132,14.607632,[50 20] ; [122  11],[59.31034483 10.68965517] ; [112.68965517  20.31034483],1
d3,1,0.002053,9.501768,[20 50] ; [68 65],[30.34482759 39.65517241] ; [57.65517241 75.34482759],0
v4,1,0.005793,7.613603,[59 10] ; [128   5],[63.87623762  5.12376238] ; [123.12376238   9.87623762],0
a5,1,0.007986,7.036571,[34 36] ; [90 43],[42.75862069 27.24137931] ; [81.24137931 51.75862069],0
n6,1,0.011707,6.354767,[51 19] ; [115  17],[57.52475248 12.47524752] ; [108.47524752  23.52475248],0
p2,1,0.011775,6.3444,[54 15] ; [121  12],[59.77722772  9.22277228] ; [115.22277228  17.77722772],0
r2,1,0.014733,5.948071,[55 14] ; [121  11],[60.41791045  8.58208955] ; [115.58208955  16.41791045],0
r3,1,0.030728,4.668091,[61  9] ; [127   6],[64.82758621  5.17241379] ; [123.17241379   9.82758621],0
b5,1,0.045256,4.009082,[34 36] ; [84 49],[40.68965517 29.31034483] ; [77.31034483 55.68965517],0
a2,1,0.073334,3.206779,[ 2 68] ; [ 13 120],[ 5.17241379 64.82758621] ; [  9.82758621 123.17241379],0
s8,1,0.081147,3.041772,[33 37] ; [46 87],[27.24137931 42.75862069] ; [51.75862069 81.24137931],0
r1,1,0.084717,2.971996,[45 25] ; [100  32],[50.24752475 19.75247525] ; [94.75247525 37.24752475],0
d2,1,0.10807,2.582213,[15 55] ; [ 17 116],[11.03448276 58.96551724] ; [ 20.96551724 112.03448276],0
p8,1,0.120591,2.409632,[37 32] ; [85 46],[42.09 26.91] ; [79.91 51.09],0
u3,1,0.160804,1.966648,[13 17] ; [32 22],[16.07142857 13.92857143] ; [28.92857143 25.07142857],0
b4,1,0.170071,1.882316,[34 36] ; [78 55],[38.62068966 31.37931034] ; [73.37931034 59.62068966],0
p10,1,0.183211,1.771379,[52 17] ; [109  22],[55.545 13.455] ; [105.455  25.545],0
b2,1,0.186033,1.748761,[19 28] ; [21 52],[15.66666667 31.33333333] ; [24.33333333 48.66666667],0
