Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,3e-06,21.914677,[118 118] ; [235 104],[144.88347826  91.11652174] ; [208.11652174 130.88347826],1
v3,1,5e-06,20.847143,[ 75 165] ; [170 168],[101.73010381 138.26989619] ; [143.26989619 194.73010381],1
n5,1,1.7e-05,18.478399,[171  74] ; [295  54],[192.20538721  52.79461279] ; [273.79461279  75.20538721],1
p6,1,0.000476,12.206672,[ 80 168] ; [161 185],[100.61952862 147.38047138] ; [140.38047138 205.61952862],1
s8,1,0.000734,11.401721,[103 144] ; [194 154],[123.29243697 123.70756303] ; [173.70756303 174.29243697],1
p4,1,0.001067,10.70702,[139 108] ; [242 107],[157.89765101  89.10234899] ; [223.10234899 125.89765101],0
p8,1,0.002054,9.500617,[124 123] ; [217 128],[142.27533784 104.72466216] ; [198.72466216 146.27533784],0
b3,1,0.002433,9.190241,[38 93] ; [104 126],[51.52908587 79.47091413] ; [ 90.47091413 139.52908587],0
b2,1,0.002433,9.190241,[38 93] ; [104 126],[51.52908587 79.47091413] ; [ 90.47091413 139.52908587],0
p3,1,0.009045,6.81401,[116 132] ; [201 148],[131.68509213 116.31490787] ; [185.31490787 163.68509213],0
p11,1,0.017466,5.648922,[195  53] ; [302  49],[205.76961603  42.23038397] ; [291.23038397  59.76961603],0
b5,1,0.018277,5.569446,[133 115] ; [222 129],[146.97829716 101.02170284] ; [208.02170284 142.97829716],0
a1,1,0.018938,5.50723,[  5 243] ; [ 21 330],[ 10.76460768 237.23539232] ; [ 15.23539232 335.76460768],0
p1,1,0.03275,4.558784,[ 14 234] ; [ 37 312],[ 21.18592965 226.81407035] ; [ 29.81407035 319.18592965],0
n1,1,0.033672,4.511278,[18 45] ; [27 30],[23.625 39.375] ; [21.375 35.625],0
n4,1,0.033923,4.498577,[188  60] ; [290  60],[198.23411371  49.76588629] ; [279.76588629  70.23411371],0
p5,1,0.036006,4.396814,[ 24 224] ; [ 54 293],[ 32.51092437 215.48907563] ; [ 45.48907563 301.51092437],0
p7,1,0.040062,4.215253,[157  88] ; [245  95],[168.35897436  76.64102564] ; [233.64102564 106.35897436],0
p10,1,0.040723,4.187498,[220  28] ; [328  23],[226.88480801  21.11519199] ; [321.11519199  29.88480801],0
a8,1,0.041118,4.171153,[ 26 201] ; [ 56 258],[ 34.40665434 192.59334566] ; [ 47.59334566 266.40665434],0
s5,1,0.043685,4.068708,[ 79 159] ; [141 199],[ 90.58823529 147.41176471] ; [129.41176471 210.58823529],0
a3,1,0.053157,3.738971,[179  69] ; [275  73],[188.91275168  59.08724832] ; [265.08724832  82.91275168],0
u4,1,0.054162,3.707712,[  2 246] ; [ 11 340],[  5.38230384 242.61769616] ; [  7.61769616 343.38230384],0
s4,1,0.057104,3.61955,[ 51 195] ; [ 51 295],[ 42.38513514 203.61486486] ; [ 59.61486486 286.38513514],0
p12,1,0.074256,3.186339,[ 18 229] ; [ 41 309],[ 24.41038526 222.58961474] ; [ 34.58961474 315.41038526],0
n6,1,0.083575,2.993966,[208  39] ; [309  38],[214.98148148  32.01851852] ; [302.01851852  44.98148148],0
a5,1,0.092276,2.83422,[188  60] ; [286  65],[196.24707846  51.75292154] ; [277.75292154  73.24707846],0
n2,1,0.092482,2.830638,[43 21] ; [46 11],[47.07438017 16.92561983] ; [41.92561983 15.07438017],0
p2,1,0.103963,2.64367,[209  39] ; [310  39],[215.59798995  32.40201005] ; [303.40201005  45.59798995],0
u1,1,0.105675,2.617742,[ 45 203] ; [ 83 268],[ 52.99499165 195.00500835] ; [ 75.00500835 275.99499165],0
s1,1,0.139267,2.186045,[ 11 234] ; [  8 338],[  7.87648054 237.12351946] ; [ 11.12351946 334.87648054],0
d5,1,0.151993,2.052135,[200  47] ; [298  51],[206.38590604  40.61409396] ; [291.61409396  57.38590604],0
a4,1,0.176797,1.824344,[114 134] ; [180 169],[122.13065327 125.86934673] ; [171.86934673 177.13065327],0
u3,1,0.196471,1.668418,[37 30] ; [50 26],[40.76223776 26.23776224] ; [46.23776224 29.76223776],0
a2,1,0.199279,1.647653,[ 61 187] ; [103 248],[ 67.89983306 180.10016694] ; [ 96.10016694 254.89983306],0
r3,1,0.205843,1.600428,[235  10] ; [343   8],[237.60067114   7.39932886] ; [340.39932886  10.60067114],0
d1,1,0.216768,1.525639,[151  97] ; [231 120],[158.15692821  89.84307179] ; [223.84307179 127.15692821],0
s2,1,0.220174,1.503238,[125 121] ; [194 153],[132.33389545 113.66610455] ; [186.66610455 160.33389545],0
r2,1,0.221963,1.491635,[237   9] ; [341   7],[239.37373737   6.62626263] ; [338.62626263   9.37373737],0
s6,1,0.238412,1.38996,[168  74] ; [257  91],[174.3220339  67.6779661] ; [250.6779661  97.3220339],0
s7,1,0.254422,1.298855,[122 114] ; [191 147],[128.68989547 107.31010453] ; [184.31010453 153.68989547],0
r4,1,0.298428,1.081206,[237  11] ; [341  10],[239.30550918   8.69449082] ; [338.69449082  12.30550918],0
s3,1,0.311113,1.025945,[150  96] ; [196 149],[144.02030457 101.97969543] ; [201.97969543 143.02030457],0
v4,1,0.336682,0.923025,[238   8] ; [343   7],[239.80872483   6.19127517] ; [341.19127517   8.80872483],0
