Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,2e-06,22.516712,[34 31] ; [227  55],[48.89048991 16.10951009] ; [212.10951009  69.89048991],1
p6,1,5e-06,20.996945,[18 44] ; [172 110],[34.24418605 27.75581395] ; [155.75581395 126.24418605],1
p2,1,1.6e-05,18.580865,[52 15] ; [265  16],[61.0316092  5.9683908] ; [255.9683908  25.0316092],1
p10,1,7.1e-05,15.781263,[48 17] ; [258  24],[57.31988473  7.68011527] ; [248.68011527  33.31988473],1
d3,1,8.1e-05,15.533195,[34 33] ; [212  70],[47.22636103 19.77363897] ; [198.77363897  83.22636103],1
p9,1,0.000672,11.566266,[51 14] ; [261  21],[58.44380403  6.55619597] ; [253.55619597  28.44380403],1
p5,1,0.001546,10.023485,[ 4 63] ; [ 65 216],[13.28448276 53.71551724] ; [ 55.71551724 225.28448276],0
s2,1,0.004448,8.091208,[25 42] ; [158 121],[35.43641618 31.56358382] ; [147.56358382 131.43641618],0
n5,1,0.005086,7.848777,[44 22] ; [231  50],[52.3054755 13.6945245] ; [222.6945245  58.3054755],0
d1,1,0.005693,7.645141,[32 35] ; [186  96],[41.85100287 25.14899713] ; [176.14899713 105.85100287],0
s7,1,0.00633,7.453994,[29 36] ; [168  98],[38.6858006 26.3141994] ; [158.3141994 107.6858006],0
p11,1,0.007267,7.205878,[49 18] ; [244  38],[56.24928367 10.75071633] ; [236.75071633  45.24928367],0
a7,1,0.018629,5.535991,[41 26] ; [212  69],[48.70977011 18.29022989] ; [204.29022989  76.70977011],0
n6,1,0.028328,4.808022,[53 13] ; [252  28],[58.17919075  7.82080925] ; [246.82080925  33.17919075],0
a5,1,0.045479,4.000796,[47 20] ; [229  53],[52.98567335 14.01432665] ; [223.01432665  58.98567335],0
a6,1,0.052776,3.751007,[40 26] ; [205  77],[46.46551724 19.53448276] ; [198.53448276  83.46551724],0
s6,1,0.052842,3.748923,[40 25] ; [201  72],[46.34615385 18.65384615] ; [194.65384615  78.34615385],0
s5,1,0.057306,3.613681,[20 44] ; [120 151],[26.74626866 37.25373134] ; [113.25373134 157.74626866],0
p12,1,0.069609,3.292224,[ 3 62] ; [ 35 247],[ 7.11815562 57.88184438] ; [ 30.88184438 251.11815562],0
r1,1,0.075016,3.169698,[49 17] ; [235  46],[54.01729107 11.98270893] ; [229.98270893  51.01729107],0
d5,1,0.07786,3.109024,[51 16] ; [239  42],[55.83333333 11.16666667] ; [234.16666667  46.83333333],0
s3,1,0.079425,3.076619,[33 34] ; [169 108],[39.34302326 27.65697674] ; [162.65697674 114.34302326],0
u2,1,0.081319,3.038332,[ 7 11] ; [42 26],[10.25581395  7.74418605] ; [38.74418605 29.25581395],0
d2,1,0.083558,2.994309,[28 39] ; [151 131],[34.36389685 32.63610315] ; [144.63610315 137.36389685],0
p1,1,0.112815,2.514336,[ 4 63] ; [ 36 244],[ 7.72334294 59.27665706] ; [ 32.27665706 247.72334294],0
a4,1,0.116348,2.4658,[26 41] ; [139 142],[31.76724138 35.23275862] ; [133.23275862 147.76724138],0
a2,1,0.118197,2.44105,[14 53] ; [ 86 196],[19.19770774 47.80229226] ; [ 80.80229226 201.19770774],0
b1,1,0.123217,2.375948,[35 32] ; [118 164],[29.37249284 37.62750716] ; [123.62750716 158.37249284],0
r2,1,0.132577,2.262069,[65  1] ; [262  17],[62.55652174  3.44347826] ; [264.44347826  14.55652174],0
b4,1,0.136807,2.213507,[32 35] ; [163 119],[37.43553009 29.56446991] ; [157.56446991 124.43553009],0
d4,1,0.139154,2.187291,[52 15] ; [239  42],[56.02586207 10.97413793] ; [234.97413793  46.02586207],0
u1,1,0.142964,2.145768,[11 56] ; [ 70 212],[15.55014327 51.44985673] ; [ 65.44985673 216.55014327],0
n4,1,0.150189,2.070327,[50 16] ; [235  47],[54.05172414 11.94827586] ; [230.94827586  51.05172414],0
s4,1,0.167541,1.904812,[ 9 58] ; [ 58 220],[13.0115942 53.9884058] ; [ 53.9884058 224.0115942],0
b5,1,0.187891,1.734076,[43 24] ; [156 126],[38.2034384 28.7965616] ; [160.7965616 121.2034384],0
n2,1,0.305749,1.048951,[9 1] ; [30 10],[7.8 2.2] ; [31.2  8.8],0
v2,1,0.342864,0.899693,[45 21] ; [169 104],[41.66371681 24.33628319] ; [172.33628319 100.66371681],0
r3,1,0.373455,0.792138,[63  4] ; [269  10],[64.28901734  2.71098266] ; [267.71098266  11.28901734],0
n3,1,0.376759,0.78125,[9 1] ; [31  9],[8. 2.] ; [32.  8.],0
s8,1,0.389207,0.741417,[31 35] ; [148 132],[34.14450867 31.85549133] ; [144.85549133 135.14450867],0
u3,1,0.402326,0.701363,[10  9] ; [43 25],[11.57471264  7.42528736] ; [41.42528736 26.57471264],0
v1,1,0.47705,0.5056,[38 28] ; [172 104],[40.52631579 25.47368421] ; [169.47368421 106.52631579],0
r4,1,0.526906,0.400354,[61  6] ; [263  19],[62.20057307  4.79942693] ; [261.79942693  20.20057307],0
a3,1,0.559922,0.339839,[48 18] ; [214  67],[49.83285303 16.16714697] ; [212.16714697  68.83285303],0
b2,1,0.605364,0.266981,[20 25] ; [ 74 110],[18.47161572 26.52838428] ; [ 75.52838428 108.47161572],0
b3,1,0.605364,0.266981,[20 25] ; [ 74 110],[18.47161572 26.52838428] ; [ 75.52838428 108.47161572],0
v3,1,0.69977,0.148712,[31 36] ; [133 139],[32.41297935 34.58702065] ; [131.58702065 140.41297935],0
a8,1,0.719193,0.129267,[10 51] ; [ 37 217],[ 9.1015873 51.8984127] ; [ 37.8984127 216.1015873],0
a1,1,0.744242,0.106434,[ 4 63] ; [ 20 262],[ 4.60744986 62.39255014] ; [ 19.39255014 262.60744986],0
s1,1,0.81894,0.052399,[ 2 65] ; [  7 274],[ 1.73275862 65.26724138] ; [  7.26724138 273.73275862],0
n1,1,0.884175,0.021222,[4 6] ; [15 25],[3.8 6.2] ; [15.2 24.8],0
v4,1,0.944687,0.004814,[64  3] ; [268  12],[64.1037464  2.8962536] ; [267.8962536  12.1037464],0
