Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,7e-06,20.261759,[41  4] ; [49 45],[29.13669065 15.86330935] ; [60.86330935 33.13669065],1
p5,1,0.000311,13.000268,[10 35] ; [ 3 91],[ 4.20863309 40.79136691] ; [ 8.79136691 85.20863309],1
p4,1,0.00037,12.680272,[35 10] ; [43 51],[25.25179856 19.74820144] ; [52.74820144 41.25179856],1
b2,1,0.000688,11.521832,[13 15] ; [ 7 48],[ 6.74698795 21.25301205] ; [13.25301205 41.74698795],1
b3,1,0.000688,11.521832,[13 15] ; [ 7 48],[ 6.74698795 21.25301205] ; [13.25301205 41.74698795],1
p1,1,0.005226,7.799636,[11 34] ; [ 7 87],[ 5.82733813 39.17266187] ; [12.17266187 81.82733813],0
p3,1,0.025508,4.989054,[26 19] ; [35 58],[19.89130435 25.10869565] ; [41.10869565 51.89130435],0
a4,1,0.037871,4.310808,[15 29] ; [17 77],[10.20289855 33.79710145] ; [21.79710145 72.20289855],0
s5,1,0.06027,3.529949,[14 29] ; [17 77],[ 9.72992701 33.27007299] ; [21.27007299 72.72992701],0
p12,1,0.066465,3.368244,[ 4 41] ; [ 2 92],[ 1.94244604 43.05755396] ; [ 4.05755396 89.94244604],0
p8,1,0.069233,3.301107,[27 18] ; [40 52],[22.00729927 22.99270073] ; [44.99270073 47.00729927],0
b1,1,0.070758,3.265354,[22 23] ; [31 63],[17.15827338 27.84172662] ; [35.84172662 58.15827338],0
v2,1,0.085222,2.962382,[24 21] ; [34 56],[19.33333333 25.66666667] ; [38.66666667 51.33333333],0
s7,1,0.088435,2.902625,[22 19] ; [34 56],[17.52671756 23.47328244] ; [38.47328244 51.52671756],0
s4,1,0.124349,2.361668,[ 5 39] ; [21 73],[ 8.28985507 35.71014493] ; [17.71014493 76.28985507],0
u2,1,0.129155,2.302632,[12  8] ; [20 30],[ 9.14285714 10.85714286] ; [22.85714286 27.14285714],0
s6,1,0.148249,2.090179,[20 23] ; [55 37],[23.88888889 19.11111111] ; [51.11111111 40.88888889],0
d1,1,0.15066,2.065554,[ 4 41] ; [ 3 91],[ 2.26618705 42.73381295] ; [ 4.73381295 89.26618705],0
u1,1,0.178747,1.808015,[ 3 42] ; [ 2 92],[ 1.61870504 43.38129496] ; [ 3.38129496 90.61870504],0
s3,1,0.182477,1.777336,[19 26] ; [50 42],[22.66423358 22.33576642] ; [46.33576642 45.66423358],0
a8,1,0.183977,1.7652,[ 7 36] ; [ 7 76],[ 4.77777778 38.22222222] ; [ 9.22222222 73.77777778],0
v3,1,0.185552,1.75259,[16 29] ; [23 70],[12.7173913 32.2826087] ; [26.2826087 66.7173913],0
v4,1,0.230306,1.438972,[40  5] ; [87  5],[41.71532847  3.28467153] ; [85.28467153  6.71532847],0
n5,1,0.248752,1.330301,[35  9] ; [66 28],[32.20289855 11.79710145] ; [68.79710145 25.20289855],0
n1,1,0.269538,1.219095,[7 8] ; [ 8 19],[5.35714286 9.64285714] ; [ 9.64285714 17.35714286],0
d5,1,0.27309,1.201161,[19 25] ; [50 44],[22. 22.] ; [47. 47.],0
n2,1,0.280087,1.166667,[10  5] ; [22  5],[11.42857143  3.57142857] ; [20.57142857  6.42857143],0
d2,1,0.32368,0.974017,[13 32] ; [20 74],[10.68345324 34.31654676] ; [22.31654676 71.68345324],0
b4,1,0.329003,0.952819,[26 19] ; [46 48],[23.30935252 21.69064748] ; [48.69064748 45.30935252],0
a3,1,0.334502,0.931388,[25 20] ; [44 50],[22.3381295 22.6618705] ; [46.6618705 47.3381295],0
r4,1,0.381748,0.765064,[34 11] ; [77 17],[35.9352518  9.0647482] ; [75.0647482 18.9352518],0
a5,1,0.390224,0.738243,[26 19] ; [47 47],[23.63309353 21.36690647] ; [49.36690647 44.63309353],0
a6,1,0.441028,0.593606,[28 17] ; [52 42],[25.89928058 19.10071942] ; [54.10071942 39.89928058],0
s2,1,0.442969,0.588581,[18 27] ; [31 62],[15.97826087 29.02173913] ; [33.02173913 59.97826087],0
d3,1,0.468004,0.526684,[15 28] ; [27 67],[13.18248175 29.81751825] ; [28.81751825 65.18248175],0
n4,1,0.488553,0.479712,[34 11] ; [65 28],[32.2826087 12.7173913] ; [66.7173913 26.2826087],0
u3,1,0.589154,0.291667,[ 7 13] ; [21 29],[ 8. 12.] ; [20. 30.],0
p10,1,0.602643,0.271028,[34 10] ; [68 25],[32.75912409 11.24087591] ; [69.24087591 23.75912409],0
a2,1,0.622232,0.242743,[ 5 40] ; [ 8 86],[ 4.20863309 40.79136691] ; [ 8.79136691 85.20863309],0
a7,1,0.735769,0.11388,[28 16] ; [57 37],[27.10144928 16.89855072] ; [57.89855072 36.10144928],0
r1,1,0.770106,0.085402,[30 15] ; [59 33],[29.23357664 15.76642336] ; [59.76642336 32.23357664],0
b5,1,0.840296,0.040608,[26 19] ; [56 38],[26.54676259 18.45323741] ; [55.45323741 38.54676259],0
v1,1,0.860494,0.030887,[20 25] ; [39 52],[19.52205882 25.47794118] ; [39.47794118 51.52205882],0
r2,1,0.901867,0.015204,[40  5] ; [82 11],[39.7826087  5.2173913] ; [82.2173913 10.7826087],0
r3,1,0.901867,0.015204,[40  5] ; [82 11],[39.7826087  5.2173913] ; [82.2173913 10.7826087],0
n6,1,0.905535,0.014083,[36  9] ; [76 18],[36.25899281  8.74100719] ; [75.74100719 18.25899281],0
n3,1,0.906737,0.013725,[12  3] ; [22  5],[12.14285714  2.85714286] ; [21.85714286  5.14285714],0
p9,1,0.962279,0.002237,[35 10] ; [72 21],[34.89130435 10.10869565] ; [72.10869565 20.89130435],0
s8,1,0.993418,6.8e-05,[16 29] ; [33 60],[15.97826087 29.02173913] ; [33.02173913 59.97826087],0
p11,1,0.997579,9e-06,[34 11] ; [71 23],[33.99280576 11.00719424] ; [71.00719424 22.99280576],0
