Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,31.157609,[20  5] ; [19 73],[ 8.33333333 16.66666667] ; [30.66666667 61.33333333],1
s6,1,0.000106,15.018237,[23  5] ; [38 56],[14. 14.] ; [47. 47.],1
s2,1,0.000161,14.234504,[20  8] ; [30 65],[11.38211382 16.61788618] ; [38.61788618 56.38211382],1
r4,1,0.000323,12.932948,[26  2] ; [53 42],[17.98373984 10.01626016] ; [61.01626016 33.98373984],1
s5,1,0.000534,11.992253,[13 15] ; [14 78],[ 6.3 21.7] ; [20.7 71.3],1
p10,1,0.001994,9.555,[19  8] ; [33 57],[12. 15.] ; [40. 50.],0
u3,1,0.002166,9.403337,[10  2] ; [18 34],[5.25 6.75] ; [22.75 29.25],0
r1,1,0.004785,7.95903,[22  5] ; [48 46],[15.61983471 11.38016529] ; [54.38016529 39.61983471],0
v4,1,0.005467,7.717987,[27  1] ; [67 27],[21.57377049  6.42622951] ; [72.42622951 21.57377049],0
n6,1,0.007121,7.242178,[23  5] ; [50 43],[16.89256198 11.10743802] ; [56.10743802 36.89256198],0
p9,1,0.007466,7.157378,[21  7] ; [41 48],[14.83760684 13.16239316] ; [47.16239316 41.83760684],0
s3,1,0.012704,6.209813,[18 10] ; [35 58],[12.26446281 15.73553719] ; [40.73553719 52.26446281],0
p1,1,0.014812,5.938672,[ 5 23] ; [ 4 91],[ 2.04878049 25.95121951] ; [ 6.95121951 88.04878049],0
p2,1,0.023571,5.125948,[22  6] ; [52 43],[16.84552846 11.15447154] ; [57.15447154 37.84552846],0
v2,1,0.027369,4.867403,[14 13] ; [26 64],[ 9.23076923 17.76923077] ; [30.76923077 59.23076923],0
p4,1,0.028066,4.824009,[16 12] ; [32 62],[11.01639344 16.98360656] ; [36.98360656 57.01639344],0
r3,1,0.039311,4.247398,[25  3] ; [65 28],[20.82644628  7.17355372] ; [69.17355372 23.82644628],0
a8,1,0.065952,3.381,[ 6 19] ; [ 9 81],[ 3.26086957 21.73913043] ; [11.73913043 78.26086957],0
r2,1,0.071115,3.257099,[26  2] ; [73 21],[22.72131148  5.27868852] ; [76.27868852 17.72131148],0
u2,1,0.073875,3.194752,[7 4] ; [18 34],[4.36507937 6.63492063] ; [20.63492063 31.36507937],0
v1,1,0.079149,3.08229,[15 13] ; [33 61],[11.01639344 16.98360656] ; [36.98360656 57.01639344],0
d5,1,0.104426,2.636615,[18 10] ; [44 50],[14.2295082 13.7704918] ; [47.7704918 46.2295082],0
b5,1,0.113219,2.508711,[13 15] ; [60 35],[16.61788618 11.38211382] ; [56.38211382 38.61788618],0
a7,1,0.170926,1.874804,[20  8] ; [53 40],[16.89256198 11.10743802] ; [56.10743802 36.89256198],0
p7,1,0.204426,1.61047,[16 12] ; [40 52],[13.06666667 14.93333333] ; [42.93333333 49.06666667],0
a3,1,0.243228,1.36179,[16 12] ; [41 51],[13.3 14.7] ; [43.7 48.3],0
v3,1,0.24542,1.349189,[11 16] ; [26 64],[ 8.53846154 18.46153846] ; [28.46153846 61.53846154],0
p6,1,0.297775,1.084133,[ 7 21] ; [15 77],[ 5.13333333 22.86666667] ; [16.86666667 75.13333333],0
p5,1,0.318979,0.993129,[ 3 25] ; [ 5 88],[ 1.85123967 26.14876033] ; [ 6.14876033 86.85123967],0
