Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000184,13.991528,[15 23] ; [105  41],[24.7826087 13.2173913] ; [95.2173913 50.7826087],1
n4,1,0.000727,11.419021,[15 23] ; [101  45],[23.95652174 14.04347826] ; [92.04347826 53.95652174],1
r3,1,0.001083,10.679716,[27 11] ; [133  13],[33.04347826  4.95652174] ; [126.95652174  19.04347826],0
b1,1,0.00213,9.433888,[24 14] ; [52 94],[15.69565217 22.30434783] ; [60.30434783 85.69565217],0
u3,1,0.005403,7.739331,[13  4] ; [23 37],[7.94805195 9.05194805] ; [28.05194805 31.94805195],0
p8,1,0.007886,7.059203,[ 9 28] ; [70 74],[16.14917127 20.85082873] ; [62.85082873 81.14917127],0
n5,1,0.02321,5.152697,[19 19] ; [101  44],[24.91803279 13.08196721] ; [95.08196721 49.91803279],0
p10,1,0.023942,5.098863,[21 16] ; [108  35],[26.51666667 10.48333333] ; [102.48333333  40.51666667],0
v3,1,0.026225,4.941102,[ 5 32] ; [46 98],[10.42541436 26.57458564] ; [ 40.57458564 103.42541436],0
p11,1,0.033355,4.527462,[22 16] ; [110  36],[27.26086957 10.73913043] ; [104.73913043  41.26086957],0
p9,1,0.044531,4.036323,[26 12] ; [118  24],[30.4  7.6] ; [113.6  28.4],0
p3,1,0.048818,3.881592,[10 26] ; [67 79],[15.23076923 20.76923077] ; [61.76923077 84.23076923],0
b4,1,0.063471,3.444286,[16 22] ; [86 60],[21.06521739 16.93478261] ; [80.93478261 65.06521739],0
u2,1,0.104502,2.635457,[12  5] ; [29 31],[9.05194805 7.94805195] ; [31.94805195 28.05194805],0
b3,1,0.11923,2.427411,[ 5 18] ; [33 51],[ 8.1682243 14.8317757] ; [29.8317757 54.1682243],0
b2,1,0.11923,2.427411,[ 5 18] ; [33 51],[ 8.1682243 14.8317757] ; [29.8317757 54.1682243],0
r2,1,0.127349,2.324526,[28  9] ; [123  20],[31.03888889  5.96111111] ; [119.96111111  23.03888889],0
s6,1,0.176105,1.830193,[17 21] ; [81 61],[20.68888889 17.31111111] ; [77.31111111 64.68888889],0
n1,1,0.209482,1.575,[7 8] ; [14 34],[ 5. 10.] ; [16. 32.],0
p4,1,0.224568,1.474938,[15 22] ; [75 70],[18.2967033 18.7032967] ; [71.7032967 73.2967033],0
p5,1,0.245132,1.350834,[ 2 36] ; [ 17 128],[ 3.94535519 34.05464481] ; [ 15.05464481 129.94535519],0
d1,1,0.252178,1.311198,[12 26] ; [61 85],[15.07608696 22.92391304] ; [57.92391304 88.07608696],0
a6,1,0.282243,1.156258,[24 14] ; [78 68],[21.06521739 16.93478261] ; [80.93478261 65.06521739],0
a7,1,0.290267,1.118383,[20 18] ; [90 55],[22.84153005 15.15846995] ; [87.15846995 57.84153005],0
p2,1,0.316795,1.002132,[26 11] ; [114  32],[28.30601093  8.69398907] ; [111.69398907  34.30601093],0
n3,1,0.367784,0.811138,[13  4] ; [31 17],[11.50769231  5.49230769] ; [32.49230769 15.50769231],0
a5,1,0.371665,0.798091,[18 20] ; [81 65],[20.44565217 17.55434783] ; [78.55434783 67.44565217],0
s4,1,0.385955,0.751649,[10 28] ; [ 29 117],[ 8.05434783 29.94565217] ; [ 30.94565217 115.05434783],0
d2,1,0.429719,0.623582,[16 22] ; [51 94],[13.91256831 24.08743169] ; [53.08743169 91.91256831],0
d3,1,0.431674,0.618316,[18 19] ; [81 64],[20.12637363 16.87362637] ; [78.87362637 66.12637363],0
n2,1,0.437662,0.602405,[14  3] ; [35 13],[12.81538462  4.18461538] ; [36.18461538 11.81538462],0
a1,1,0.446345,0.579916,[ 4 34] ; [ 10 136],[ 2.89130435 35.10869565] ; [ 11.10869565 134.89130435],0
d5,1,0.47522,0.509814,[25 13] ; [104  41],[26.78688525 11.21311475] ; [102.21311475  42.78688525],0
s7,1,0.504282,0.445914,[12 25] ; [53 85],[13.74285714 23.25714286] ; [51.25714286 86.74285714],0
b5,1,0.510346,0.433357,[22 16] ; [93 53],[23.75 14.25] ; [91.25 54.75],0
s5,1,0.519654,0.414579,[ 8 28] ; [ 38 100],[ 9.51724138 26.48275862] ; [ 36.48275862 101.51724138],0
s3,1,0.540791,0.374075,[19 19] ; [64 80],[17.32967033 20.67032967] ; [65.67032967 78.32967033],0
p12,1,0.573587,0.316718,[ 1 36] ; [  7 138],[ 1.62637363 35.37362637] ; [  6.37362637 138.62637363],0
a4,1,0.643872,0.213714,[11 27] ; [48 98],[12.18478261 25.81521739] ; [46.81521739 99.18478261],0
p6,1,0.654175,0.200677,[11 25] ; [49 93],[12.13483146 23.86516854] ; [47.86516854 94.13483146],0
d4,1,0.671564,0.179778,[26 12] ; [105  41],[27.05434783 10.94565217] ; [103.94565217  42.05434783],0
v2,1,0.682416,0.167419,[14 23] ; [59 83],[15.08938547 21.91061453] ; [57.91061453 84.08938547],0
s8,1,0.701383,0.147037,[11 27] ; [47 99],[11.97826087 26.02173913] ; [46.02173913 99.97826087],0
a3,1,0.709011,0.139266,[21 17] ; [85 60],[22.01092896 15.98907104] ; [83.98907104 61.01092896],0
a2,1,0.747997,0.103222,[ 3 35] ; [ 14 132],[ 3.51086957 34.48913043] ; [ 13.48913043 132.51086957],0
s1,1,0.825663,0.048518,[ 1 36] ; [  5 141],[ 1.21311475 35.78688525] ; [  4.78688525 141.21311475],0
a8,1,0.868125,0.027569,[ 3 34] ; [ 10 127],[ 2.76436782 34.23563218] ; [ 10.23563218 126.76436782],0
p7,1,0.88114,0.022357,[19 17] ; [78 66],[19.4 16.6] ; [77.6 66.4],0
u1,1,0.90503,0.014235,[ 2 36] ; [  7 139],[ 1.85869565 36.14130435] ; [  7.14130435 138.85869565],0
s2,1,0.907673,0.01345,[16 22] ; [63 83],[16.31521739 21.68478261] ; [62.68478261 83.31521739],0
p1,1,0.948089,0.004239,[ 3 35] ; [ 12 134],[ 3.09782609 34.90217391] ; [ 11.90217391 134.09782609],0
v1,1,0.989817,0.000163,[15 21] ; [59 83],[14.96629213 21.03370787] ; [59.03370787 82.96629213],0
