Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.004037,8.267294,[17 18] ; [ 3 21],[11.86440678 23.13559322] ; [ 8.13559322 15.86440678],0
d3,1,0.004957,7.895173,[24 10] ; [ 8 16],[18.75862069 15.24137931] ; [13.24137931 10.75862069],0
n5,1,0.030496,4.681099,[ 8 27] ; [12 12],[11.86440678 23.13559322] ; [ 8.13559322 15.86440678],0
b1,1,0.034104,4.489466,[15 20] ; [17  7],[18.98305085 16.01694915] ; [13.01694915 10.98305085],0
r3,1,0.039937,4.220566,[24 11] ; [10 14],[20.16949153 14.83050847] ; [13.83050847 10.16949153],0
d5,1,0.039937,4.220566,[24 11] ; [10 14],[20.16949153 14.83050847] ; [13.83050847 10.16949153],0
d4,1,0.12322,2.375913,[27  8] ; [14 10],[24.3220339 10.6779661] ; [16.6779661  7.3220339],0
p10,1,0.130713,2.284021,[21 13] ; [10 14],[18.17241379 15.82758621] ; [12.82758621 11.17241379],0
a6,1,0.169049,1.891353,[18 17] ; [ 8 16],[15.42372881 19.57627119] ; [10.57627119 13.42372881],0
v3,1,0.204245,1.611756,[ 7 27] ; [ 2 22],[ 5.27586207 28.72413793] ; [ 3.72413793 20.27586207],0
u3,1,0.21918,1.509733,[ 6 11] ; [7 5],[7.62068966 9.37931034] ; [5.37931034 6.62068966],0
p6,1,0.291299,1.113608,[ 8 26] ; [ 3 21],[ 6.44827586 27.55172414] ; [ 4.55172414 19.44827586],0
u2,1,0.295694,1.093514,[9 8] ; [4 8],[7.62068966 9.37931034] ; [5.37931034 6.62068966],0
s1,1,0.325183,0.967985,[ 4 31] ; [ 1 23],[ 2.96610169 32.03389831] ; [ 2.03389831 21.96610169],0
s6,1,0.326804,0.961523,[13 22] ; [ 6 18],[11.27118644 23.72881356] ; [ 7.72881356 16.27118644],0
r1,1,0.368518,0.808657,[11 24] ; [ 5 19],[ 9.49152542 25.50847458] ; [ 6.50847458 17.49152542],0
r2,1,0.37289,0.794011,[21 13] ; [12 12],[19.34482759 14.65517241] ; [13.65517241 10.34482759],0
p8,1,0.4244,0.638099,[13 20] ; [ 7 17],[11.57894737 21.42105263] ; [ 8.42105263 15.57894737],0
s7,1,0.473058,0.514823,[ 9 25] ; [ 4 18],[ 7.89285714 26.10714286] ; [ 5.10714286 16.89285714],0
n2,1,0.490644,0.475113,[ 7 10] ; [7 6],[7.93333333 9.06666667] ; [6.06666667 6.93333333],0
b2,1,0.500184,0.454545,[ 4 14] ; [4 8],[ 4.8 13.2] ; [3.2 8.8],0
b3,1,0.500184,0.454545,[ 4 14] ; [4 8],[ 4.8 13.2] ; [3.2 8.8],0
v1,1,0.546062,0.36442,[11 24] ; [ 9 14],[12.06896552 22.93103448] ; [ 7.93103448 15.06896552],0
n3,1,0.549563,0.3581,[9 8] ; [5 7],[8.20689655 8.79310345] ; [5.79310345 6.20689655],0
s4,1,0.561715,0.336744,[ 8 27] ; [ 4 20],[ 7.11864407 27.88135593] ; [ 4.88135593 19.11864407],0
v4,1,0.569295,0.323864,[23 10] ; [15  9],[22. 11.] ; [16.  8.],0
b4,1,0.588522,0.292659,[20 15] ; [12 12],[18.98305085 16.01694915] ; [13.01694915 10.98305085],0
p2,1,0.622283,0.242672,[22 12] ; [14 10],[21.10344828 12.89655172] ; [14.89655172  9.10344828],0
v2,1,0.624346,0.239806,[12 22] ; [ 7 17],[11.13793103 22.86206897] ; [ 7.86206897 16.13793103],0
s8,1,0.626087,0.237405,[ 6 29] ; [ 3 21],[ 5.33898305 29.66101695] ; [ 3.66101695 20.33898305],0
p7,1,0.626851,0.236355,[13 20] ; [11 13],[13.89473684 19.10526316] ; [10.10526316 13.89473684],0
p11,1,0.672804,0.17834,[18 17] ; [11 13],[17.20338983 17.79661017] ; [11.79661017 12.20338983],0
s3,1,0.702034,0.146365,[13 21] ; [ 8 16],[12.31034483 21.68965517] ; [ 8.68965517 15.31034483],0
p4,1,0.726347,0.122493,[13 22] ; [10 14],[13.6440678 21.3559322] ; [ 9.3559322 14.6440678],0
p5,1,0.75188,0.099958,[ 2 31] ; [ 1 23],[ 1.73684211 31.26315789] ; [ 1.26315789 22.73684211],0
b5,1,0.758368,0.094633,[19 16] ; [14 10],[19.57627119 15.42372881] ; [13.42372881 10.57627119],0
p1,1,0.771378,0.084433,[ 2 32] ; [ 1 23],[ 1.75862069 32.24137931] ; [ 1.24137931 22.75862069],0
