Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.133614,2.25,[1 5] ; [2 1],[2. 4.] ; [1. 2.],0
r4,1,0.133614,2.25,[1 5] ; [2 1],[2. 4.] ; [1. 2.],0
a3,1,0.133614,2.25,[5 1] ; [1 2],[4. 2.] ; [2. 1.],0
p4,1,0.342782,0.9,[4 2] ; [1 2],[3.33333333 2.66666667] ; [1.66666667 1.33333333],0
p3,1,0.342782,0.9,[4 2] ; [1 2],[3.33333333 2.66666667] ; [1.66666667 1.33333333],0
s5,1,0.342782,0.9,[2 4] ; [2 1],[2.66666667 3.33333333] ; [1.33333333 1.66666667],0
p7,1,0.465209,0.533333,[2 3] ; [2 1],[2.5 2.5] ; [1.5 1.5],0
b4,1,0.57075,0.321429,[5 1] ; [2 1],[4.66666667 1.33333333] ; [2.33333333 0.66666667],0
s1,1,0.57075,0.321429,[1 5] ; [1 2],[1.33333333 4.66666667] ; [0.66666667 2.33333333],0
s2,1,0.57075,0.321429,[1 5] ; [1 2],[1.33333333 4.66666667] ; [0.66666667 2.33333333],0
n4,1,0.57075,0.321429,[5 1] ; [2 1],[4.66666667 1.33333333] ; [2.33333333 0.66666667],0
r1,1,0.57075,0.321429,[5 1] ; [2 1],[4.66666667 1.33333333] ; [2.33333333 0.66666667],0
a7,1,0.57075,0.321429,[5 1] ; [2 1],[4.66666667 1.33333333] ; [2.33333333 0.66666667],0
p10,1,0.57075,0.321429,[5 1] ; [2 1],[4.66666667 1.33333333] ; [2.33333333 0.66666667],0
p2,1,0.635256,0.225,[3 3] ; [2 1],[3.33333333 2.66666667] ; [1.66666667 1.33333333],0
v1,1,0.635256,0.225,[3 3] ; [2 1],[3.33333333 2.66666667] ; [1.66666667 1.33333333],0
n6,1,0.67329,0.177778,[4 1] ; [2 1],[3.75 1.25] ; [2.25 0.75],0
s7,1,0.67329,0.177778,[4 2] ; [1 1],[3.75 2.25] ; [1.25 0.75],0
s6,1,1.0,0.0,[3 3] ; [1 1],[3. 3.] ; [1. 1.],0
p1,1,1.0,0.0,[2 4] ; [1 2],[2. 4.] ; [1. 2.],0
v3,1,1.0,0.0,[2 4] ; [1 2],[2. 4.] ; [1. 2.],0
v2,1,1.0,0.0,[2 4] ; [1 2],[2. 4.] ; [1. 2.],0
