Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,37.803207,[93 11] ; [121 100],[68.48 35.52] ; [145.52  75.48],1
s2,1,0.0,31.444785,[74 33] ; [ 80 141],[50.23780488 56.76219512] ; [103.76219512 117.23780488],1
s3,1,9e-06,19.64014,[74 32] ; [ 96 124],[55.27607362 50.72392638] ; [114.72392638 105.27607362],1
p6,1,0.000137,14.537584,[52 55] ; [ 60 160],[36.64831804 70.35168196] ; [ 75.35168196 144.64831804],1
p5,1,0.000404,12.5122,[22 84] ; [ 16 203],[12.39384615 93.60615385] ; [ 25.60615385 193.39384615],1
s4,1,0.000788,11.268547,[32 73] ; [ 32 187],[20.74074074 84.25925926] ; [ 43.25925926 175.74074074],1
s7,1,0.001069,10.704284,[60 41] ; [ 85 129],[46.49206349 54.50793651] ; [ 98.50793651 115.49206349],0
r4,1,0.003101,8.747234,[101   6] ; [183  39],[92.36474164 14.63525836] ; [191.63525836  30.36474164],0
p10,1,0.003287,8.640955,[90 14] ; [157  62],[79.52941176 24.47058824] ; [167.47058824  51.52941176],0
s8,1,0.00479,7.956948,[52 54] ; [ 73 149],[40.39634146 65.60365854] ; [ 84.60365854 137.39634146],0
a4,1,0.006466,7.415653,[55 52] ; [ 78 141],[43.65337423 63.34662577] ; [ 89.34662577 129.65337423],0
p9,1,0.007579,7.130446,[92 12] ; [165  53],[83.00621118 20.99378882] ; [173.99378882  44.00621118],0
r1,1,0.007875,7.061607,[86 20] ; [148  73],[75.85321101 30.14678899] ; [158.14678899  62.85321101],0
d4,1,0.011992,6.311986,[89 17] ; [158  64],[79.82317073 26.17682927] ; [167.17682927  54.82317073],0
p12,1,0.014491,5.977329,[11 95] ; [  8 213],[ 6.15902141 99.84097859] ; [ 12.84097859 208.15902141],0
p4,1,0.018443,5.55361,[70 36] ; [116 106],[60.1097561 45.8902439] ; [125.8902439  96.1097561],0
v1,1,0.02245,5.210563,[48 58] ; [ 70 147],[38.7244582 67.2755418] ; [ 79.2755418 137.7244582],0
d2,1,0.039165,4.253694,[55 52] ; [ 87 134],[46.32317073 60.67682927] ; [ 95.67682927 125.32317073],0
p7,1,0.04091,4.179729,[69 35] ; [119 100],[60.53250774 43.46749226] ; [127.46749226  91.53250774],0
p1,1,0.041336,4.162171,[15 90] ; [ 16 206],[ 9.95412844 95.04587156] ; [ 21.04587156 200.95412844],0
b5,1,0.043728,4.067048,[55 52] ; [140  82],[63.41945289 43.58054711] ; [131.58054711  90.41945289],0
a2,1,0.048059,3.907909,[26 81] ; [ 34 188],[19.51367781 87.48632219] ; [ 40.48632219 181.51367781],0
n2,1,0.048497,3.892674,[23  4] ; [42 23],[19.07608696  7.92391304] ; [45.92391304 19.07608696],0
a5,1,0.074167,3.188294,[79 28] ; [142  80],[71.87537994 35.12462006] ; [149.12462006  72.87537994],0
s1,1,0.074599,3.178822,[ 8 97] ; [  7 213],[  4.84615385 100.15384615] ; [ 10.15384615 209.84615385],0
r2,1,0.077759,3.11112,[102   5] ; [196  23],[97.80981595  9.19018405] ; [200.19018405  18.80981595],0
d1,1,0.083069,3.003809,[62 45] ; [106 116],[54.63829787 52.36170213] ; [113.36170213 108.63829787],0
b4,1,0.091486,2.848033,[66 41] ; [115 107],[58.8662614 48.1337386] ; [122.1337386  99.8662614],0
a1,1,0.11276,2.515104,[  6 101] ; [  5 217],[  3.5775076 103.4224924] ; [  7.4224924 214.5775076],0
p2,1,0.124408,2.360931,[91 15] ; [174  47],[85.90214067 20.09785933] ; [179.09785933  41.90214067],0
p3,1,0.162659,1.949334,[53 54] ; [ 91 129],[47.11926606 59.88073394] ; [ 96.88073394 123.11926606],0
a3,1,0.177429,1.819025,[75 31] ; [139  81],[69.58282209 36.41717791] ; [144.41717791  75.58282209],0
u1,1,0.211597,1.560467,[19 88] ; [ 28 194],[15.28571429 91.71428571] ; [ 31.71428571 190.28571429],0
d3,1,0.212481,1.554441,[72 35] ; [133  88],[66.875 40.125] ; [138.125  82.875],0
v4,1,0.224204,1.47726,[102   4] ; [206  16],[99.53658537  6.46341463] ; [208.46341463  13.53658537],0
n3,1,0.236691,1.400196,[20  6] ; [41 23],[17.62222222  8.37777778] ; [43.37777778 20.62222222],0
d5,1,0.319241,0.992053,[84 22] ; [164  57],[80.39143731 25.60856269] ; [167.60856269  53.39143731],0
n4,1,0.329674,0.95018,[84 22] ; [165  57],[80.4695122 25.5304878] ; [168.5304878  53.4695122],0
b3,1,0.348679,0.878258,[27 36] ; [47 84],[24.03092784 38.96907216] ; [49.96907216 81.03092784],0
b2,1,0.348679,0.878258,[27 36] ; [47 84],[24.03092784 38.96907216] ; [49.96907216 81.03092784],0
u2,1,0.404428,0.695122,[14 18] ; [43 39],[16. 16.] ; [41. 41.],0
p11,1,0.407666,0.685596,[84 23] ; [165  57],[80.98176292 26.01823708] ; [168.01823708  53.98176292],0
p8,1,0.410044,0.678673,[56 50] ; [106 115],[52.51376147 53.48623853] ; [109.48623853 111.51376147],0
n1,1,0.415938,0.661765,[13 13] ; [26 38],[11.26666667 14.73333333] ; [27.73333333 36.26666667],0
a8,1,0.465269,0.533189,[14 85] ; [ 23 182],[12.04934211 86.95065789] ; [ 24.95065789 180.04934211],0
u4,1,0.54695,0.362809,[  1 106] ; [  4 218],[  1.62613982 105.37386018] ; [  3.37386018 218.62613982],0
u3,1,0.589147,0.291678,[18 14] ; [41 40],[16.7079646 15.2920354] ; [42.2920354 38.7079646],0
a7,1,0.596338,0.280554,[68 39] ; [147  74],[70.13719512 36.86280488] ; [144.86280488  76.13719512],0
a6,1,0.619189,0.247009,[62 45] ; [135  87],[64.06990881 42.93009119] ; [132.93009119  89.06990881],0
r3,1,0.649455,0.206588,[98  8] ; [201  20],[96.9235474  9.0764526] ; [202.0764526  18.9235474],0
v3,1,0.679073,0.171172,[22 83] ; [ 42 179],[20.61349693 84.38650307] ; [ 43.38650307 177.61349693],0
n5,1,0.88961,0.019265,[84 23] ; [172  49],[83.51219512 23.48780488] ; [172.48780488  48.51219512],0
b1,1,0.982014,0.000508,[44 63] ; [ 91 131],[43.90577508 63.09422492] ; [ 91.09422492 130.90577508],0
