Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.000756,11.346203,[71  9] ; [12  9],[65.74257426 14.25742574] ; [17.25742574  3.74257426],1
p10,1,0.003803,8.37552,[71 10] ; [12  8],[66.56435644 14.43564356] ; [16.43564356  3.56435644],0
p8,1,0.014154,6.018852,[48 34] ; [ 6 15],[42.99029126 39.00970874] ; [11.00970874  9.99029126],0
d2,1,0.021157,5.313797,[35 46] ; [15  6],[39.70588235 41.29411765] ; [10.29411765 10.70588235],0
n6,1,0.024778,5.039368,[74  8] ; [15  6],[70.85436893 11.14563107] ; [18.14563107  2.85436893],0
p7,1,0.028393,4.804065,[55 25] ; [ 9 12],[50.69306931 29.30693069] ; [13.30693069  7.69306931],0
u3,1,0.031812,4.608603,[20 14] ; [1 6],[17.41463415 16.58536585] ; [3.58536585 3.41463415],0
a4,1,0.034796,4.455154,[34 49] ; [14  7],[38.30769231 44.69230769] ; [ 9.69230769 11.30769231],0
s4,1,0.036886,4.355653,[11 69] ; [ 7 14],[14.25742574 65.74257426] ; [ 3.74257426 17.25742574],0
r4,1,0.048811,3.88183,[76  7] ; [16  5],[73.42307692  9.57692308] ; [18.57692308  2.42307692],0
p6,1,0.054173,3.707368,[29 51] ; [ 3 18],[25.34653465 54.65346535] ; [ 6.65346535 14.34653465],0
p4,1,0.058309,3.584845,[48 34] ; [ 7 13],[44.21568627 37.78431373] ; [10.78431373  9.21568627],0
v4,1,0.066272,3.373016,[78  3] ; [18  3],[76.23529412  4.76470588] ; [19.76470588  1.23529412],0
a5,1,0.066747,3.361255,[59 24] ; [19  2],[62.25 20.75] ; [15.75  5.25],0
p2,1,0.075443,3.160434,[68 13] ; [14  7],[65.11764706 15.88235294] ; [16.88235294  4.11764706],0
a6,1,0.09148,2.848135,[56 27] ; [10 11],[52.67307692 30.32692308] ; [13.32692308  7.67307692],0
r1,1,0.098897,2.723247,[68 14] ; [14  7],[65.2815534 16.7184466] ; [16.7184466  4.2815534],0
b5,1,0.107064,2.597037,[39 44] ; [14  7],[42.29807692 40.70192308] ; [10.70192308 10.29807692],0
b3,1,0.116812,2.459548,[21 27] ; [2 9],[18.71186441 29.28813559] ; [4.28813559 6.71186441],0
b2,1,0.116812,2.459548,[21 27] ; [2 9],[18.71186441 29.28813559] ; [4.28813559 6.71186441],0
p3,1,0.118039,2.443149,[43 39] ; [ 7 14],[39.80582524 42.19417476] ; [10.19417476 10.80582524],0
u2,1,0.162486,1.950938,[14 19] ; [1 6],[12.375 20.625] ; [2.625 4.375],0
v2,1,0.201601,1.630735,[43 37] ; [ 8 13],[40.3960396 39.6039604] ; [10.6039604 10.3960396],0
s2,1,0.204776,1.607983,[40 42] ; [ 7 14],[37.41747573 44.58252427] ; [ 9.58252427 11.41747573],0
n5,1,0.233761,1.417829,[58 24] ; [12  9],[55.72815534 26.27184466] ; [14.27184466  6.72815534],0
b4,1,0.237852,1.393282,[55 28] ; [11 10],[52.67307692 30.32692308] ; [13.32692308  7.67307692],0
p1,1,0.263693,1.249265,[11 70] ; [ 1 20],[ 9.52941176 71.47058824] ; [ 2.47058824 18.52941176],0
s6,1,0.27133,1.210011,[55 25] ; [17  4],[57.02970297 22.97029703] ; [14.97029703  6.02970297],0
r3,1,0.312967,1.018114,[76  6] ; [18  3],[74.83495146  7.16504854] ; [19.16504854  1.83495146],0
n4,1,0.31775,0.998185,[57 26] ; [12  9],[55.06730769 27.93269231] ; [13.93269231  7.06730769],0
n1,1,0.348723,0.878099,[3 8] ; [3 3],[3.88235294 7.11764706] ; [2.11764706 3.88235294],0
a3,1,0.366473,0.815589,[49 34] ; [14  6],[50.76699029 32.23300971] ; [12.23300971  7.76699029],0
v1,1,0.39382,0.727115,[49 32] ; [10 10],[47.31683168 33.68316832] ; [11.68316832  8.31683168],0
a2,1,0.462051,0.540921,[14 69] ; [ 5 16],[15.16346154 67.83653846] ; [ 3.83653846 17.16346154],0
d4,1,0.469601,0.522914,[74  8] ; [20  1],[74.83495146  7.16504854] ; [19.16504854  1.83495146],0
a8,1,0.473409,0.514008,[ 7 71] ; [ 3 18],[ 7.87878788 70.12121212] ; [ 2.12121212 18.87878788],0
n3,1,0.494125,0.467532,[8 3] ; [4 3],[7.33333333 3.66666667] ; [4.66666667 2.33333333],0
u1,1,0.499533,0.455929,[11 72] ; [ 4 17],[11.97115385 71.02884615] ; [ 3.02884615 17.97115385],0
n2,1,0.518217,0.41744,[8 3] ; [6 1],[8.55555556 2.44444444] ; [5.44444444 1.55555556],0
s3,1,0.559966,0.339762,[40 40] ; [ 9 12],[38.81188119 41.18811881] ; [10.18811881 10.81188119],0
s8,1,0.586337,0.296101,[19 64] ; [ 6 15],[19.95192308 63.04807692] ; [ 5.04807692 15.95192308],0
d5,1,0.596936,0.279642,[67 16] ; [18  3],[67.83653846 15.16346154] ; [17.16346154  3.83653846],0
b1,1,0.6297,0.232468,[27 56] ; [ 8 13],[27.93269231 55.06730769] ; [ 7.06730769 13.93269231],0
a1,1,0.686882,0.162481,[ 6 77] ; [ 1 20],[ 5.58653846 77.41346154] ; [ 1.41346154 19.58653846],0
a7,1,0.704749,0.143578,[51 31] ; [14  7],[51.74757282 30.25242718] ; [13.25242718  7.74757282],0
d1,1,0.718497,0.129937,[51 32] ; [12  9],[50.27884615 32.72115385] ; [12.72115385  8.27884615],0
p5,1,0.742506,0.107937,[14 67] ; [ 3 18],[13.5 67.5] ; [ 3.5 17.5],0
d3,1,0.810024,0.05779,[53 30] ; [14  7],[53.47115385 29.52884615] ; [13.52884615  7.47115385],0
v3,1,0.812767,0.056102,[25 55] ; [ 6 15],[24.55445545 55.44554455] ; [ 6.44554455 14.55445545],0
