Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,4.7e-05,16.576531,[6 2] ; [ 2 26],[1.77777778 6.22222222] ; [ 6.22222222 21.77777778],1
b2,1,4.7e-05,16.576531,[6 2] ; [ 2 26],[1.77777778 6.22222222] ; [ 6.22222222 21.77777778],1
a2,1,0.006734,7.342657,[3 9] ; [ 1 43],[ 0.85714286 11.14285714] ; [ 3.14285714 40.85714286],0
a3,1,0.011328,6.413114,[11  1] ; [22 21],[7.2 4.8] ; [25.8 17.2],0
n6,1,0.02139,5.294705,[9 2] ; [18 24],[5.60377358 5.39622642] ; [21.39622642 20.60377358],0
d4,1,0.025535,4.987205,[11  1] ; [25 19],[7.71428571 4.28571429] ; [28.28571429 15.71428571],0
d2,1,0.028408,4.803119,[7 5] ; [11 33],[3.85714286 8.14285714] ; [14.14285714 29.85714286],0
n5,1,0.031484,4.626365,[10  1] ; [24 19],[6.92592593 4.07407407] ; [27.07407407 15.92592593],0
p12,1,0.037691,4.31891,[2 9] ; [ 1 43],[ 0.6 10.4] ; [ 2.4 41.6],0
n4,1,0.038614,4.277778,[10  2] ; [22 22],[6.85714286 5.14285714] ; [25.14285714 18.85714286],0
s2,1,0.058681,3.574271,[8 3] ; [18 26],[5.2 5.8] ; [20.8 23.2],0
a5,1,0.069431,3.296412,[9 3] ; [20 24],[6.21428571 5.78571429] ; [22.78571429 21.21428571],0
s7,1,0.106852,2.600175,[7 4] ; [15 26],[4.65384615 6.34615385] ; [17.34615385 23.65384615],0
v2,1,0.128039,2.316123,[8 4] ; [18 25],[5.67272727 6.32727273] ; [20.32727273 22.67272727],0
d1,1,0.132529,2.262626,[5 7] ; [ 9 35],[3. 9.] ; [11. 33.],0
p3,1,0.13481,2.236223,[7 4] ; [17 27],[4.8 6.2] ; [19.2 24.8],0
u1,1,0.148404,2.088578,[ 2 10] ; [ 2 42],[ 0.85714286 11.14285714] ; [ 3.14285714 40.85714286],0
p5,1,0.149109,2.081343,[3 9] ; [ 4 39],[ 1.52727273 10.47272727] ; [ 5.47272727 37.52727273],0
n3,1,0.168509,1.896162,[2 4] ; [13  7],[3.46153846 2.53846154] ; [11.53846154  8.46153846],0
s8,1,0.181554,1.784856,[5 6] ; [11 33],[3.2 7.8] ; [12.8 31.2],0
d5,1,0.201717,1.629896,[9 3] ; [24 20],[7.07142857 4.92857143] ; [25.92857143 18.07142857],0
v1,1,0.211166,1.563414,[7 5] ; [16 26],[5.11111111 6.88888889] ; [17.88888889 24.11111111],0
s6,1,0.252232,1.310897,[7 3] ; [22 22],[5.37037037 4.62962963] ; [23.62962963 20.37037037],0
a4,1,0.25728,1.283333,[5 7] ; [11 33],[3.42857143 8.57142857] ; [12.57142857 31.42857143],0
p10,1,0.287188,1.132755,[9 2] ; [28 15],[7.53703704 3.46296296] ; [29.46296296 13.53703704],0
p1,1,0.315956,1.005612,[ 1 11] ; [ 1 43],[ 0.42857143 11.57142857] ; [ 1.57142857 42.42857143],0
r1,1,0.353076,0.862369,[4 7] ; [10 34],[2.8 8.2] ; [11.2 32.8],0
n1,1,0.366444,0.815686,[3 3] ; [ 6 14],[2.07692308 3.92307692] ; [ 6.92307692 13.07692308],0
b4,1,0.373961,0.790459,[4 8] ; [21 23],[5.35714286 6.64285714] ; [19.64285714 24.35714286],0
r2,1,0.432948,0.614902,[8 4] ; [21 18],[6.82352941 5.17647059] ; [22.17647059 16.82352941],0
b1,1,0.478161,0.503054,[6 6] ; [27 17],[7.07142857 4.92857143] ; [25.92857143 18.07142857],0
p9,1,0.550034,0.357257,[9 3] ; [29 15],[8.14285714 3.85714286] ; [29.85714286 14.14285714],0
p11,1,0.550034,0.357257,[9 3] ; [29 15],[8.14285714 3.85714286] ; [29.85714286 14.14285714],0
p6,1,0.552996,0.351978,[5 6] ; [15 27],[4.1509434 6.8490566] ; [15.8490566 26.1509434],0
r3,1,0.632765,0.22833,[8 3] ; [28 15],[7.33333333 3.66666667] ; [28.66666667 14.33333333],0
b5,1,0.736607,0.113131,[7 5] ; [28 16],[7.5 4.5] ; [27.5 16.5],0
p4,1,0.783131,0.075758,[7 4] ; [26 18],[6.6 4.4] ; [26.4 17.6],0
s5,1,0.785764,0.073884,[2 9] ; [ 9 32],[2.32692308 8.67307692] ; [ 8.67307692 32.32692308],0
a6,1,0.81501,0.054741,[7 5] ; [24 20],[6.64285714 5.35714286] ; [24.35714286 19.64285714],0
d3,1,0.830536,0.045802,[6 6] ; [20 23],[5.67272727 6.32727273] ; [20.32727273 22.67272727],0
p2,1,0.839943,0.04079,[9 2] ; [34  9],[8.75925926 2.24074074] ; [34.24074074  8.75925926],0
p8,1,0.841196,0.040146,[6 5] ; [22 21],[5.7037037 5.2962963] ; [22.2962963 20.7037037],0
a7,1,0.888927,0.019505,[6 6] ; [23 21],[6.21428571 5.78571429] ; [22.78571429 21.21428571],0
s3,1,0.892269,0.018342,[5 5] ; [22 20],[5.19230769 4.80769231] ; [21.80769231 20.19230769],0
v4,1,0.91691,0.010884,[7 3] ; [28 13],[6.8627451 3.1372549] ; [28.1372549 12.8627451],0
