Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,86.512539,[276  66] ; [46 82],[234.30638298 107.69361702] ; [87.69361702 40.30638298],1
d3,1,0.0,36.38772,[284  58] ; [72 56],[259.04680851  82.95319149] ; [96.95319149 31.04680851],1
a2,1,0.0,26.767193,[117 226] ; [ 13 115],[ 94.67091295 248.32908705] ; [35.32908705 92.67091295],1
u1,1,2e-06,23.094522,[ 91 252] ; [  8 120],[ 72.0955414 270.9044586] ; [ 26.9044586 101.0955414],1
b5,1,1e-05,19.512681,[222 121] ; [54 74],[200.99363057 142.00636943] ; [75.00636943 52.99363057],1
s5,1,0.007901,7.055778,[118 214] ; [61 63],[130.3245614 201.6754386] ; [48.6754386 75.3245614],0
b1,1,0.010878,6.48506,[122 221] ; [62 66],[133.99575372 209.00424628] ; [50.00424628 77.99575372],0
d1,1,0.013055,6.161576,[252  91] ; [79 49],[241.04670913 101.95329087] ; [89.95329087 38.04670913],0
r1,1,0.022472,5.208855,[291  47] ; [99 29],[282.87553648  55.12446352] ; [107.12446352  20.87553648],0
p9,1,0.022684,5.192555,[310  31] ; [106  21],[303.11111111  37.88888889] ; [112.88888889  14.11111111],0
r3,1,0.030208,4.697406,[333   6] ; [121   7],[329.56316916   9.43683084] ; [124.43683084   3.56316916],0
r2,1,0.032128,4.591648,[325  11] ; [116  10],[320.72727273  15.27272727] ; [120.27272727   5.72727273],0
a8,1,0.040196,4.209572,[ 59 243] ; [ 14 110],[ 51.75117371 250.24882629] ; [ 21.24882629 102.75117371],0
r4,1,0.056769,3.62934,[323  20] ; [114  14],[318.23991507  24.76008493] ; [118.76008493   9.23991507],0
s4,1,0.065507,3.392159,[ 54 282] ; [30 98],[ 60.82758621 275.17241379] ; [ 23.17241379 104.82758621],0
s7,1,0.07845,3.096721,[167 159] ; [75 49],[175.31555556 150.68444444] ; [66.68444444 57.31555556],0
v3,1,0.080092,3.063033,[133 195] ; [63 64],[141.29230769 186.70769231] ; [54.70769231 72.29230769],0
n1,1,0.083792,2.989777,[16 42] ; [15 18],[19.75824176 38.24175824] ; [11.24175824 21.75824176],0
v4,1,0.090388,2.867454,[330   8] ; [121   7],[327.12017167  10.87982833] ; [123.87982833   4.12017167],0
p4,1,0.099343,2.716062,[250  93] ; [82 44],[242.80597015 100.19402985] ; [89.19402985 36.80597015],0
b3,1,0.126986,2.328973,[ 77 141] ; [36 44],[ 82.66442953 135.33557047] ; [30.33557047 49.66442953],0
b2,1,0.126986,2.328973,[ 77 141] ; [36 44],[ 82.66442953 135.33557047] ; [30.33557047 49.66442953],0
s8,1,0.128311,2.312817,[161 180] ; [70 57],[168.31410256 172.68589744] ; [62.68589744 64.31410256],0
p10,1,0.141103,2.165889,[304  37] ; [106  20],[299.37901499  41.62098501] ; [110.62098501  15.37901499],0
p2,1,0.178209,1.812499,[315  27] ; [111  15],[311.30769231  30.69230769] ; [114.69230769  11.30769231],0
