Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,37.258506,[130  53] ; [34 67],[105.67605634  77.32394366] ; [58.32394366 42.67605634],1
a6,1,3e-06,21.622171,[135  47] ; [47 54],[117.0459364  64.9540636] ; [64.9540636 36.0459364],1
a2,1,8e-05,15.566995,[ 51 133] ; [ 8 93],[ 38.09122807 145.90877193] ; [20.90877193 80.09122807],1
a8,1,0.000891,11.041891,[ 40 129] ; [ 7 88],[ 30.08712121 138.91287879] ; [16.91287879 78.08712121],1
r3,1,0.002684,9.010849,[168  14] ; [81 20],[160.13427562  21.86572438] ; [88.86572438 12.13427562],0
b5,1,0.005069,7.854784,[124  60] ; [51 50],[112.98245614  71.01754386] ; [62.01754386 38.98245614],0
u3,1,0.005806,7.609678,[29 23] ; [ 8 24],[22.9047619 29.0952381] ; [14.0952381 17.9047619],0
d4,1,0.006245,7.478141,[148  35] ; [67 34],[138.53873239  44.46126761] ; [76.46126761 24.53873239],0
v4,1,0.00754,7.139543,[168  15] ; [81 19],[161.01413428  21.98586572] ; [87.98586572 12.01413428],0
r4,1,0.007584,7.129164,[157  27] ; [73 28],[148.49122807  35.50877193] ; [81.50877193 19.49122807],0
d5,1,0.010351,6.573434,[145  38] ; [66 35],[135.96126761  47.03873239] ; [75.03873239 25.96126761],0
v2,1,0.021669,5.272161,[96 76] ; [40 57],[86.95910781 85.04089219] ; [49.04089219 47.95910781],0
s4,1,0.030185,4.698713,[ 18 164] ; [19 81],[ 23.87943262 158.12056738] ; [13.12056738 86.87943262],0
r2,1,0.034281,4.480653,[170   9] ; [88 12],[165.52688172  13.47311828] ; [92.47311828  7.52688172],0
u1,1,0.03595,4.399453,[ 31 153] ; [ 8 93],[ 25.17894737 158.82105263] ; [13.82105263 87.17894737],0
d1,1,0.050123,3.837352,[97 87] ; [41 60],[89.09473684 94.90526316] ; [48.90526316 52.09473684],0
b3,1,0.066789,3.360232,[33 68] ; [33 38],[38.75581395 62.24418605] ; [27.24418605 43.75581395],0
b2,1,0.066789,3.360232,[33 68] ; [33 38],[38.75581395 62.24418605] ; [27.24418605 43.75581395],0
n2,1,0.08109,3.042919,[40  9] ; [22 12],[36.60240964 12.39759036] ; [25.39759036  8.60240964],0
b1,1,0.082372,3.017477,[ 68 116] ; [48 53],[ 74.89122807 109.10877193] ; [41.10877193 59.89122807],0
p9,1,0.082943,3.00627,[137  41] ; [66 32],[130.92028986  47.07971014] ; [72.07971014 25.92028986],0
r1,1,0.130783,2.28318,[141  41] ; [70 31],[135.69611307  46.30388693] ; [75.30388693 25.69611307],0
s1,1,0.162353,1.952175,[  6 174] ; [ 7 93],[  8.35714286 171.64285714] ; [ 4.64285714 95.35714286],0
b4,1,0.225362,1.469899,[112  72] ; [54 47],[107.17192982  76.82807018] ; [58.82807018 42.17192982],0
p10,1,0.270457,1.214429,[131  51] ; [65 34],[126.94661922  55.05338078] ; [69.05338078 29.94661922],0
