Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,35.339394,[69  8] ; [16 26],[55. 22.] ; [30. 12.],1
s8,1,0.000397,12.544274,[36 41] ; [ 6 36],[27.17647059 49.82352941] ; [14.82352941 27.17647059],1
u2,1,0.00263,9.047605,[25  4] ; [7 9],[20.62222222  8.37777778] ; [11.37777778  4.62222222],0
p11,1,0.006714,7.348022,[59 18] ; [22 20],[52.41176471 24.58823529] ; [28.58823529 13.41176471],0
s7,1,0.011387,6.403846,[32 42] ; [ 7 30],[26. 48.] ; [13. 24.],0
p8,1,0.011717,6.353226,[40 36] ; [12 30],[33.49152542 42.50847458] ; [18.50847458 23.49152542],0
s6,1,0.020032,5.409091,[50 27] ; [18 24],[44. 33.] ; [24. 18.],0
s2,1,0.034164,4.486496,[35 41] ; [11 31],[29.62711864 46.37288136] ; [16.37288136 25.62711864],0
d3,1,0.036422,4.37725,[56 20] ; [23 19],[50.88135593 25.11864407] ; [28.11864407 13.88135593],0
v4,1,0.040694,4.188727,[72  3] ; [35  6],[69.18103448  5.81896552] ; [37.81896552  3.18103448],0
p4,1,0.047032,3.944256,[44 33] ; [16 26],[38.82352941 38.17647059] ; [21.17647059 20.82352941],0
d1,1,0.051277,3.799206,[40 37] ; [14 28],[34.94117647 42.05882353] ; [19.05882353 22.94117647],0
p7,1,0.11704,2.456484,[48 26] ; [21 21],[44.01724138 29.98275862] ; [24.98275862 17.01724138],0
s5,1,0.125969,2.341494,[21 55] ; [ 6 34],[17.68965517 58.31034483] ; [ 9.31034483 30.68965517],0
u3,1,0.128034,2.316176,[21  7] ; [9 8],[18.66666667  9.33333333] ; [11.33333333  5.66666667],0
d5,1,0.131757,2.271683,[61 16] ; [28 14],[57.58823529 19.41176471] ; [31.41176471 10.58823529],0
v2,1,0.157892,1.994302,[37 35] ; [15 25],[33.42857143 38.57142857] ; [18.57142857 21.42857143],0
a7,1,0.168939,1.892337,[57 20] ; [26 16],[53.70588235 23.29411765] ; [29.29411765 12.70588235],0
v3,1,0.207798,1.586699,[21 52] ; [ 7 32],[18.25 54.75] ; [ 9.75 29.25],0
a5,1,0.231671,1.430573,[49 28] ; [22 20],[45.94117647 31.05882353] ; [25.05882353 16.94117647],0
p12,1,0.239524,1.383392,[ 1 76] ; [ 2 39],[ 1.95762712 75.04237288] ; [ 1.04237288 39.95762712],0
n2,1,0.243537,1.36,[14  3] ; [11  6],[12.5  4.5] ; [12.5  4.5],0
r3,1,0.260932,1.263806,[71  6] ; [36  6],[69.23529412  7.76470588] ; [37.76470588  4.23529412],0
n5,1,0.276534,1.184045,[35 41] ; [15 27],[32.20338983 43.79661017] ; [17.79661017 24.20338983],0
p5,1,0.327182,0.960021,[ 5 72] ; [ 1 41],[ 3.88235294 73.11764706] ; [ 2.11764706 39.88235294],0
r2,1,0.351738,0.867176,[67  8] ; [35  7],[65.38461538  9.61538462] ; [36.61538462  5.38461538],0
b4,1,0.371232,0.799536,[43 34] ; [27 15],[45.29411765 31.70588235] ; [24.70588235 17.29411765],0
s3,1,0.383594,0.759152,[42 33] ; [20 22],[39.74358974 35.25641026] ; [22.25641026 19.74358974],0
r1,1,0.39038,0.737758,[58 18] ; [29 13],[56.03389831 19.96610169] ; [30.96610169 11.03389831],0
v1,1,0.504045,0.446409,[36 37] ; [18 24],[34.27826087 38.72173913] ; [19.72173913 22.27826087],0
p3,1,0.522106,0.409732,[34 43] ; [16 26],[32.35294118 44.64705882] ; [17.64705882 24.35294118],0
a8,1,0.553694,0.350741,[ 6 64] ; [ 2 35],[ 5.23364486 64.76635514] ; [ 2.76635514 34.23364486],0
r4,1,0.579589,0.306899,[62 15] ; [32 10],[60.82352941 16.17647059] ; [33.17647059  8.82352941],0
p6,1,0.597783,0.278353,[22 54] ; [10 31],[20.78632479 55.21367521] ; [11.21367521 29.78632479],0
a4,1,0.61368,0.254851,[24 53] ; [15 27],[25.23529412 51.76470588] ; [13.76470588 28.23529412],0
n4,1,0.634972,0.225379,[42 35] ; [21 21],[40.76470588 36.23529412] ; [22.23529412 19.76470588],0
b1,1,0.667805,0.184181,[39 38] ; [23 19],[40.11764706 36.88235294] ; [21.88235294 20.11764706],0
n3,1,0.697476,0.151111,[13  4] ; [12  5],[12.5  4.5] ; [12.5  4.5],0
a2,1,0.729031,0.120004,[11 66] ; [ 7 35],[11.64705882 65.35294118] ; [ 6.35294118 35.64705882],0
