Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.003456,8.549495,[14  8] ; [19 47],[ 8.25 13.75] ; [24.75 41.25],0
d4,1,0.019284,5.475596,[18  4] ; [36 31],[13.34831461  8.65168539] ; [40.65168539 26.34831461],0
d5,1,0.019428,5.46258,[19  4] ; [37 30],[14.31111111  8.68888889] ; [41.68888889 25.31111111],0
a3,1,0.023212,5.152599,[19  4] ; [37 29],[14.47191011  8.52808989] ; [41.52808989 24.47191011],0
r1,1,0.034592,4.465223,[10 13] ; [14 53],[ 6.13333333 16.86666667] ; [17.86666667 49.13333333],0
a2,1,0.037035,4.348824,[ 6 17] ; [ 6 61],[ 3.06666667 19.93333333] ; [ 8.93333333 58.06666667],0
d2,1,0.047968,3.911111,[14  8] ; [26 40],[10. 12.] ; [30. 36.],0
p1,1,0.060144,3.53342,[ 5 18] ; [ 5 62],[ 2.55555556 20.44444444] ; [ 7.44444444 59.55555556],0
n4,1,0.070532,3.270604,[21  2] ; [49 18],[17.88888889  5.11111111] ; [52.11111111 14.88888889],0
p12,1,0.089919,2.875817,[ 2 20] ; [ 1 65],[ 0.75 21.25] ; [ 2.25 63.75],0
n6,1,0.115102,2.482734,[18  5] ; [39 26],[14.89772727  8.10227273] ; [42.10227273 22.89772727],0
n2,1,0.129627,2.296963,[11  2] ; [19 12],[8.86363636 4.13636364] ; [21.13636364  9.86363636],0
d1,1,0.129839,2.294428,[12 11] ; [23 44],[ 8.94444444 14.05555556] ; [26.05555556 40.94444444],0
v4,1,0.133062,2.25641,[16  6] ; [36 30],[13.  9.] ; [39. 27.],0
r2,1,0.13733,2.207624,[16  6] ; [35 29],[13.04651163  8.95348837] ; [37.95348837 26.04651163],0
b2,1,0.145023,2.123832,[7 7] ; [13 32],[4.74576271 9.25423729] ; [15.25423729 29.74576271],0
b3,1,0.145023,2.123832,[7 7] ; [13 32],[4.74576271 9.25423729] ; [15.25423729 29.74576271],0
a1,1,0.1693,1.889133,[ 5 18] ; [ 7 60],[ 3.06666667 19.93333333] ; [ 8.93333333 58.06666667],0
s8,1,0.193874,1.687933,[ 8 14] ; [15 52],[ 5.68539326 16.31460674] ; [17.31460674 49.68539326],0
