Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,6e-06,20.521429,[ 4 28] ; [24 12],[13.17647059 18.82352941] ; [14.82352941 21.17647059],1
r4,1,0.002059,9.495819,[19 14] ; [34  4],[24.63380282  8.36619718] ; [28.36619718  9.63380282],0
p7,1,0.002397,9.217772,[14 18] ; [30  8],[20.11428571 11.88571429] ; [23.88571429 14.11428571],0
v1,1,0.007189,7.225204,[10 22] ; [23 13],[15.52941176 16.47058824] ; [17.47058824 18.52941176],0
p11,1,0.009353,6.75411,[21 12] ; [34  4],[25.56338028  7.43661972] ; [29.43661972  8.56338028],0
p3,1,0.00968,6.69278,[12 20] ; [26 12],[17.37142857 14.62857143] ; [20.62857143 17.37142857],0
r1,1,0.012831,6.192323,[19 14] ; [32  6],[23.70422535  9.29577465] ; [27.29577465 10.70422535],0
a3,1,0.015417,5.868222,[21 11] ; [34  4],[25.14285714  6.85714286] ; [29.85714286  8.14285714],0
u1,1,0.020602,5.360185,[ 3 30] ; [12 26],[ 6.97183099 26.02816901] ; [ 8.02816901 29.97183099],0
a5,1,0.027084,4.885449,[19 14] ; [31  7],[23.23943662  9.76056338] ; [26.76056338 11.23943662],0
r3,1,0.043944,4.058697,[26  7] ; [36  2],[28.81690141  4.18309859] ; [33.18309859  4.81690141],0
b4,1,0.045587,3.996803,[13 20] ; [24 14],[17.1971831 15.8028169] ; [19.8028169 18.1971831],0
d5,1,0.046857,3.950498,[21 12] ; [32  6],[24.63380282  8.36619718] ; [28.36619718  9.63380282],0
a6,1,0.053126,3.739939,[17 16] ; [28 10],[20.91549296 12.08450704] ; [24.08450704 13.91549296],0
s5,1,0.058463,3.58047,[ 2 28] ; [ 9 29],[ 4.85294118 25.14705882] ; [ 6.14705882 31.85294118],0
d1,1,0.080629,3.052179,[14 19] ; [24 14],[17.66197183 15.33802817] ; [20.33802817 17.66197183],0
n1,1,0.087375,2.922078,[9 3] ; [2 4],[7.33333333 4.66666667] ; [3.66666667 2.33333333],0
s4,1,0.107636,2.588594,[ 7 26] ; [ 3 35],[ 4.64788732 28.35211268] ; [ 5.35211268 32.64788732],0
b5,1,0.111272,2.536063,[21 12] ; [17 21],[17.66197183 15.33802817] ; [20.33802817 17.66197183],0
d2,1,0.119901,2.418612,[13 20] ; [22 16],[16.26760563 16.73239437] ; [18.73239437 19.26760563],0
v4,1,0.149988,2.072368,[27  5] ; [36  2],[28.8  3.2] ; [34.2  3.8],0
a7,1,0.152395,2.048116,[19 14] ; [28 10],[21.84507042 11.15492958] ; [25.15492958 12.84507042],0
d3,1,0.152395,2.048116,[19 14] ; [28 10],[21.84507042 11.15492958] ; [25.15492958 12.84507042],0
s8,1,0.264669,1.244169,[13 20] ; [20 18],[15.33802817 17.66197183] ; [17.66197183 20.33802817],0
a4,1,0.264669,1.244169,[13 20] ; [20 18],[15.33802817 17.66197183] ; [17.66197183 20.33802817],0
p9,1,0.267527,1.229383,[23 10] ; [30  7],[24.98571429  8.01428571] ; [28.01428571  8.98571429],0
r2,1,0.296951,1.087838,[28  4] ; [35  2],[29.2173913  2.7826087] ; [33.7826087  3.2173913],0
b2,1,0.309657,1.032137,[10 11] ; [18 11],[11.76  9.24] ; [16.24 12.76],0
b3,1,0.309657,1.032137,[10 11] ; [18 11],[11.76  9.24] ; [16.24 12.76],0
p6,1,0.31611,1.004973,[13 20] ; [19 18],[15.08571429 17.91428571] ; [16.91428571 20.08571429],0
a8,1,0.347648,0.882025,[ 4 26] ; [ 7 24],[ 5.40983607 24.59016393] ; [ 5.59016393 25.40983607],0
a2,1,0.367436,0.812317,[ 5 28] ; [ 9 29],[ 6.50704225 26.49295775] ; [ 7.49295775 30.50704225],0
p2,1,0.371931,0.797204,[25  8] ; [32  6],[26.49295775  6.50704225] ; [30.50704225  7.49295775],0
p10,1,0.371931,0.797204,[25  8] ; [32  6],[26.49295775  6.50704225] ; [30.50704225  7.49295775],0
b1,1,0.419714,0.651116,[10 23] ; [15 23],[11.61971831 21.38028169] ; [13.38028169 24.61971831],0
p1,1,0.529525,0.395302,[ 3 30] ; [ 2 36],[ 2.32394366 30.67605634] ; [ 2.67605634 35.32394366],0
n2,1,0.539222,0.376984,[10  2] ; [5 2],[9.47368421 2.52631579] ; [5.52631579 1.47368421],0
p8,1,0.546305,0.363978,[15 18] ; [20 18],[16.26760563 16.73239437] ; [18.73239437 19.26760563],0
p5,1,0.550165,0.357022,[ 2 29] ; [ 4 34],[ 2.69565217 28.30434783] ; [ 3.30434783 34.69565217],0
u3,1,0.550985,0.355556,[7 5] ; [3 1],[7.5 4.5] ; [2.5 1.5],0
