Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,296.907816,[31 87] ; [632  56],[97.06451613 20.93548387] ; [565.93548387 122.06451613],1
p11,1,0.0,39.372016,[71 49] ; [578 111],[96.26699629 23.73300371] ; [552.73300371 136.26699629],1
p2,1,0.0,36.24202,[77 43] ; [594  93],[99.77695167 20.22304833] ; [571.22304833 115.77695167],1
n5,1,0.0,25.816752,[68 52] ; [537 148],[90.1863354 29.8136646] ; [514.8136646 170.1863354],1
b1,1,1e-06,23.815659,[68 52] ; [230 459],[44.20271941 75.79728059] ; [253.79728059 435.20271941],1
s6,1,6e-06,20.48295,[60 58] ; [486 191],[81.04150943 36.95849057] ; [464.95849057 212.04150943],1
n6,1,1.2e-05,19.085574,[87 33] ; [601  84],[102.55900621  17.44099379] ; [585.44099379  99.55900621],1
s8,1,2.3e-05,17.903706,[33 85] ; [336 350],[54.15671642 63.84328358] ; [314.84328358 371.15671642],1
s7,1,2.3e-05,17.884122,[35 78] ; [347 314],[55.77002584 57.22997416] ; [326.22997416 334.77002584],1
p8,1,2.6e-05,17.711886,[43 77] ; [385 295],[64.2 55.8] ; [363.8 316.2],1
v1,1,0.000185,13.97968,[47 73] ; [386 284],[65.7721519 54.2278481] ; [367.2278481 302.7721519],1
s5,1,0.00042,12.440479,[24 93] ; [247 414],[40.75449871 76.24550129] ; [230.24550129 430.75449871],1
s2,1,0.000708,11.467831,[44 73] ; [373 311],[60.91011236 56.08988764] ; [356.08988764 327.91011236],1
p4,1,0.000769,11.315696,[56 63] ; [434 251],[72.52487562 46.47512438] ; [417.47512438 267.52487562],1
p3,1,0.000788,11.268262,[44 75] ; [369 319],[60.90086741 58.09913259] ; [352.09913259 335.90086741],1
p6,1,0.001058,10.72318,[28 89] ; [271 410],[43.83834586 73.16165414] ; [255.16165414 425.83834586],0
v2,1,0.001231,10.443906,[50 67] ; [387 271],[65.97290323 51.02709677] ; [371.02709677 286.97290323],0
p12,1,0.001398,10.209047,[  1 118] ; [ 66 622],[  9.87980173 109.12019827] ; [ 57.12019827 630.87980173],0
a3,1,0.002017,9.533963,[72 48] ; [506 180],[86.05459057 33.94540943] ; [491.94540943 194.05459057],0
d1,1,0.002208,9.367822,[56 64] ; [424 265],[71.19901112 48.80098888] ; [408.80098888 280.19901112],0
p7,1,0.003654,8.448467,[63 55] ; [453 221],[76.87878788 41.12121212] ; [439.12121212 234.87878788],0
d4,1,0.005538,7.6949,[88 32] ; [575 111],[98.70967742 21.29032258] ; [564.29032258 121.70967742],0
d3,1,0.007837,7.070421,[71 49] ; [489 197],[83.37468983 36.62531017] ; [476.62531017 209.37468983],0
a5,1,0.008382,6.949886,[78 42] ; [526 163],[89.592089 30.407911] ; [514.407911 174.592089],0
p5,1,0.014743,5.94698,[  6 114] ; [ 87 597],[ 13.88059701 106.11940299] ; [ 79.11940299 604.88059701],0
n4,1,0.016744,5.723013,[83 37] ; [543 144],[93.08550186 26.91449814] ; [532.91449814 154.08550186],0
a4,1,0.023884,5.103069,[43 76] ; [325 362],[54.3325062 64.6674938] ; [313.6674938 373.3325062],0
b3,1,0.031388,4.631625,[21 57] ; [164 248],[29.44897959 48.55102041] ; [155.55102041 256.44897959],0
b2,1,0.031388,4.631625,[21 57] ; [164 248],[29.44897959 48.55102041] ; [155.55102041 256.44897959],0
d5,1,0.034922,4.448968,[89 31] ; [564 121],[97.34161491 22.65838509] ; [555.65838509 129.34161491],0
s1,1,0.036797,4.35978,[  8 110] ; [ 20 659],[  4.1455458 113.8544542] ; [ 23.8544542 655.1455458],0
a6,1,0.077475,3.11708,[75 45] ; [484 202],[83.22580645 36.77419355] ; [475.77419355 210.22580645],0
s3,1,0.087046,2.928172,[59 60] ; [395 286],[67.5325 51.4675] ; [386.4675 294.5325],0
a2,1,0.08997,2.874919,[22 98] ; [176 513],[29.36959209 90.63040791] ; [168.63040791 520.36959209],0
a7,1,0.100027,2.705112,[81 39] ; [513 174],[88.32713755 31.67286245] ; [505.67286245 181.32713755],0
v3,1,0.142813,2.147383,[40 76] ; [275 384],[47.1483871 68.8516129] ; [267.8516129 391.1483871],0
u2,1,0.184855,1.758154,[23 24] ; [108  73],[27.00438596 19.99561404] ; [103.99561404  77.00438596],0
a8,1,0.212556,1.553929,[11 97] ; [ 92 534],[15.15531335 92.84468665] ; [ 87.84468665 538.15531335],0
s4,1,0.215733,1.532529,[ 15 102] ; [119 563],[19.62202753 97.37797247] ; [114.37797247 567.62202753],0
b4,1,0.229591,1.443392,[76 44] ; [396 293],[70.01236094 49.98763906] ; [401.98763906 287.01236094],0
u4,1,0.234963,1.410564,[  1 119] ; [ 18 671],[  2.81829419 117.18170581] ; [ 16.18170581 672.81829419],0
b5,1,0.327923,0.957081,[68 52] ; [423 266],[72.83065513 47.16934487] ; [418.16934487 270.83065513],0
u1,1,0.408161,0.684152,[ 19 101] ; [131 558],[22.24969098 97.75030902] ; [127.75030902 561.24969098],0
p1,1,0.567404,0.327045,[  9 110] ; [ 63 623],[ 10.64347826 108.35652174] ; [ 61.35652174 624.64347826],0
r3,1,0.571388,0.320366,[117   3] ; [676  12],[117.77227723   2.22772277] ; [675.22772277  12.77227723],0
n1,1,0.594394,0.283534,[14 19] ; [52 87],[12.6627907 20.3372093] ; [53.3372093 85.6627907],0
r1,1,0.660689,0.192687,[104  16] ; [584 102],[102.43176179  17.56823821] ; [585.56823821 100.43176179],0
d2,1,0.7682,0.086866,[60 60] ; [333 353],[58.51116625 61.48883375] ; [334.48883375 351.51116625],0
u3,1,0.773802,0.082602,[30 18] ; [109  72],[29.13537118 18.86462882] ; [109.86462882  71.13537118],0
n2,1,0.790627,0.070489,[26  9] ; [107  33],[26.6  8.4] ; [106.4  33.6],0
n3,1,0.807924,0.0591,[25  9] ; [105  34],[25.54913295  8.45086705] ; [104.45086705  34.54913295],0
a1,1,0.808543,0.058712,[  6 114] ; [ 31 658],[  5.48825711 114.51174289] ; [ 31.51174289 657.48825711],0
r2,1,0.83027,0.045948,[117   3] ; [671  15],[117.32009926   2.67990074] ; [670.67990074  15.32009926],0
