Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s4,1,0.001429,10.167669,[ 5 50] ; [14 25],[11.11702128 43.88297872] ; [ 7.88297872 31.11702128],0
s8,1,0.00203,9.522407,[15 40] ; [23 16],[22.23404255 32.76595745] ; [15.76595745 23.23404255],0
s3,1,0.004962,7.893258,[21 32] ; [27 12],[27.65217391 25.34782609] ; [20.34782609 18.65217391],0
s2,1,0.011462,6.392307,[18 37] ; [23 16],[23.9893617 31.0106383] ; [17.0106383 21.9893617],0
a3,1,0.0261,4.949404,[30 25] ; [30  9],[35.10638298 19.89361702] ; [24.89361702 14.10638298],0
b2,1,0.050081,3.838744,[ 7 25] ; [12 14],[10.48275862 21.51724138] ; [ 8.51724138 17.48275862],0
b3,1,0.050081,3.838744,[ 7 25] ; [12 14],[10.48275862 21.51724138] ; [ 8.51724138 17.48275862],0
p7,1,0.050941,3.810201,[36 18] ; [33  6],[40.06451613 13.93548387] ; [28.93548387 10.06451613],0
d4,1,0.065386,3.395216,[43 12] ; [36  3],[46.22340426  8.77659574] ; [32.77659574  6.22340426],0
s5,1,0.070572,3.26967,[14 38] ; [16 19],[17.93103448 34.06896552] ; [12.06896552 22.93103448],0
p9,1,0.084519,2.975794,[38 17] ; [33  6],[41.54255319 13.45744681] ; [29.45744681  9.54255319],0
s6,1,0.105438,2.621294,[32 23] ; [29 10],[35.69148936 19.30851064] ; [25.30851064 13.69148936],0
u1,1,0.112617,2.517102,[ 4 51] ; [ 7 32],[ 6.43617021 48.56382979] ; [ 4.56382979 34.43617021],0
p6,1,0.113047,2.511094,[19 34] ; [19 17],[22.62921348 30.37078652] ; [15.37078652 20.62921348],0
v3,1,0.139857,2.17953,[12 41] ; [13 22],[15.05681818 37.94318182] ; [ 9.94318182 25.05681818],0
p10,1,0.141504,2.161524,[34 21] ; [29  9],[37.25806452 17.74193548] ; [25.74193548 12.25806452],0
d3,1,0.16939,1.888334,[35 20] ; [30  9],[38.03191489 16.96808511] ; [26.96808511 12.03191489],0
n1,1,0.202288,1.625782,[2 9] ; [4 5],[3.3 7.7] ; [2.7 6.3],0
p5,1,0.207311,1.590107,[ 3 52] ; [ 5 34],[ 4.68085106 50.31914894] ; [ 3.31914894 35.68085106],0
d5,1,0.21568,1.532887,[39 16] ; [32  7],[41.54255319 13.45744681] ; [29.45744681  9.54255319],0
u3,1,0.223216,1.483575,[17  8] ; [8 1],[18.38235294  6.61764706] ; [6.61764706 2.38235294],0
a7,1,0.275358,1.189857,[41 14] ; [25 14],[38.61702128 16.38297872] ; [27.38297872 11.61702128],0
