Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,93.141065,[253  49] ; [108 135],[200.04036697 101.95963303] ; [160.95963303  82.04036697],1
p6,1,0.0,43.186264,[163 141] ; [ 64 183],[125.24137931 178.75862069] ; [101.75862069 145.24137931],1
p2,1,0.0,39.974522,[282  23] ; [181  69],[254.44144144  50.55855856] ; [208.55855856  41.44144144],1
p4,1,0.0,33.304162,[234  71] ; [133 116],[202.04873646 102.95126354] ; [164.95126354  84.04873646],1
p3,1,0.0,30.264808,[197 108] ; [103 147],[164.86486486 140.13513514] ; [135.13513514 114.86486486],1
p5,1,1e-06,24.588509,[ 64 242] ; [ 15 232],[ 43.71428571 262.28571429] ; [ 35.28571429 211.71428571],1
p11,1,2e-06,22.802343,[263  43] ; [173  77],[239.95683453  66.04316547] ; [196.04316547  53.95683453],1
b5,1,0.0002,13.827303,[167 139] ; [175  75],[188.22302158 117.77697842] ; [153.77697842  96.22302158],1
p10,1,0.002706,8.995858,[273  33] ; [197  49],[260.54347826  45.45652174] ; [209.45652174  36.54347826],0
n5,1,0.018891,5.511584,[250  56] ; [182  66],[238.61371841  67.38628159] ; [193.38628159  54.61371841],0
s5,1,0.021213,5.309241,[146 152] ; [ 95 148],[132.75046211 165.24953789] ; [108.24953789 134.75046211],0
a2,1,0.021393,5.294516,[ 69 237] ; [ 78 172],[ 80.9028777 225.0971223] ; [ 66.0971223 183.9028777],0
p9,1,0.025363,4.998896,[278  27] ; [210  37],[269.63768116  35.36231884] ; [218.36231884  28.63768116],0
p1,1,0.027956,4.830767,[ 36 267] ; [ 16 234],[ 28.49186257 274.50813743] ; [ 23.50813743 226.49186257],0
v1,1,0.030863,4.660572,[184 116] ; [125 115],[171.66666667 128.33333333] ; [137.33333333 102.66666667],0
s8,1,0.070253,3.277107,[182 121] ; [131 119],[171.49909584 131.50090416] ; [141.50090416 108.49909584],0
u1,1,0.077513,3.116283,[ 57 249] ; [ 62 188],[ 65.49280576 240.50719424] ; [ 53.50719424 196.49280576],0
a5,1,0.098949,2.722405,[240  66] ; [181  69],[231.70143885  74.29856115] ; [189.29856115  60.70143885],0
n6,1,0.099673,2.710761,[272  31] ; [212  37],[265.67391304  37.32608696] ; [218.32608696  30.67391304],0
p12,1,0.100451,2.698376,[ 39 267] ; [ 21 229],[ 33.02158273 272.97841727] ; [ 26.97841727 223.02158273],0
d4,1,0.109051,2.567917,[263  41] ; [203  46],[256.17359855  47.82640145] ; [209.82640145  39.17359855],0
v3,1,0.13336,2.252951,[132 167] ; [ 89 147],[123.51214953 175.48785047] ; [ 97.48785047 138.51214953],0
r3,1,0.158254,1.990832,[296   9] ; [247   3],[298.40540541   6.59459459] ; [244.59459459   5.40540541],0
a6,1,0.190956,1.71023,[199 105] ; [176  73],[206.1482821  97.8517179] ; [168.8517179  80.1482821],0
s7,1,0.199462,1.646307,[187 107] ; [139 100],[179.81988743 114.18011257] ; [146.18011257  92.81988743],0
s1,1,0.226545,1.462423,[ 10 296] ; [ 13 230],[ 12.81967213 293.18032787] ; [ 10.18032787 232.81967213],0
