Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,1e-06,23.694849,[26  9] ; [ 7 32],[15.60810811 19.39189189] ; [17.39189189 21.60810811],1
d5,1,4.6e-05,16.626013,[34  1] ; [22 17],[26.48648649  8.51351351] ; [29.51351351  9.48648649],1
a4,1,0.000172,14.113483,[20 15] ; [ 6 33],[12.2972973 22.7027027] ; [13.7027027 25.2972973],1
d3,1,0.003104,8.745398,[30  5] ; [21 18],[24.12162162 10.87837838] ; [26.87837838 12.12162162],0
a5,1,0.011828,6.336459,[27  8] ; [19 20],[21.75675676 13.24324324] ; [24.24324324 14.75675676],0
a2,1,0.012177,6.284906,[12 23] ; [ 4 35],[ 7.56756757 27.43243243] ; [ 8.43243243 30.56756757],0
b2,1,0.012866,6.1875,[15  9] ; [ 5 15],[10.90909091 13.09090909] ; [ 9.09090909 10.90909091],0
b3,1,0.012866,6.1875,[15  9] ; [ 5 15],[10.90909091 13.09090909] ; [ 9.09090909 10.90909091],0
p2,1,0.028411,4.802977,[23 12] ; [34  5],[26.95945946  8.04054054] ; [30.04054054  8.95945946],0
b4,1,0.068217,3.325415,[26  9] ; [21 18],[22.22972973 12.77027027] ; [24.77027027 14.22972973],0
v2,1,0.08005,3.063886,[20 11] ; [16 21],[16.41176471 14.58823529] ; [19.58823529 17.41176471],0
a8,1,0.109811,2.556938,[ 1 32] ; [ 5 31],[ 2.86956522 30.13043478] ; [ 3.13043478 32.86956522],0
u1,1,0.122054,2.390769,[ 7 28] ; [ 3 36],[ 4.72972973 30.27027027] ; [ 5.27027027 33.72972973],0
a3,1,0.129906,2.29363,[28  7] ; [25 14],[25.06756757  9.93243243] ; [27.93243243 11.06756757],0
s5,1,0.140948,2.16758,[17 16] ; [13 25],[13.94366197 19.05633803] ; [16.05633803 21.94366197],0
v4,1,0.178975,1.806119,[30  5] ; [37  2],[31.68918919  3.31081081] ; [35.31081081  3.68918919],0
b5,1,0.221828,1.492505,[22 13] ; [19 20],[19.39189189 15.60810811] ; [21.60810811 17.39189189],0
s6,1,0.225078,1.4717,[30  5] ; [29 10],[27.90540541  7.09459459] ; [31.09459459  7.90540541],0
p7,1,0.237854,1.39327,[20 14] ; [26 10],[22.34285714 11.65714286] ; [23.65714286 12.34285714],0
n5,1,0.256382,1.28819,[12 23] ; [18 20],[14.38356164 20.61643836] ; [15.61643836 22.38356164],0
r3,1,0.280556,1.164393,[33  2] ; [33  5],[31.64383562  3.35616438] ; [34.35616438  3.64383562],0
n2,1,0.320742,0.98592,[11  5] ; [11  2],[12.13793103  3.86206897] ; [9.86206897 3.13793103],0
p1,1,0.338613,0.915676,[ 5 29] ; [ 3 36],[ 3.7260274 30.2739726] ; [ 4.2739726 34.7260274],0
p6,1,0.360255,0.837005,[14 21] ; [11 26],[12.15277778 22.84722222] ; [12.84722222 24.15277778],0
a6,1,0.406285,0.689645,[21 14] ; [27 12],[22.7027027 12.2972973] ; [25.2972973 13.7027027],0
a7,1,0.417837,0.656391,[26  9] ; [32  7],[27.43243243  7.56756757] ; [30.56756757  8.43243243],0
b1,1,0.432803,0.615289,[13 22] ; [18 21],[14.66216216 20.33783784] ; [16.33783784 22.66216216],0
u3,1,0.468717,0.525,[6 1] ; [10  4],[5.33333333 1.66666667] ; [10.66666667  3.33333333],0
r2,1,0.474807,0.510766,[33  2] ; [35  4],[32.16216216  2.83783784] ; [35.83783784  3.16216216],0
p12,1,0.492709,0.470605,[ 2 33] ; [ 1 38],[ 1.41891892 33.58108108] ; [ 1.58108108 37.41891892],0
p3,1,0.514411,0.425085,[17 18] ; [16 23],[15.60810811 19.39189189] ; [17.39189189 21.60810811],0
s3,1,0.526915,0.400338,[24 11] ; [24 15],[22.7027027 12.2972973] ; [25.2972973 13.7027027],0
p5,1,0.532947,0.38877,[ 3 31] ; [ 2 37],[ 2.32876712 31.67123288] ; [ 2.67123288 36.32876712],0
s4,1,0.540336,0.374918,[15 20] ; [14 25],[13.71621622 21.28378378] ; [15.28378378 23.71621622],0
s8,1,0.551987,0.353769,[21 14] ; [26 13],[22.22972973 12.77027027] ; [24.77027027 14.22972973],0
n3,1,0.611179,0.258462,[9 6] ; [9 4],[9.64285714 5.35714286] ; [8.35714286 4.64285714],0
n6,1,0.681422,0.168529,[22 12] ; [27 12],[22.82191781 11.17808219] ; [26.17808219 12.82191781],0
v1,1,0.694283,0.154488,[19 15] ; [20 19],[18.16438356 15.83561644] ; [20.83561644 18.16438356],0
p4,1,0.754671,0.097647,[21 14] ; [22 17],[20.33783784 14.66216216] ; [22.66216216 16.33783784],0
v3,1,0.822169,0.050515,[10 21] ; [11 26],[ 9.57352941 21.42647059] ; [11.42647059 25.57352941],0
r1,1,0.836386,0.04265,[25 10] ; [27 12],[24.59459459 10.40540541] ; [27.40540541 11.59459459],0
p9,1,0.844749,0.038346,[29  6] ; [30  7],[28.68055556  6.31944444] ; [30.31944444  6.68055556],0
p11,1,0.861271,0.03054,[24 11] ; [26 13],[23.64864865 11.35135135] ; [26.35135135 12.64864865],0
p10,1,0.886602,0.020336,[29  6] ; [31  7],[28.76712329  6.23287671] ; [31.23287671  6.76712329],0
s2,1,0.907035,0.013637,[22 13] ; [24 15],[21.75675676 13.24324324] ; [24.24324324 14.75675676],0
n1,1,0.912219,0.012153,[7 9] ; [5 7],[6.85714286 9.14285714] ; [5.14285714 6.85714286],0
r4,1,0.927532,0.008272,[29  6] ; [32  7],[28.85135135  6.14864865] ; [32.14864865  6.85135135],0
u4,1,0.938137,0.006024,[ 1 34] ; [ 1 38],[ 0.94594595 34.05405405] ; [ 1.05405405 37.94594595],0
p8,1,1.0,0.0,[17 17] ; [19 19],[17. 17.] ; [19. 19.],0
