Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.00332,8.622693,[5 9] ; [14  2],[8.86666667 5.13333333] ; [10.13333333  5.86666667],0
b3,1,0.018945,5.506548,[1 7] ; [9 5],[3.63636364 4.36363636] ; [6.36363636 7.63636364],0
b2,1,0.018945,5.506548,[1 7] ; [9 5],[3.63636364 4.36363636] ; [6.36363636 7.63636364],0
v3,1,0.028108,4.821429,[ 4 10] ; [11  5],[7. 7.] ; [8. 8.],0
r1,1,0.070076,3.28125,[7 7] ; [13  3],[9.33333333 4.66666667] ; [10.66666667  5.33333333],0
p7,1,0.070076,3.28125,[7 7] ; [13  3],[9.33333333 4.66666667] ; [10.66666667  5.33333333],0
r4,1,0.101707,2.678571,[10  4] ; [15  1],[11.66666667  2.33333333] ; [13.33333333  2.66666667],0
a3,1,0.15631,2.009569,[7 7] ; [12  4],[8.86666667 5.13333333] ; [10.13333333  5.86666667],0
p12,1,0.19043,1.714286,[ 1 13] ; [ 4 12],[ 2.33333333 11.66666667] ; [ 2.66666667 13.33333333],0
v4,1,0.222423,1.488668,[11  3] ; [15  1],[12.13333333  1.86666667] ; [13.86666667  2.13333333],0
p2,1,0.227107,1.458891,[9 4] ; [14  2],[10.31034483  2.68965517] ; [12.68965517  3.31034483],0
s6,1,0.237625,1.394628,[8 3] ; [8 8],[6.51851852 4.48148148] ; [9.48148148 6.51851852],0
b1,1,0.260679,1.265147,[9 5] ; [7 9],[7.46666667 6.53333333] ; [8.53333333 7.46666667],0
r2,1,0.272254,1.205357,[10  4] ; [14  2],[11.2  2.8] ; [12.8  3.2],0
p11,1,0.272254,1.205357,[10  4] ; [14  2],[11.2  2.8] ; [12.8  3.2],0
a6,1,0.337904,0.918367,[11  3] ; [10  6],[9.8 4.2] ; [11.2  4.8],0
s8,1,0.350807,0.870536,[ 1 13] ; [ 3 13],[ 1.86666667 12.13333333] ; [ 2.13333333 13.86666667],0
b4,1,0.389414,0.740772,[10  4] ; [9 7],[8.86666667 5.13333333] ; [10.13333333  5.86666667],0
n6,1,0.390447,0.737548,[12  1] ; [13  3],[11.20689655  1.79310345] ; [13.79310345  2.20689655],0
d3,1,0.430841,0.620556,[9 5] ; [8 8],[7.93333333 6.06666667] ; [9.06666667 6.93333333],0
r3,1,0.464214,0.535714,[12  2] ; [15  1],[12.6  1.4] ; [14.4  1.6],0
u2,1,0.477267,0.505102,[5 2] ; [2 2],[4.45454545 2.54545455] ; [2.54545455 1.45454545],0
d1,1,0.490644,0.475113,[7 7] ; [10  6],[7.93333333 6.06666667] ; [9.06666667 6.93333333],0
a2,1,0.512691,0.428571,[ 3 11] ; [ 2 14],[ 2.33333333 11.66666667] ; [ 2.66666667 13.33333333],0
s3,1,0.522903,0.408163,[5 9] ; [ 4 12],[4.2 9.8] ; [ 4.8 11.2],0
s2,1,0.522903,0.408163,[5 9] ; [ 4 12],[4.2 9.8] ; [ 4.8 11.2],0
p1,1,0.525741,0.402618,[ 4 10] ; [ 3 13],[ 3.26666667 10.73333333] ; [ 3.73333333 12.26666667],0
d5,1,0.525741,0.402618,[10  4] ; [13  3],[10.73333333  3.26666667] ; [12.26666667  3.73333333],0
u3,1,0.55368,0.350765,[4 3] ; [3 1],[4.45454545 2.54545455] ; [2.54545455 1.45454545],0
p3,1,0.604773,0.267857,[10  4] ; [10  6],[9.33333333 4.66666667] ; [10.66666667  5.33333333],0
b5,1,0.654001,0.200893,[9 5] ; [9 7],[8.4 5.6] ; [9.6 6.4],0
n2,1,0.709388,0.138889,[1 1] ; [2 1],[1.2 0.8] ; [1.8 1.2],0
n3,1,0.709388,0.138889,[1 1] ; [2 1],[1.2 0.8] ; [1.8 1.2],0
u1,1,0.743421,0.107143,[ 2 12] ; [ 3 13],[ 2.33333333 11.66666667] ; [ 2.66666667 13.33333333],0
a4,1,0.765087,0.089286,[6 8] ; [ 6 10],[5.6 8.4] ; [6.4 9.6],0
d2,1,0.765087,0.089286,[8 6] ; [10  6],[8.4 5.6] ; [9.6 6.4],0
a7,1,0.765087,0.089286,[8 6] ; [10  6],[8.4 5.6] ; [9.6 6.4],0
p6,1,0.773675,0.082697,[5 8] ; [7 9],[5.37931034 7.62068966] ; [6.62068966 9.37931034],0
p4,1,0.811414,0.056931,[11  2] ; [13  3],[10.75862069  2.24137931] ; [13.24137931  2.75862069],0
n4,1,0.817521,0.053239,[11  3] ; [12  4],[10.73333333  3.26666667] ; [12.26666667  3.73333333],0
a5,1,0.825339,0.048701,[10  4] ; [12  4],[10.26666667  3.73333333] ; [11.73333333  4.26666667],0
n5,1,0.854813,0.033482,[11  3] ; [13  3],[11.2  2.8] ; [12.8  3.2],0
d4,1,0.854813,0.033482,[11  3] ; [13  3],[11.2  2.8] ; [12.8  3.2],0
s4,1,0.877059,0.023932,[ 2 11] ; [ 2 13],[ 1.85714286 11.14285714] ; [ 2.14285714 12.85714286],0
p8,1,0.919347,0.010253,[9 5] ; [10  6],[8.86666667 5.13333333] ; [10.13333333  5.86666667],0
a1,1,0.922085,0.009566,[ 1 13] ; [ 1 15],[ 0.93333333 13.06666667] ; [ 1.06666667 14.93333333],0
a8,1,0.935989,0.00645,[ 2 11] ; [ 2 12],[ 1.92592593 11.07407407] ; [ 2.07407407 11.92592593],0
s5,1,0.952092,0.00361,[7 4] ; [10  6],[6.92592593 4.07407407] ; [10.07407407  5.92592593],0
