Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,2.4e-05,17.876577,[ 9 22] ; [39 12],[18.14634146 12.85365854] ; [29.85365854 21.14634146],1
s5,1,0.001039,10.757506,[12 15] ; [39  9],[18.36  8.64] ; [32.64 15.36],0
v1,1,0.00289,8.875776,[14 15] ; [41 10],[19.9375  9.0625] ; [35.0625 15.9375],0
r1,1,0.023167,5.155943,[21 10] ; [45  6],[24.95121951  6.04878049] ; [41.04878049  9.95121951],0
a8,1,0.059974,3.538107,[ 7 22] ; [ 4 43],[ 4.19736842 24.80263158] ; [ 6.80263158 40.19736842],0
p4,1,0.063039,3.455565,[25  6] ; [47  3],[27.55555556  3.44444444] ; [44.44444444  5.55555556],0
a4,1,0.097612,2.744132,[10 21] ; [26 25],[13.6097561 17.3902439] ; [22.3902439 28.6097561],0
p10,1,0.118312,2.439529,[26  4] ; [49  2],[27.77777778  2.22222222] ; [47.22222222  3.77777778],0
d1,1,0.123382,2.373858,[16 15] ; [35 16],[19.2804878 11.7195122] ; [31.7195122 19.2804878],0
r4,1,0.129435,2.299272,[26  5] ; [48  3],[27.97560976  3.02439024] ; [46.02439024  4.97560976],0
s7,1,0.159158,1.982212,[20 10] ; [38  9],[22.5974026  7.4025974] ; [35.4025974 11.5974026],0
b5,1,0.20244,1.62468,[16 15] ; [19 32],[13.23170732 17.76829268] ; [21.76829268 29.23170732],0
p7,1,0.208613,1.581028,[24  6] ; [45  5],[25.875  4.125] ; [43.125  6.875],0
s8,1,0.218128,1.516648,[18 13] ; [35 14],[20.5375 10.4625] ; [32.4625 16.5375],0
a5,1,0.227133,1.458729,[22  9] ; [42  9],[24.19512195  6.80487805] ; [39.80487805 11.19512195],0
s1,1,0.269907,1.217219,[ 4 27] ; [ 3 48],[ 2.64634146 28.35365854] ; [ 4.35365854 46.64634146],0
d5,1,0.281272,1.160933,[23  8] ; [42  8],[24.87654321  6.12345679] ; [40.12345679  9.87654321],0
a6,1,0.293401,1.103952,[21 10] ; [28 22],[18.75308642 12.24691358] ; [30.24691358 19.75308642],0
v4,1,0.302475,1.063251,[29  2] ; [49  1],[29.85185185  1.14814815] ; [48.14814815  1.85185185],0
s2,1,0.31513,1.009053,[17 14] ; [33 17],[19.13580247 11.86419753] ; [30.86419753 19.13580247],0
u2,1,0.345099,0.891396,[5 3] ; [9 2],[5.89473684 2.10526316] ; [8.10526316 2.89473684],0
d4,1,0.365115,0.820224,[25  6] ; [44  6],[26.40740741  4.59259259] ; [42.59259259  7.40740741],0
p11,1,0.396026,0.72036,[26  5] ; [46  5],[27.2195122  3.7804878] ; [44.7804878  6.2195122],0
n4,1,0.453973,0.560713,[27  4] ; [47  4],[27.97560976  3.02439024] ; [46.02439024  4.97560976],0
