Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.047437,3.929825,[18  6] ; [1 3],[16.28571429  7.71428571] ; [2.71428571 1.28571429],0
p7,1,0.047437,3.929825,[ 6 18] ; [3 1],[ 7.71428571 16.28571429] ; [1.28571429 2.71428571],0
p1,1,0.134169,2.24359,[ 1 23] ; [1 3],[ 1.71428571 22.28571429] ; [0.28571429 3.71428571],0
d3,1,0.160581,1.96875,[15  9] ; [1 3],[13.71428571 10.28571429] ; [2.28571429 1.71428571],0
p3,1,0.212317,1.555556,[ 5 19] ; [2 2],[ 6. 18.] ; [1. 3.],0
n2,1,0.220671,1.5,[3 5] ; [3 1],[4. 4.] ; [2. 2.],0
b5,1,0.280087,1.166667,[11 13] ; [3 1],[12. 12.] ; [2. 2.],0
a3,1,0.305507,1.05,[18  6] ; [2 2],[17.14285714  6.85714286] ; [2.85714286 1.14285714],0
p4,1,0.305507,1.05,[ 6 18] ; [2 2],[ 6.85714286 17.14285714] ; [1.14285714 2.85714286],0
a2,1,0.318388,0.995556,[ 2 22] ; [1 3],[ 2.57142857 21.42857143] ; [0.42857143 3.57142857],0
s1,1,0.318388,0.995556,[ 2 22] ; [1 3],[ 2.57142857 21.42857143] ; [0.42857143 3.57142857],0
b1,1,0.353309,0.861538,[12 12] ; [3 1],[12.85714286 11.14285714] ; [2.14285714 1.85714286],0
a7,1,0.353309,0.861538,[12 12] ; [3 1],[12.85714286 11.14285714] ; [2.14285714 1.85714286],0
d2,1,0.353309,0.861538,[12 12] ; [3 1],[12.85714286 11.14285714] ; [2.14285714 1.85714286],0
a6,1,0.408809,0.682261,[ 7 17] ; [2 2],[ 7.71428571 16.28571429] ; [1.28571429 2.71428571],0
d5,1,0.408809,0.682261,[17  7] ; [2 2],[16.28571429  7.71428571] ; [2.71428571 1.28571429],0
p11,1,0.435678,0.607639,[11 13] ; [1 3],[10.28571429 13.71428571] ; [1.71428571 2.28571429],0
p8,1,0.443598,0.586957,[ 7 16] ; [2 2],[ 7.66666667 15.33333333] ; [1.33333333 2.66666667],0
r2,1,0.446248,0.580165,[12 10] ; [3 1],[12.69230769  9.30769231] ; [2.30769231 1.69230769],0
p9,1,0.487561,0.481905,[10 13] ; [1 3],[ 9.37037037 13.62962963] ; [1.62962963 2.37037037],0
d4,1,0.508332,0.4375,[21  3] ; [3 1],[20.57142857  3.42857143] ; [3.42857143 0.57142857],0
r4,1,0.519536,0.414815,[ 8 16] ; [2 2],[ 8.57142857 15.42857143] ; [1.42857143 2.57142857],0
s6,1,0.519536,0.414815,[ 8 16] ; [2 2],[ 8.57142857 15.42857143] ; [1.42857143 2.57142857],0
s3,1,0.560776,0.338363,[ 8 15] ; [2 2],[ 8.51851852 14.48148148] ; [1.48148148 2.51851852],0
n4,1,0.629063,0.233333,[ 9 15] ; [1 3],[ 8.57142857 15.42857143] ; [1.42857143 2.57142857],0
p2,1,0.635558,0.224599,[ 9 15] ; [2 2],[ 9.42857143 14.57142857] ; [1.57142857 2.42857143],0
n1,1,0.665006,0.1875,[3 5] ; [1 3],[2.66666667 5.33333333] ; [1.33333333 2.66666667],0
u2,1,0.67329,0.177778,[2 4] ; [1 1],[2.25 3.75] ; [0.75 1.25],0
s4,1,0.687031,0.162319,[ 4 20] ; [1 3],[ 4.28571429 19.71428571] ; [0.71428571 3.28571429],0
s5,1,0.717675,0.130731,[ 4 19] ; [1 3],[ 4.25925926 18.74074074] ; [0.74074074 3.25925926],0
s7,1,0.74332,0.10723,[ 7 14] ; [1 3],[ 6.72 14.28] ; [1.28 2.72],0
a5,1,0.755189,0.097222,[14 10] ; [2 2],[13.71428571 10.28571429] ; [2.28571429 1.71428571],0
v2,1,0.755189,0.097222,[10 14] ; [2 2],[10.28571429 13.71428571] ; [1.71428571 2.28571429],0
v1,1,0.826102,0.048269,[ 7 16] ; [1 3],[ 6.81481481 16.18518519] ; [1.18518519 2.81481481],0
s2,1,0.850857,0.035354,[ 5 19] ; [1 3],[ 5.14285714 18.85714286] ; [0.85714286 3.14285714],0
d1,1,0.877059,0.023932,[11 13] ; [2 2],[11.14285714 12.85714286] ; [1.85714286 2.14285714],0
a4,1,0.877059,0.023932,[11 13] ; [2 2],[11.14285714 12.85714286] ; [1.85714286 2.14285714],0
r1,1,0.877059,0.023932,[13 11] ; [2 2],[12.85714286 11.14285714] ; [2.14285714 1.85714286],0
n3,1,0.898195,0.016369,[5 2] ; [3 1],[5.09090909 1.90909091] ; [2.90909091 1.09090909],0
