Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,5e-05,16.429412,[76  4] ; [9 6],[71.57894737  8.42105263] ; [13.42105263  1.57894737],1
a3,1,0.000236,13.523292,[69 12] ; [7 9],[63.46391753 17.53608247] ; [12.53608247  3.46391753],1
p7,1,0.000575,11.853951,[68 10] ; [8 8],[63.06382979 14.93617021] ; [12.93617021  3.06382979],1
p9,1,0.002841,8.906581,[77  3] ; [12  4],[74.16666667  5.83333333] ; [14.83333333  1.16666667],0
a6,1,0.003285,8.642248,[56 24] ; [ 5 11],[50.83333333 29.16666667] ; [10.16666667  5.83333333],0
a5,1,0.006818,7.320277,[66 15] ; [8 8],[61.79381443 19.20618557] ; [12.20618557  3.79381443],0
v2,1,0.009919,6.649362,[47 31] ; [ 4 12],[42.31914894 35.68085106] ; [8.68085106 7.31914894],0
s5,1,0.029092,4.762176,[53 20] ; [6 8],[49.50574713 23.49425287] ; [9.49425287 4.50574713],0
p8,1,0.051475,3.792755,[67 13] ; [10  6],[64.16666667 15.83333333] ; [12.83333333  3.16666667],0
n6,1,0.070212,3.278055,[77  2] ; [14  2],[75.67368421  3.32631579] ; [15.32631579  0.67368421],0
b3,1,0.081678,3.031194,[31 28] ; [3 9],[28.25352113 30.74647887] ; [5.74647887 6.25352113],0
b2,1,0.081678,3.031194,[31 28] ; [3 9],[28.25352113 30.74647887] ; [5.74647887 6.25352113],0
p6,1,0.084117,2.983495,[52 26] ; [7 9],[48.95744681 29.04255319] ; [10.04255319  5.95744681],0
p3,1,0.09769,2.742857,[65 15] ; [10  6],[62.5 17.5] ; [12.5  3.5],0
d5,1,0.16053,1.969231,[67 13] ; [11  5],[65. 15.] ; [13.  3.],0
d1,1,0.204602,1.609217,[54 27] ; [8 8],[51.77319588 29.22680412] ; [10.22680412  5.77319588],0
b5,1,0.21859,1.513603,[37 44] ; [10  6],[39.24742268 41.75257732] ; [7.75257732 8.24742268],0
v3,1,0.223811,1.479769,[47 31] ; [7 9],[44.80851064 33.19148936] ; [9.19148936 6.80851064],0
a8,1,0.230389,1.43846,[10 61] ; [ 4 11],[11.55813953 59.44186047] ; [ 2.44186047 12.55813953],0
