Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,2e-06,22.552167,[ 3 35] ; [26 19],[13.27710843 24.72289157] ; [15.72289157 29.27710843],1
a3,1,0.000353,12.763643,[13 25] ; [33 12],[21.06024096 16.93975904] ; [24.93975904 20.06024096],1
v1,1,0.002775,8.949485,[ 6 32] ; [21 24],[12.36144578 25.63855422] ; [14.63855422 30.36144578],0
d4,1,0.012593,6.225347,[24 14] ; [39  6],[28.84337349  9.15662651] ; [34.15662651 10.84337349],0
d1,1,0.024999,5.023944,[11 27] ; [24 21],[16.02409639 21.97590361] ; [18.97590361 26.02409639],0
d3,1,0.04459,4.034077,[17 21] ; [30 15],[21.51807229 16.48192771] ; [25.48192771 19.51807229],0
d5,1,0.051219,3.801082,[23 15] ; [36  9],[27.01204819 10.98795181] ; [31.98795181 13.01204819],0
v2,1,0.057723,3.601619,[12 25] ; [24 21],[16.24390244 20.75609756] ; [19.75609756 25.24390244],0
n4,1,0.064386,3.420635,[11 27] ; [22 23],[15.10843373 22.89156627] ; [17.89156627 27.10843373],0
a6,1,0.067319,3.347199,[16 22] ; [28 17],[20.14457831 17.85542169] ; [23.85542169 21.14457831],0
d2,1,0.072609,3.22304,[12 26] ; [23 22],[16.02409639 21.97590361] ; [18.97590361 26.02409639],0
r1,1,0.087065,2.927818,[22 16] ; [34 11],[25.63855422 12.36144578] ; [30.36144578 14.63855422],0
r2,1,0.088104,2.908675,[27 11] ; [38  6],[30.12195122  7.87804878] ; [34.87804878  9.12195122],0
p6,1,0.09818,2.734867,[11 27] ; [ 6 37],[ 7.97530864 30.02469136] ; [ 9.02469136 33.97530864],0
s6,1,0.111172,2.537476,[10 28] ; [19 25],[13.43902439 24.56097561] ; [15.56097561 28.43902439],0
b2,1,0.118513,2.436868,[ 3 20] ; [ 8 17],[ 5.27083333 17.72916667] ; [ 5.72916667 19.27083333],0
b3,1,0.118513,2.436868,[ 3 20] ; [ 8 17],[ 5.27083333 17.72916667] ; [ 5.72916667 19.27083333],0
u2,1,0.12871,2.307992,[15 10] ; [4 8],[12.83783784 12.16216216] ; [6.16216216 5.83783784],0
s2,1,0.146507,2.10825,[ 8 30] ; [16 29],[10.98795181 27.01204819] ; [13.01204819 31.98795181],0
n3,1,0.149443,2.077922,[15  5] ; [6 6],[13.125  6.875] ; [7.875 4.125],0
n6,1,0.165105,1.92684,[21 17] ; [18 27],[17.85542169 20.14457831] ; [21.14457831 23.85542169],0
p11,1,0.174965,1.839882,[20 18] ; [17 28],[16.93975904 21.06024096] ; [20.06024096 24.93975904],0
s8,1,0.216385,1.528184,[ 7 31] ; [ 4 40],[ 5.09756098 32.90243902] ; [ 5.90243902 38.09756098],0
b4,1,0.230223,1.439485,[26 12] ; [25 20],[23.34939759 14.65060241] ; [27.65060241 17.34939759],0
p3,1,0.236477,1.401476,[10 28] ; [17 27],[12.51219512 25.48780488] ; [14.48780488 29.51219512],0
p7,1,0.262968,1.253067,[19 19] ; [17 28],[16.48192771 21.51807229] ; [19.51807229 25.48192771],0
b1,1,0.262968,1.253067,[19 19] ; [28 17],[21.51807229 16.48192771] ; [25.48192771 19.51807229],0
n2,1,0.284462,1.145648,[13  6] ; [7 7],[11.51515152  7.48484848] ; [8.48484848 5.51515152],0
s1,1,0.339487,0.912369,[ 2 36] ; [ 5 40],[ 3.20481928 34.79518072] ; [ 3.79518072 41.20481928],0
v3,1,0.348878,0.877536,[ 8 29] ; [13 29],[ 9.83544304 27.16455696] ; [11.16455696 30.83544304],0
s4,1,0.349439,0.875493,[ 8 30] ; [ 6 39],[ 6.40963855 31.59036145] ; [ 7.59036145 37.40963855],0
s3,1,0.362955,0.827643,[12 25] ; [19 26],[13.98780488 23.01219512] ; [17.01219512 27.98780488],0
s5,1,0.381221,0.766761,[ 5 33] ; [ 9 35],[ 6.48780488 31.51219512] ; [ 7.51219512 36.48780488],0
p2,1,0.389911,0.739221,[23 15] ; [23 22],[21.06024096 16.93975904] ; [24.93975904 20.06024096],0
n1,1,0.39269,0.730595,[ 7 13] ; [ 3 11],[ 5.88235294 14.11764706] ; [4.11764706 9.88235294],0
v4,1,0.429222,0.624928,[32  6] ; [34 10],[30.58536585  7.41463415] ; [35.41463415  8.58536585],0
r4,1,0.44097,0.593756,[24 14] ; [32 13],[25.63855422 12.36144578] ; [30.36144578 14.63855422],0
b5,1,0.478579,0.502099,[19 19] ; [26 19],[20.60240964 17.39759036] ; [24.39759036 20.60240964],0
p10,1,0.516701,0.420472,[ 8 30] ; [ 7 38],[ 6.86746988 31.13253012] ; [ 8.13253012 36.86746988],0
r3,1,0.531131,0.392226,[32  6] ; [40  5],[32.96385542  5.03614458] ; [39.03614458  5.96385542],0
s7,1,0.544727,0.366849,[10 27] ; [ 8 30],[ 8.88 28.12] ; [ 9.12 28.88],0
u3,1,0.565449,0.330357,[15 10] ; [6 6],[14.18918919 10.81081081] ; [6.81081081 5.18918919],0
p1,1,0.880409,0.022635,[ 2 36] ; [ 2 42],[ 1.85365854 36.14634146] ; [ 2.14634146 41.85365854],0
p4,1,0.961068,0.002383,[15 23] ; [18 27],[15.10843373 22.89156627] ; [17.89156627 27.10843373],0
p8,1,0.963483,0.002096,[12 26] ; [14 31],[11.90361446 26.09638554] ; [14.09638554 30.90361446],0
a7,1,0.991423,0.000116,[22 16] ; [26 19],[21.97590361 16.02409639] ; [26.02409639 18.97590361],0
