Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,2.8e-05,17.525029,[87 14] ; [15 15],[78.64122137 22.35877863] ; [23.35877863  6.64122137],1
p9,1,0.00024,13.491785,[88 13] ; [17 13],[80.95419847 20.04580153] ; [24.04580153  5.95419847],1
n5,1,0.002419,9.200621,[84 17] ; [17 13],[77.87022901 23.12977099] ; [23.12977099  6.87022901],0
p6,1,0.00478,7.960714,[47 51] ; [ 6 25],[40.26356589 57.73643411] ; [12.73643411 18.26356589],0
b1,1,0.006647,7.366079,[44 58] ; [22  9],[50.61654135 51.38345865] ; [15.38345865 15.61654135],0
s1,1,0.007234,7.213958,[ 3 98] ; [ 5 26],[ 6.12121212 94.87878788] ; [ 1.87878788 29.12121212],0
s3,1,0.007378,7.178579,[92 10] ; [22  9],[87.42857143 14.57142857] ; [26.57142857  4.42857143],0
p7,1,0.009388,6.747507,[72 26] ; [15 16],[66.09302326 31.90697674] ; [20.90697674 10.09302326],0
v4,1,0.011141,6.44267,[96  5] ; [25  6],[92.58333333  8.41666667] ; [28.41666667  2.58333333],0
a3,1,0.014003,6.037814,[84 18] ; [19 12],[78.9924812 23.0075188] ; [24.0075188  6.9924812],0
r3,1,0.017801,5.615652,[98  4] ; [26  5],[95.09774436  6.90225564] ; [28.90225564  2.09774436],0
n6,1,0.018061,5.590239,[86 15] ; [19 10],[81.57692308 19.42307692] ; [23.42307692  5.57692308],0
n4,1,0.018498,5.548352,[85 17] ; [19 11],[80.36363636 21.63636364] ; [23.63636364  6.36363636],0
r4,1,0.018785,5.521375,[88 14] ; [21 10],[83.59398496 18.40601504] ; [25.40601504  5.59398496],0
p2,1,0.034149,4.487252,[80 20] ; [19 12],[75.57251908 24.42748092] ; [23.42748092  7.57251908],0
s8,1,0.036481,4.374492,[76 26] ; [17 14],[71.32330827 30.67669173] ; [21.67669173  9.32330827],0
s7,1,0.061415,3.498743,[80 21] ; [16 10],[76.34645669 24.65354331] ; [19.65354331  6.34645669],0
r2,1,0.070526,3.270746,[93  8] ; [25  6],[90.28787879 10.71212121] ; [27.71212121  3.28787879],0
a5,1,0.078175,3.102444,[76 26] ; [18 13],[72.09022556 29.90977444] ; [21.90977444  9.09022556],0
d5,1,0.085461,2.957851,[83 18] ; [21 10],[79.57575758 21.42424242] ; [24.42424242  6.57575758],0
