Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,4e-05,16.860367,[108  16] ; [2 5],[104.1221374  19.8778626] ; [5.8778626 1.1221374],1
r4,1,8.8e-05,15.380466,[114  11] ; [3 4],[110.79545455  14.20454545] ; [6.20454545 0.79545455],1
s1,1,0.004975,7.888439,[  5 119] ; [2 5],[  6.6259542 117.3740458] ; [0.3740458 6.6259542],0
n6,1,0.010471,6.55298,[103  22] ; [3 4],[100.37878788  24.62121212] ; [5.62121212 1.37878788],0
p5,1,0.019644,5.443214,[  7 117] ; [2 5],[  8.51908397 115.48091603] ; [0.48091603 6.51908397],0
a5,1,0.032227,4.586404,[85 40] ; [2 5],[82.38636364 42.61363636] ; [4.61363636 2.38636364],0
a6,1,0.033734,4.508151,[84 40] ; [2 5],[81.40458015 42.59541985] ; [4.59541985 2.40458015],0
d5,1,0.068228,3.325143,[93 32] ; [3 4],[90.90909091 34.09090909] ; [5.09090909 1.90909091],0
d4,1,0.068228,3.325143,[93 32] ; [3 4],[90.90909091 34.09090909] ; [5.09090909 1.90909091],0
p1,1,0.092219,2.835205,[ 11 112] ; [2 5],[ 12.3 110.7] ; [0.7 6.3],0
p11,1,0.150004,2.072214,[100  25] ; [4 3],[98.48484848 26.51515152] ; [5.51515152 1.48484848],0
p7,1,0.15165,2.055576,[85 36] ; [2 3],[83.54761905 37.45238095] ; [3.45238095 1.54761905],0
n4,1,0.169686,1.885714,[85 40] ; [3 4],[83.33333333 41.66666667] ; [4.66666667 2.33333333],0
n3,1,0.216086,1.530179,[20  9] ; [1 2],[19.03125  9.96875] ; [1.96875 1.03125],0
n5,1,0.259859,1.269507,[80 45] ; [3 4],[78.59848485 46.40151515] ; [4.40151515 2.59848485],0
r1,1,0.268434,1.224733,[94 30] ; [4 3],[92.76335878 31.23664122] ; [5.23664122 1.76335878],0
d1,1,0.278667,1.17358,[62 63] ; [2 5],[60.60606061 64.39393939] ; [3.39393939 3.60606061],0
b4,1,0.278667,1.17358,[63 62] ; [5 2],[64.39393939 60.60606061] ; [3.60606061 3.39393939],0
v4,1,0.279582,1.169121,[118   6] ; [6 1],[117.3740458   6.6259542] ; [6.6259542 0.3740458],0
n1,1,0.295544,1.094194,[10 18] ; [2 1],[10.83870968 17.16129032] ; [1.16129032 1.83870968],0
p3,1,0.324328,0.971413,[40 85] ; [1 6],[38.82575758 86.17424242] ; [2.17424242 4.82575758],0
u2,1,0.330835,0.945626,[18 29] ; [2 1],[18.8 28.2] ; [1.2 1.8],0
s5,1,0.358966,0.841509,[37 84] ; [1 6],[35.921875 85.078125] ; [2.078125 4.921875],0
u3,1,0.371948,0.797144,[19 28] ; [2 1],[19.74 27.26] ; [1.26 1.74],0
a4,1,0.388222,0.744503,[42 83] ; [1 5],[41.03053435 83.96946565] ; [1.96946565 4.03053435],0
s2,1,0.399865,0.708733,[56 69] ; [2 5],[54.92424242 70.07575758] ; [3.07575758 3.92424242],0
s6,1,0.424831,0.636913,[71 51] ; [3 4],[69.98449612 52.01550388] ; [4.01550388 2.98449612],0
a7,1,0.42788,0.628571,[90 35] ; [6 1],[90.90909091 34.09090909] ; [5.09090909 1.90909091],0
v1,1,0.489868,0.476815,[53 68] ; [4 3],[53.8828125 67.1171875] ; [3.1171875 3.8828125],0
b2,1,0.539055,0.377295,[22 44] ; [1 4],[21.38028169 44.61971831] ; [1.61971831 3.38028169],0
b3,1,0.539055,0.377295,[22 44] ; [1 4],[21.38028169 44.61971831] ; [1.61971831 3.38028169],0
s8,1,0.547045,0.362637,[50 75] ; [2 5],[49.24242424 75.75757576] ; [2.75757576 4.24242424],0
d2,1,0.601905,0.272132,[48 77] ; [2 5],[47.34848485 77.65151515] ; [2.65151515 4.34848485],0
n2,1,0.614051,0.254319,[23  6] ; [2 1],[22.65625  6.34375] ; [2.34375 0.65625],0
s3,1,0.623277,0.241288,[64 61] ; [2 3],[63.46153846 61.53846154] ; [2.53846154 2.46153846],0
s7,1,0.661569,0.191624,[50 72] ; [3 3],[50.515625 71.484375] ; [2.484375 3.515625],0
p10,1,0.697594,0.150987,[98 25] ; [6 1],[98.4 24.6] ; [5.6 1.4],0
p6,1,0.741553,0.108766,[28 93] ; [2 5],[28.359375 92.640625] ; [1.640625 5.359375],0
b5,1,0.746853,0.104194,[79 46] ; [4 3],[78.59848485 46.40151515] ; [4.40151515 2.59848485],0
v3,1,0.783453,0.075527,[41 81] ; [2 5],[40.66666667 81.33333333] ; [2.33333333 4.66666667],0
b1,1,0.783591,0.075429,[42 83] ; [2 5],[41.66666667 83.33333333] ; [2.33333333 4.66666667],0
a2,1,0.822011,0.050607,[ 22 103] ; [1 6],[ 21.78030303 103.21969697] ; [1.21969697 5.78030303],0
a3,1,0.852007,0.034804,[78 46] ; [4 2],[78.21538462 45.78461538] ; [3.78461538 2.21538462],0
d3,1,0.880715,0.022519,[75 50] ; [4 3],[74.81060606 50.18939394] ; [4.18939394 2.81060606],0
s4,1,0.915665,0.011214,[ 16 108] ; [1 6],[ 16.09160305 107.90839695] ; [0.90839695 6.09160305],0
p9,1,0.933976,0.006863,[104  19] ; [6 1],[104.07692308  18.92307692] ; [5.92307692 1.07692308],0
