Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1.7e-05,18.47111,[46 55] ; [32  5],[57.08695652 43.91304348] ; [20.91304348 16.08695652],1
s2,1,0.000269,13.275935,[34 66] ; [26 12],[43.47826087 56.52173913] ; [16.52173913 21.47826087],1
s7,1,0.001044,10.748557,[36 60] ; [25 11],[44.36363636 51.63636364] ; [16.63636364 19.36363636],0
r4,1,0.007077,7.253389,[71 30] ; [35  3],[77.02158273 23.97841727] ; [28.97841727  9.02158273],0
p5,1,0.009012,6.820499,[ 9 90] ; [10 28],[13.72992701 85.27007299] ; [ 5.27007299 32.72992701],0
n6,1,0.009034,6.816027,[75 25] ; [36  2],[80.43478261 19.56521739] ; [30.56521739  7.43478261],0
s4,1,0.015811,5.823802,[12 89] ; [11 27],[16.71223022 84.28776978] ; [ 6.28776978 31.71223022],0
p7,1,0.016014,5.801322,[45 54] ; [26 12],[51.30656934 47.69343066] ; [19.69343066 18.30656934],0
p8,1,0.01638,5.761624,[44 55] ; [25 12],[50.22794118 48.77205882] ; [18.77205882 18.22794118],0
r2,1,0.044765,4.027461,[81 19] ; [36  2],[84.7826087 15.2173913] ; [32.2173913  5.7826087],0
p6,1,0.045806,3.988731,[27 73] ; [17 21],[31.88405797 68.11594203] ; [12.11594203 25.88405797],0
v4,1,0.055206,3.675856,[81 18] ; [36  2],[84.54744526 14.45255474] ; [32.45255474  5.54744526],0
p12,1,0.068286,3.323759,[ 6 94] ; [ 6 32],[ 8.69565217 91.30434783] ; [ 3.30434783 34.69565217],0
a5,1,0.068871,3.309724,[49 52] ; [25 13],[53.76978417 47.23021583] ; [20.23021583 17.76978417],0
s3,1,0.079229,3.080649,[48 52] ; [24 13],[52.55474453 47.44525547] ; [19.44525547 17.55474453],0
r1,1,0.079952,3.065869,[61 40] ; [29  9],[65.39568345 35.60431655] ; [24.60431655 13.39568345],0
p1,1,0.083306,2.999197,[12 89] ; [ 9 29],[15.25899281 85.74100719] ; [ 5.74100719 32.25899281],0
s8,1,0.106748,2.601718,[29 72] ; [16 21],[32.93478261 68.06521739] ; [12.06521739 24.93478261],0
p2,1,0.179251,1.803827,[65 36] ; [29  9],[68.30215827 32.69784173] ; [25.69784173 12.30215827],0
p3,1,0.186549,1.744664,[33 68] ; [17 21],[36.33093525 64.66906475] ; [13.66906475 24.33093525],0
u3,1,0.190771,1.711657,[20 27] ; [12  8],[22.44776119 24.55223881] ; [ 9.55223881 10.44776119],0
a7,1,0.191058,1.70944,[54 47] ; [25 13],[57.4028777 43.5971223] ; [21.5971223 16.4028777],0
p11,1,0.217253,1.522422,[69 32] ; [30  8],[71.9352518 29.0647482] ; [27.0647482 10.9352518],0
p9,1,0.219013,1.510826,[73 26] ; [31  6],[75.70588235 23.29411765] ; [28.29411765  8.70588235],0
n2,1,0.228332,1.451221,[22 10] ; [8 1],[23.41463415  8.58536585] ; [6.58536585 2.41463415],0
b4,1,0.304738,1.053347,[54 47] ; [24 14],[56.67625899 44.32374101] ; [21.32374101 16.67625899],0
