Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,7e-06,20.120537,[26 26] ; [43  4],[36.24242424 15.75757576] ; [32.75757576 14.24242424],1
r4,1,1.9e-05,18.282756,[20 32] ; [38  9],[30.46464646 21.53535354] ; [27.53535354 19.46464646],1
p2,1,3.5e-05,17.114074,[17 34] ; [34 11],[27.09375 23.90625] ; [23.90625 21.09375],1
p4,1,5e-05,16.449696,[ 5 46] ; [21 24],[13.8125 37.1875] ; [12.1875 32.8125],1
v4,1,0.000203,13.799638,[28 23] ; [41  5],[36.27835052 14.72164948] ; [32.72164948 13.27835052],1
v2,1,0.000212,13.720612,[ 9 41] ; [24 20],[17.55319149 32.44680851] ; [15.44680851 28.55319149],1
p9,1,0.000362,12.720235,[17 33] ; [33 14],[25.77319588 24.22680412] ; [24.22680412 22.77319588],1
p7,1,0.000598,11.782135,[11 40] ; [25 20],[19.125 31.875] ; [16.875 28.125],1
p10,1,0.00117,10.536941,[15 35] ; [29 17],[22.91666667 27.08333333] ; [21.08333333 24.91666667],0
p8,1,0.002635,9.04464,[ 7 43] ; [19 27],[13.54166667 36.45833333] ; [12.45833333 33.54166667],0
n2,1,0.006044,7.537076,[ 9 15] ; [11  2],[12.97297297 11.02702703] ; [7.02702703 5.97297297],0
s8,1,0.009068,6.809288,[ 1 51] ; [ 8 39],[ 4.72727273 47.27272727] ; [ 4.27272727 42.72727273],0
n3,1,0.02231,5.221445,[10 12] ; [11  2],[13.2  8.8] ; [7.8 5.2],0
s7,1,0.025011,5.023107,[ 3 42] ; [10 32],[ 6.72413793 38.27586207] ; [ 6.27586207 35.72413793],0
r2,1,0.035443,4.423718,[37 14] ; [42  5],[41.1122449  9.8877551] ; [37.8877551  9.1122449],0
r1,1,0.03698,4.351326,[27 25] ; [34 13],[32.04040404 19.95959596] ; [28.95959596 18.04040404],0
d2,1,0.03698,4.351326,[25 27] ; [13 34],[19.95959596 32.04040404] ; [18.04040404 28.95959596],0
s1,1,0.044776,4.027053,[ 7 45] ; [ 1 44],[ 4.28865979 47.71134021] ; [ 3.71134021 41.28865979],0
v1,1,0.053396,3.731489,[13 39] ; [20 26],[17.51020408 34.48979592] ; [15.48979592 30.51020408],0
u3,1,0.063601,3.440904,[ 7 13] ; [10  5],[ 9.71428571 10.28571429] ; [7.28571429 7.71428571],0
b5,1,0.077767,3.110966,[24 28] ; [30 17],[28.36363636 23.63636364] ; [25.63636364 21.36363636],0
p6,1,0.0927,2.826851,[ 5 45] ; [10 34],[ 7.9787234 42.0212766] ; [ 7.0212766 36.9787234],0
p3,1,0.098667,2.726957,[ 9 41] ; [15 31],[12.5 37.5] ; [11.5 34.5],0
a5,1,0.165657,1.921812,[26 26] ; [30 17],[29.41414141 22.58585859] ; [26.58585859 20.41414141],0
b3,1,0.17713,1.821541,[11 18] ; [ 5 19],[ 8.75471698 20.24528302] ; [ 7.24528302 16.75471698],0
b2,1,0.17713,1.821541,[11 18] ; [ 5 19],[ 8.75471698 20.24528302] ; [ 7.24528302 16.75471698],0
a2,1,0.195614,1.674824,[ 9 43] ; [ 4 43],[ 6.82828283 45.17171717] ; [ 6.17171717 40.82828283],0
n1,1,0.23437,1.414141,[ 8 16] ; [6 5],[ 9.6 14.4] ; [4.4 6.6],0
d5,1,0.254902,1.296236,[32 20] ; [34 13],[34.66666667 17.33333333] ; [31.33333333 15.66666667],0
v3,1,0.285882,1.138915,[10 38] ; [14 32],[12.25531915 35.74468085] ; [11.74468085 34.25531915],0
a4,1,0.313911,1.014149,[24 28] ; [17 30],[21.53535354 30.46464646] ; [19.46464646 27.53535354],0
s2,1,0.417501,0.657339,[ 8 44] ; [10 36],[ 9.55102041 42.44897959] ; [ 8.44897959 37.55102041],0
n4,1,0.471523,0.518405,[25 27] ; [26 21],[26.78787879 25.21212121] ; [24.21212121 22.78787879],0
u1,1,0.474178,0.512222,[ 4 48] ; [ 2 45],[ 3.15151515 48.84848485] ; [ 2.84848485 44.15151515],0
n5,1,0.483197,0.491639,[24 28] ; [18 28],[22.28571429 29.71428571] ; [19.71428571 26.28571429],0
b4,1,0.519621,0.414645,[31 21] ; [25 22],[29.41414141 22.58585859] ; [26.58585859 20.41414141],0
d3,1,0.521035,0.411844,[26 25] ; [27 20],[27.58163265 23.41836735] ; [25.41836735 21.58163265],0
s5,1,0.5379,0.379447,[ 5 45] ; [ 3 43],[ 4.16666667 45.83333333] ; [ 3.83333333 42.16666667],0
u2,1,0.556732,0.345395,[10 10] ; [9 6],[10.85714286  9.14285714] ; [8.14285714 6.85714286],0
a3,1,0.579011,0.307836,[32 19] ; [32 15],[33.30612245 17.69387755] ; [30.69387755 16.30612245],0
s4,1,0.617615,0.249234,[ 6 46] ; [ 4 43],[ 5.25252525 46.74747475] ; [ 4.74747475 42.25252525],0
d1,1,0.628541,0.234045,[19 33] ; [15 32],[17.85858586 34.14141414] ; [16.14141414 30.85858586],0
a7,1,0.666778,0.185394,[31 21] ; [30 17],[32.04040404 19.95959596] ; [28.95959596 18.04040404],0
